,Temp,Map
0,Afghanistan,Indonesia
1,Albania,Malaysia
2,Algeria,Chile
3,American Samoa,Bolivia
4,Andorra,Peru
5,Angola,Argentina
6,Anguilla,Dhekelia
7,Antarctica,Cyprus
8,Antigua and Barbuda,India
9,Argentina,China
10,Armenia,Israel
11,Aruba,Palestina
12,Australia,Lebanon
13,Austria,Ethiopia
14,Azerbaijan,S. Sudan
15,Bahamas,Somalia
16,Bahrain,Kenya
17,Bangladesh,Pakistan
18,Barbados,Malawi
19,Belarus,Tanzania
20,Belgium,Syria
21,Belize,Somaliland
22,Benin,France
23,Bhutan,Suriname
24,Bolivia,Guyana
25,Bosnia and Herzegovina,South Korea
26,Botswana,North Korea
27,Brazil,Morocco
28,British Virgin Islands,Western Sahara
29,Bulgaria,Costa Rica
30,Burkina Faso,Nicaragua
31,Burundi,Congo
32,Cambodia,Dem. Rep. Congo
33,Cameroon,Bhutan
34,Canada,Ukraine
35,Cape Verde,Belarus
36,Cayman Islands,Namibia
37,Central African Republic,South Africa
38,Chad,Saint Martin
39,Chile,Sint Maarten
40,China,Oman
41,Colombia,Uzbekistan
42,Comoros,Kazakhstan
43,Congo,Tajikistan
44,Costa Rica,Lithuania
45,Croatia,Brazil
46,Cuba,Uruguay
47,Curaçao,Mongolia
48,Cyprus,Russia
49,Czechia,Czechia
50,Côte d'Ivoire,Germany
51,Dem. Rep. Congo,Estonia
52,Denmark,Latvia
53,Djibouti,Norway
54,Dominica,Sweden
55,Dominican Republic,Finland
56,Ecuador,Vietnam
57,Egypt,Cambodia
58,El Salvador,Luxembourg
59,Equatorial Guinea,United Arab Emirates
60,Eritrea,Belgium
61,Estonia,Georgia
62,eSwatini,Macedonia
63,Ethiopia,Albania
64,Falkland Islands (Islas Malvinas),Azerbaijan
65,Faroe Islands,Kosovo
66,Fiji,Turkey
67,Finland,Spain
68,France,Laos
69,French Guiana,Kyrgyzstan
70,French Polynesia,Armenia
71,French Southern and Antarctic Lands,Denmark
72,Gabon,Libya
73,Gambia,Tunisia
74,Georgia,Romania
75,Germany,Hungary
76,Ghana,Slovakia
77,Greece,Poland
78,Greenland,Ireland
79,Grenada,United Kingdom
80,Guadeloupe,Greece
81,Guam,Zambia
82,Guatemala,Sierra Leone
83,Guernsey,Guinea
84,Guinea,Liberia
85,Guinea-Bissau,Central African Republic
86,Guyana,Sudan
87,Haiti,Djibouti
88,Heard Island and McDonald Islands,Eritrea
89,Honduras,Austria
90,Hong Kong,Iraq
91,Hungary,Italy
92,Iceland,Switzerland
93,India,Iran
94,Indonesia,Netherlands
95,Iran,Liechtenstein
96,Iraq,Côte d'Ivoire
97,Ireland,Serbia
98,Isle of Man,Mali
99,Israel,Senegal
100,Italy,Nigeria
101,Jamaica,Benin
102,Japan,Angola
103,Jersey,Croatia
104,Jordan,Slovenia
105,Kazakhstan,Qatar
106,Kenya,Saudi Arabia
107,Kiribati,Botswana
108,Kuwait,Zimbabwe
109,Kyrgyzstan,Bulgaria
110,Laos,Thailand
111,Latvia,San Marino
112,Lebanon,Haiti
113,Lesotho,Dominican Republic
114,Liberia,Chad
115,Libya,Kuwait
116,Liechtenstein,El Salvador
117,Lithuania,Guatemala
118,Luxembourg,Timor-Leste
119,Macau,Brunei
120,Macedonia,Monaco
121,Madagascar,Algeria
122,Malawi,Mozambique
123,Malaysia,eSwatini
124,Mali,Burundi
125,Malta,Rwanda
126,Martinique,Myanmar
127,Mauritania,Bangladesh
128,Mauritius,Andorra
129,Mayotte,Afghanistan
130,Mexico,Montenegro
131,Micronesia,Bosnia and Herzegovina
132,Moldova,Uganda
133,Monaco,USNB Guantanamo Bay
134,Mongolia,Cuba
135,Montenegro,Honduras
136,Montserrat,Ecuador
137,Morocco,Colombia
138,Mozambique,Paraguay
139,Myanmar,Portugal
140,Namibia,Moldova
141,Nepal,Turkmenistan
142,Netherlands,Jordan
143,New Caledonia,Nepal
144,New Zealand,Lesotho
145,Nicaragua,Cameroon
146,Niger,Gabon
147,Nigeria,Niger
148,Niue,Burkina Faso
149,North Korea,Togo
150,Northern Mariana Islands,Ghana
151,Norway,Guinea-Bissau
152,Oman,Gibraltar
153,Pakistan,United States of America
154,Palau,Canada
155,Palestina,Mexico
156,Panama,Belize
157,Papua New Guinea,Panama
158,Paraguay,Venezuela
159,Peru,Papua New Guinea
160,Philippines,Egypt
161,Poland,Yemen
162,Portugal,Mauritania
163,Puerto Rico,Equatorial Guinea
164,Qatar,Gambia
165,Reunion,Hong Kong
166,Romania,Vatican
167,Russia,N. Cyprus
168,Rwanda,Cyprus U.N. Buffer Zone
169,Saint Barthélemy,Siachen Glacier
170,Saint Kitts and Nevis,Baikonur
171,Saint Lucia,Akrotiri
172,Saint Martin,Antarctica
173,Saint Pierre and Miquelon,Australia
174,Saint Vincent and the Grenadines,Greenland
175,Samoa,Fiji
176,San Marino,New Zealand
177,Sao Tome and Principe,New Caledonia
178,Saudi Arabia,Madagascar
179,Senegal,Philippines
180,Serbia,Sri Lanka
181,Seychelles,Curaçao
182,Sierra Leone,Aruba
183,Singapore,Bahamas
184,Sint Maarten,Turks and Caicas Islands
