,Country,Anomaly,Unc.
0,Afghanistan,-0.703,0.212
1,Albania,0.408,0.16
2,Algeria,0.519,0.248
3,Andorra,0.7559999999999999,0.09699999999999999
4,Angola,-0.11599999999999999,0.638
5,Anguilla,-0.079,0.29100000000000004
6,Antigua and Barb,-0.081,0.162
7,Argentina,-0.17800000000000002,0.127
8,Armenia,0.081,0.154
9,Aruba,-0.27,0.295
10,Australia,-0.198,0.087
11,Austria,0.374,0.114
12,Azerbaijan,0.001,0.16899999999999998
13,Bahamas,0.261,0.311
14,Bahrain,-0.499,0.273
15,Bangladesh,-0.39299999999999996,0.065
16,Barbados,-0.24,0.185
17,Belarus,1.173,0.23399999999999999
18,Belgium,0.522,0.062
19,Belize,-0.205,0.22399999999999998
20,Benin,0.153,0.22699999999999998
21,Bhutan,-0.163,0.147
22,Bolivia,0.105,0.276
23,Bosnia and Herz,0.45399999999999996,0.2
24,Botswana,-0.44799999999999995,0.182
25,Brazil,-0.08900000000000001,0.1
26,British Virgin Is,-0.134,0.26899999999999996
27,Bulgaria,0.502,0.17300000000000001
28,Burkina Faso,0.221,0.28
29,Burma,-0.098,0.20199999999999999
30,Burundi,-0.018000000000000002,0.447
31,Cambodia,0.22,0.129
32,Cameroon,0.262,0.314
33,Canada,0.34,0.18899999999999997
34,Cayman Is,0.16699999999999998,0.21
35,Central African Rep,0.264,0.32899999999999996
36,Chad,0.23399999999999999,0.408
37,Chile,-0.386,0.109
38,China,-0.401,0.126
39,Colombia,-0.259,0.284
40,Comoros,-0.115,0.373
41,Congo,0.322,0.302
42,Costa Rica,-0.175,0.29
43,Croatia,0.423,0.153
44,Cuba,0.10800000000000001,0.125
45,Curaçao,-0.257,0.113
46,Cyprus,0.111,0.18100000000000002
47,Czechia,0.52,0.273
48,Côte d'Ivoire,0.126,0.214
49,Dem. Rep. Congo,-0.028999999999999998,0.28300000000000003
50,Denmark,0.6509999999999999,0.10099999999999999
51,Djibouti,-0.28800000000000003,0.47600000000000003
52,Dominica,-0.145,0.2
53,Dominican Rep,-0.138,0.161
54,Ecuador,-0.19899999999999998,0.21600000000000003
55,Egypt,0.043,0.196
56,El Salvador,-0.25,0.43
57,Eq. Guinea,0.24,0.384
58,Eritrea,-0.28300000000000003,0.308
59,Estonia,1.827,0.106
60,Ethiopia,-0.259,0.349
61,Faeroe Is,0.3,0.158
62,Falkland Is,-0.271,0.434
63,Fiji,0.021,0.373
64,Finland,2.246,0.131
65,Fr. Polynesia,-0.024,0.376
66,France,0.603,0.139
67,French Guiana,-0.027999999999999997,0.21899999999999997
68,Gabon,0.23600000000000002,0.529
69,Gambia,0.11800000000000001,0.409
70,Gaza Strip,0.133,0.187
71,Georgia,0.21899999999999997,0.174
72,Germany,0.595,0.09699999999999999
73,Ghana,0.033,0.27399999999999997
74,Greece,0.39799999999999996,0.16899999999999998
75,Greenland,0.34600000000000003,1.199
76,Guadeloupe,-0.076,0.313
77,Guam,0.025,0.171
78,Guatemala,-0.20600000000000002,0.287
79,Guernsey,0.35700000000000004,0.214
80,Guinea,-0.008,0.327
81,Guinea-Bissau,0.036000000000000004,0.41600000000000004
82,Guyana,-0.261,0.163
83,Haiti,-0.064,0.19699999999999998
84,Honduras,-0.17600000000000002,0.309
85,Hong Kong,0.152,0.124
86,Hungary,0.5670000000000001,0.13
87,Iceland,0.009000000000000001,0.145
88,India,-0.321,0.10300000000000001
89,Indonesia,-0.105,0.145
90,Iran,-0.305,0.18899999999999997
91,Iraq,0.083,0.16699999999999998
92,Ireland,0.077,0.212
93,Isle of Man,0.18600000000000003,0.22699999999999998
94,Israel,0.16399999999999998,0.187
95,Italy,0.335,0.162
96,Jamaica,-0.106,0.265
97,Japan,0.106,0.135
