,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-1.415,1.639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,1.822,2.201,-0.005,0.849,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,2.478,2.717,0.056,0.875,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.370,1.316,0.025,0.873,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-0.259,1.244,-0.133,0.870,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,0.070,1.378,-0.221,0.907,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,1.157,1.493,-0.161,0.903,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,-0.073,1.237,-0.557,0.854,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,0.146,2.048,-0.683,0.791,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-2.110,1.175,-0.797,0.764,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-3.156,1.264,-0.859,0.719,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-1.677,1.508,-0.880,0.722,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-0.703,1.635,-0.964,0.671,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-2.933,1.719,-0.948,0.664,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,0.976,1.423,-1.062,0.654,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.000,1.195,-1.021,0.667,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-1.001,1.343,-0.977,0.701,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.182,1.404,-0.940,0.739,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,0.140,1.464,-0.894,0.719,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,0.124,1.113,-0.630,0.715,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-1.219,1.059,-0.700,0.726,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.616,1.402,-0.678,0.682,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-2.637,1.478,-0.671,0.656,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-1.226,1.944,-0.532,0.625,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-0.157,1.460,-0.527,0.642,NaN,NaN,NaN,NaN,NaN,NaN
