,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1880,8,-0.115,1.117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1880,9,0.507,2.221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1880,10,-0.088,0.882,0.152,0.611,NaN,NaN,NaN,NaN,NaN,NaN
3,1880,11,-0.342,0.724,0.170,0.631,NaN,NaN,NaN,NaN,NaN,NaN
4,1880,12,0.146,1.707,0.155,0.625,NaN,NaN,NaN,NaN,NaN,NaN
5,1881,1,-0.326,1.225,0.186,0.690,NaN,NaN,NaN,NaN,NaN,NaN
6,1881,2,0.303,1.208,0.239,0.721,NaN,NaN,NaN,NaN,NaN,NaN
7,1881,3,0.801,2.047,0.231,0.701,NaN,NaN,NaN,NaN,NaN,NaN
8,1881,4,0.926,0.893,0.289,0.771,NaN,NaN,NaN,NaN,NaN,NaN
9,1881,5,0.398,0.909,0.320,0.863,NaN,NaN,NaN,NaN,NaN,NaN
10,1881,6,-0.414,0.914,0.307,0.810,NaN,NaN,NaN,NaN,NaN,NaN
11,1881,7,0.432,1.053,0.360,0.840,NaN,NaN,NaN,NaN,NaN,NaN
12,1881,8,NaN,NaN,0.355,0.775,NaN,NaN,NaN,NaN,NaN,NaN
13,1881,9,0.411,1.834,0.278,0.657,NaN,NaN,NaN,NaN,NaN,NaN
14,1881,10,0.618,1.714,0.205,0.665,NaN,NaN,NaN,NaN,NaN,NaN
15,1881,11,0.019,1.414,0.190,0.685,-0.181,0.411,NaN,NaN,NaN,NaN
16,1881,12,-0.007,1.164,0.168,0.701,-0.195,0.410,NaN,NaN,NaN,NaN
17,1882,1,0.313,0.663,0.050,0.570,-0.199,0.424,NaN,NaN,NaN,NaN
18,1882,2,0.246,0.800,-0.003,0.520,-0.193,0.429,NaN,NaN,NaN,NaN
19,1882,3,-0.120,0.924,-0.012,0.463,-0.174,0.466,NaN,NaN,NaN,NaN
20,1882,4,0.042,0.924,-0.083,0.437,-0.190,0.464,NaN,NaN,NaN,NaN
21,1882,5,0.216,1.035,-0.157,0.396,-0.198,0.466,NaN,NaN,NaN,NaN
22,1882,6,-0.668,0.678,-0.203,0.426,-0.184,0.475,NaN,NaN,NaN,NaN
23,1882,7,-0.993,1.385,-0.229,0.544,-0.171,0.507,NaN,NaN,NaN,NaN
