,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1873,7,0.428,1.366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1873,8,0.071,0.975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1873,9,0.077,1.104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1873,10,-0.388,0.941,-0.112,0.489,NaN,NaN,NaN,NaN,NaN,NaN
4,1873,11,NaN,NaN,-0.140,0.454,NaN,NaN,NaN,NaN,NaN,NaN
5,1873,12,0.027,0.870,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1874,1,-0.240,0.923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1874,2,-0.491,0.905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1874,3,-0.916,1.014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1874,4,-0.062,0.771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1874,5,-0.399,1.134,-0.301,0.403,NaN,NaN,NaN,NaN,NaN,NaN
11,1874,6,NaN,NaN,-0.350,0.404,NaN,NaN,NaN,NaN,NaN,NaN
12,1874,7,-0.198,0.799,-0.420,0.406,NaN,NaN,NaN,NaN,NaN,NaN
13,1874,8,-0.450,0.788,-0.449,0.398,NaN,NaN,NaN,NaN,NaN,NaN
14,1874,9,-0.005,0.812,-0.435,0.410,NaN,NaN,NaN,NaN,NaN,NaN
15,1874,10,-0.304,0.981,-0.471,0.413,NaN,NaN,NaN,NaN,NaN,NaN
16,1874,11,-0.699,0.879,-0.471,0.419,NaN,NaN,NaN,NaN,NaN,NaN
17,1874,12,-0.555,0.903,-0.499,0.417,NaN,NaN,NaN,NaN,NaN,NaN
18,1875,1,-1.079,0.826,-0.483,0.443,NaN,NaN,NaN,NaN,NaN,NaN
19,1875,2,-0.842,1.152,-0.477,0.473,NaN,NaN,NaN,NaN,NaN,NaN
20,1875,3,-0.749,0.906,-0.525,0.494,-0.401,0.266,NaN,NaN,NaN,NaN
21,1875,4,-0.500,0.901,-0.577,0.458,-0.399,0.266,NaN,NaN,NaN,NaN
22,1875,5,-0.400,1.049,-0.635,0.477,-0.384,0.263,NaN,NaN,NaN,NaN
23,1875,6,-0.201,1.064,-0.662,0.465,-0.369,0.256,NaN,NaN,NaN,NaN
24,1875,7,-0.006,1.061,-0.662,0.422,-0.362,0.257,NaN,NaN,NaN,NaN
25,1875,8,-0.382,0.999,-0.704,0.417,-0.355,0.264,NaN,NaN,NaN,NaN
26,1875,9,-0.580,0.996,-0.712,0.364,-0.336,0.257,NaN,NaN,NaN,NaN
27,1875,10,-0.930,0.762,-0.665,0.382,-0.322,0.262,NaN,NaN,NaN,NaN
28,1875,11,-1.394,1.194,-0.683,0.393,-0.324,0.258,NaN,NaN,NaN,NaN
29,1875,12,-0.875,0.810,-0.672,0.422,-0.328,0.260,NaN,NaN,NaN,NaN
30,1876,1,-1.080,1.090,-0.686,0.448,-0.333,0.249,NaN,NaN,NaN,NaN
31,1876,2,-1.345,1.186,-0.704,0.482,-0.338,0.243,NaN,NaN,NaN,NaN
32,1876,3,-0.852,1.381,NaN,NaN,-0.343,0.242,NaN,NaN,NaN,NaN
33,1876,4,NaN,NaN,NaN,NaN,-0.338,0.235,NaN,NaN,NaN,NaN
34,1876,5,-0.611,0.826,NaN,NaN,-0.329,0.233,NaN,NaN,NaN,NaN
35,1876,6,-0.075,0.765,NaN,NaN,-0.332,0.230,NaN,NaN,NaN,NaN
36,1876,7,NaN,NaN,NaN,NaN,-0.341,0.233,NaN,NaN,NaN,NaN
37,1876,8,NaN,NaN,NaN,NaN,-0.339,0.226,NaN,NaN,NaN,NaN
38,1876,9,NaN,NaN,NaN,NaN,-0.336,0.233,-0.333,0.132,NaN,NaN
39,1876,10,-0.267,1.053,-0.479,0.588,-0.347,0.233,-0.334,0.134,NaN,NaN
40,1876,11,-0.730,1.188,-0.443,0.557,-0.352,0.233,-0.329,0.133,NaN,NaN
41,1876,12,-0.928,1.500,-0.422,0.545,-0.355,0.230,-0.324,0.136,NaN,NaN
42,1877,1,-0.625,1.131,-0.373,0.494,-0.365,0.235,-0.315,0.134,NaN,NaN
43,1877,2,-0.701,0.854,-0.288,0.478,-0.378,0.236,-0.310,0.136,NaN,NaN
44,1877,3,-0.198,0.860,-0.229,0.456,-0.388,0.234,-0.311,0.134,NaN,NaN
45,1877,4,-0.263,0.741,-0.210,0.434,-0.387,0.231,-0.314,0.133,NaN,NaN
46,1877,5,-0.174,0.760,-0.147,0.386,-0.383,0.227,-0.316,0.133,NaN,NaN
47,1877,6,0.177,0.978,-0.093,0.357,-0.385,0.222,-0.318,0.132,NaN,NaN
48,1877,7,0.419,0.817,-0.084,0.346,-0.381,0.215,-0.322,0.129,NaN,NaN
49,1877,8,0.420,0.816,-0.020,0.344,-0.388,0.216,-0.326,0.127,NaN,NaN
50,1877,9,0.120,0.863,0.071,0.349,-0.391,0.216,-0.325,0.127,NaN,NaN
51,1877,10,-0.044,0.799,0.119,0.353,-0.394,0.215,-0.325,0.127,NaN,NaN
