,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1824,1,-0.601,1.655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1824,2,-0.792,2.875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1824,3,-0.463,0.990,-0.810,0.643,NaN,NaN,NaN,NaN,NaN,NaN
3,1824,4,0.287,1.444,-0.787,0.614,NaN,NaN,NaN,NaN,NaN,NaN
4,1824,5,-0.581,1.261,-0.707,0.577,NaN,NaN,NaN,NaN,NaN,NaN
5,1824,6,-0.485,2.386,-0.643,0.678,NaN,NaN,NaN,NaN,NaN,NaN
6,1824,7,-0.331,1.860,-0.617,0.613,NaN,NaN,NaN,NaN,NaN,NaN
7,1824,8,-1.062,1.009,-0.587,0.610,NaN,NaN,NaN,NaN,NaN,NaN
8,1824,9,-1.041,2.569,-0.531,0.516,NaN,NaN,NaN,NaN,NaN,NaN
9,1824,10,-1.443,0.644,-0.497,0.537,NaN,NaN,NaN,NaN,NaN,NaN
10,1824,11,-0.660,0.776,-0.437,0.434,NaN,NaN,NaN,NaN,NaN,NaN
11,1824,12,-0.541,2.953,-0.398,0.370,NaN,NaN,NaN,NaN,NaN,NaN
12,1825,1,-0.296,2.108,-0.384,0.405,NaN,NaN,NaN,NaN,NaN,NaN
13,1825,2,-0.425,1.200,-0.340,0.507,NaN,NaN,NaN,NaN,NaN,NaN
14,1825,3,0.203,1.713,-0.351,0.468,NaN,NaN,NaN,NaN,NaN,NaN
15,1825,4,0.700,0.865,-0.317,0.476,-0.640,0.425,NaN,NaN,NaN,NaN
16,1825,5,0.132,1.569,-0.293,0.508,-0.613,0.427,NaN,NaN,NaN,NaN
17,1825,6,-0.011,1.191,-0.267,0.635,-0.573,0.425,NaN,NaN,NaN,NaN
18,1825,7,-0.166,2.335,-0.237,0.758,-0.580,0.409,NaN,NaN,NaN,NaN
19,1825,8,-0.529,2.117,-0.298,0.793,-0.584,0.401,NaN,NaN,NaN,NaN
20,1825,9,-1.179,1.869,-0.426,0.645,-0.581,0.411,NaN,NaN,NaN,NaN
21,1825,10,-1.030,1.126,-0.516,0.593,-0.568,0.426,NaN,NaN,NaN,NaN
22,1825,11,-0.373,2.402,-0.535,0.586,-0.553,0.435,NaN,NaN,NaN,NaN
23,1825,12,-0.235,1.465,-0.571,0.513,-0.553,0.451,NaN,NaN,NaN,NaN
24,1826,1,0.067,1.394,-0.590,0.498,-0.557,0.455,NaN,NaN,NaN,NaN
25,1826,2,-1.159,1.571,-0.634,0.477,-0.545,0.448,NaN,NaN,NaN,NaN
26,1826,3,-1.334,1.895,-0.650,0.411,-0.540,0.425,NaN,NaN,NaN,NaN
27,1826,4,-0.377,1.599,-0.654,0.417,-0.522,0.424,NaN,NaN,NaN,NaN
28,1826,5,-0.092,1.151,-0.635,0.588,-0.497,0.416,NaN,NaN,NaN,NaN
29,1826,6,-0.444,1.757,-0.578,0.660,-0.487,0.382,NaN,NaN,NaN,NaN
30,1826,7,-0.396,1.739,-0.592,0.973,-0.492,0.362,NaN,NaN,NaN,NaN
31,1826,8,-1.059,1.372,-0.530,1.098,-0.496,0.373,NaN,NaN,NaN,NaN
32,1826,9,-1.373,1.148,-0.413,0.991,-0.492,0.360,NaN,NaN,NaN,NaN
33,1826,10,-1.068,1.285,-0.342,1.038,-0.498,0.352,NaN,NaN,NaN,NaN
34,1826,11,-0.153,1.843,-0.342,1.099,-0.488,0.357,NaN,NaN,NaN,NaN
35,1826,12,0.451,2.041,-0.314,1.088,-0.491,0.335,NaN,NaN,NaN,NaN
36,1827,1,-0.101,3.637,-0.302,1.136,-0.491,0.324,NaN,NaN,NaN,NaN
37,1827,2,-0.416,2.699,-0.306,1.238,-0.487,0.326,NaN,NaN,NaN,NaN
38,1827,3,0.074,1.866,-0.300,1.288,-0.489,0.307,NaN,NaN,NaN,NaN
39,1827,4,0.471,2.311,-0.316,1.411,-0.476,0.316,NaN,NaN,NaN,NaN
40,1827,5,-0.087,1.694,-0.315,1.353,-0.475,0.309,NaN,NaN,NaN,NaN
41,1827,6,NaN,NaN,-0.384,1.199,-0.477,0.290,NaN,NaN,NaN,NaN
42,1827,7,-0.246,1.426,-0.473,0.864,-0.459,0.307,NaN,NaN,NaN,NaN
43,1827,8,-1.115,2.121,-0.548,0.729,-0.436,0.322,NaN,NaN,NaN,NaN
44,1827,9,-1.291,1.560,-0.593,0.842,-0.456,0.334,NaN,NaN,NaN,NaN
45,1827,10,-1.271,2.042,-0.640,0.840,-0.464,0.339,NaN,NaN,NaN,NaN
46,1827,11,-0.130,0.944,-0.637,0.809,-0.486,0.362,NaN,NaN,NaN,NaN
47,1827,12,-0.377,1.861,-0.637,0.896,-0.499,0.373,NaN,NaN,NaN,NaN
48,1828,1,-1.177,1.620,-0.643,0.871,-0.492,0.391,NaN,NaN,NaN,NaN
49,1828,2,-1.315,1.735,-0.584,0.739,-0.494,0.401,NaN,NaN,NaN,NaN
50,1828,3,-0.460,1.509,-0.591,0.673,-0.501,0.406,NaN,NaN,NaN,NaN
51,1828,4,-0.090,2.251,-0.538,0.589,-0.502,0.420,NaN,NaN,NaN,NaN
52,1828,5,-0.056,1.474,-0.535,0.584,-0.476,0.434,NaN,NaN,NaN,NaN
53,1828,6,-0.114,1.697,-0.561,0.708,-0.456,0.437,NaN,NaN,NaN,NaN
54,1828,7,-0.324,1.493,-0.541,0.806,NaN,NaN,NaN,NaN,NaN,NaN
55,1828,8,-0.406,0.841,-0.514,0.801,NaN,NaN,NaN,NaN,NaN,NaN
