,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-1.633,2.584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,-1.602,2.315,-0.902,1.097,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,NaN,NaN,-0.897,1.125,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.192,2.013,-0.836,1.143,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.861,2.066,-1.048,1.217,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,-0.274,2.076,-1.014,1.237,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.166,2.845,-1.063,1.277,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.259,2.570,-1.202,1.249,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,NaN,NaN,-1.234,1.252,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-0.793,2.107,-1.394,1.277,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-3.991,2.314,-1.328,1.234,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-3.171,2.790,-1.391,1.247,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-2.225,2.888,-1.296,1.228,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-3.260,1.982,-1.269,1.237,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,0.799,2.053,-1.248,1.228,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.730,2.016,-1.300,1.793,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-1.069,1.958,-1.276,2.018,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-1.022,2.257,-1.254,0.840,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,1.299,1.898,-1.257,0.867,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,0.589,2.717,-0.868,0.815,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-0.402,2.282,-0.914,0.806,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.417,7.961,-0.881,0.816,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-3.699,4.347,-0.850,0.785,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-2.913,1.862,-0.655,0.734,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-2.261,2.149,-0.702,0.852,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,1.408,1.892,-0.867,0.768,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,0.253,2.290,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-1.341,2.628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.690,1.825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,1.310,1.785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,0.744,1.815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,-1.392,1.858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-0.468,2.496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,-0.746,2.953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,-1.826,1.826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1753,1,-1.712,4.019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1753,2,-1.815,5.401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1753,3,0.774,3.302,-0.531,1.306,NaN,NaN,NaN,NaN,NaN,NaN
39,1753,4,-0.069,4.573,-0.528,1.258,NaN,NaN,NaN,NaN,NaN,NaN
40,1753,5,-0.041,2.428,-0.631,1.194,NaN,NaN,NaN,NaN,NaN,NaN
41,1753,6,0.625,3.030,-0.725,0.984,NaN,NaN,NaN,NaN,NaN,NaN
42,1753,7,0.440,1.963,-0.699,0.873,NaN,NaN,NaN,NaN,NaN,NaN
43,1753,8,-1.094,3.498,-0.820,0.853,NaN,NaN,NaN,NaN,NaN,NaN
44,1753,9,-0.438,1.831,-1.105,0.901,NaN,NaN,NaN,NaN,NaN,NaN
45,1753,10,-0.440,3.069,-0.963,0.897,NaN,NaN,NaN,NaN,NaN,NaN
46,1753,11,-1.978,3.404,-0.908,0.933,NaN,NaN,NaN,NaN,NaN,NaN
47,1753,12,-2.953,6.234,-0.903,0.868,NaN,NaN,NaN,NaN,NaN,NaN
48,1754,1,-1.402,4.658,-0.929,0.959,NaN,NaN,NaN,NaN,NaN,NaN
49,1754,2,-3.270,5.901,-0.888,0.956,NaN,NaN,NaN,NaN,NaN,NaN
50,1754,3,-2.637,3.019,-0.949,0.995,NaN,NaN,NaN,NaN,NaN,NaN
51,1754,4,1.631,2.675,-0.865,1.041,NaN,NaN,NaN,NaN,NaN,NaN
52,1754,5,0.618,5.891,-0.709,1.160,NaN,NaN,NaN,NaN,NaN,NaN
53,1754,6,0.688,5.074,-0.523,0.941,NaN,NaN,NaN,NaN,NaN,NaN
54,1754,7,0.124,2.447,-0.648,0.982,NaN,NaN,NaN,NaN,NaN,NaN
55,1754,8,-0.603,2.365,-0.696,0.954,NaN,NaN,NaN,NaN,NaN,NaN
56,1754,9,-1.164,2.760,-0.555,0.919,NaN,NaN,NaN,NaN,NaN,NaN
57,1754,10,0.572,2.046,-0.490,1.198,NaN,NaN,NaN,NaN,NaN,NaN
58,1754,11,-0.105,2.478,-0.530,1.069,NaN,NaN,NaN,NaN,NaN,NaN
59,1754,12,-0.728,2.469,-0.444,1.171,NaN,NaN,NaN,NaN,NaN,NaN
60,1755,1,-2.903,3.645,-0.420,1.221,NaN,NaN,NaN,NaN,NaN,NaN
61,1755,2,-3.844,4.281,-0.488,1.267,NaN,NaN,NaN,NaN,NaN,NaN
62,1755,3,-0.946,3.121,-0.514,1.440,-0.423,1.187,NaN,NaN,NaN,NaN
63,1755,4,2.416,3.427,-0.478,1.607,-0.472,1.203,NaN,NaN,NaN,NaN
64,1755,5,0.136,3.855,-0.652,1.865,-0.502,1.197,NaN,NaN,NaN,NaN
65,1755,6,1.716,6.704,-0.690,1.586,-0.516,1.218,NaN,NaN,NaN,NaN
66,1755,7,0.414,2.919,-0.469,1.502,-0.562,1.131,NaN,NaN,NaN,NaN
67,1755,8,-1.416,2.405,-0.032,2.105,-0.588,1.146,NaN,NaN,NaN,NaN
68,1755,9,-1.478,2.786,0.067,2.122,-0.614,1.130,NaN,NaN,NaN,NaN
69,1755,10,1.004,4.044,-0.128,1.970,-0.624,1.115,NaN,NaN,NaN,NaN
70,1755,11,-2.189,3.327,-0.093,1.688,-0.653,1.106,NaN,NaN,NaN,NaN
71,1755,12,-1.188,5.163,-0.154,1.573,-0.663,1.103,NaN,NaN,NaN,NaN
72,1756,1,-0.248,2.833,-0.202,1.502,-0.695,1.133,NaN,NaN,NaN,NaN
73,1756,2,1.393,5.095,-0.090,1.663,-0.713,1.105,NaN,NaN,NaN,NaN
74,1756,3,0.244,6.564,-0.001,1.538,-0.742,1.114,NaN,NaN,NaN,NaN
75,1756,4,0.076,2.175,-0.152,1.661,-0.780,1.091,NaN,NaN,NaN,NaN
76,1756,5,0.555,3.893,-0.215,1.682,-0.759,1.062,NaN,NaN,NaN,NaN
77,1756,6,0.983,4.819,-0.314,1.739,-0.725,1.145,NaN,NaN,NaN,NaN
78,1756,7,-0.155,1.993,-0.522,1.667,-0.682,1.191,NaN,NaN,NaN,NaN
79,1756,8,-0.071,3.311,-0.608,1.655,-0.610,1.268,NaN,NaN,NaN,NaN
80,1756,9,-0.411,2.079,-0.682,1.427,-0.570,1.283,NaN,NaN,NaN,NaN
81,1756,10,-0.808,2.627,-0.647,1.656,-0.613,1.281,NaN,NaN,NaN,NaN
82,1756,11,-2.949,2.087,-0.618,1.947,-0.649,1.287,NaN,NaN,NaN,NaN
83,1756,12,-2.374,6.165,-0.528,2.021,-0.656,1.237,NaN,NaN,NaN,NaN
84,1757,1,-2.743,3.147,-0.308,2.496,-0.663,1.228,NaN,NaN,NaN,NaN
85,1757,2,0.354,4.762,-0.146,2.448,-0.660,1.231,NaN,NaN,NaN,NaN
86,1757,3,-0.645,3.521,-0.119,2.550,-0.647,1.218,NaN,NaN,NaN,NaN
87,1757,4,0.499,6.136,-0.338,2.272,-0.667,1.221,NaN,NaN,NaN,NaN
88,1757,5,0.906,4.561,-0.306,2.233,-0.729,1.259,NaN,NaN,NaN,NaN
89,1757,6,2.062,5.545,-0.329,1.831,-0.763,1.233,NaN,NaN,NaN,NaN
90,1757,7,2.479,7.621,-0.473,1.870,-0.754,1.221,NaN,NaN,NaN,NaN
91,1757,8,1.882,4.527,-0.782,1.509,-0.713,1.265,NaN,NaN,NaN,NaN
92,1757,9,-0.089,3.654,-0.794,1.335,-0.733,1.205,-0.714,1.054,NaN,NaN
93,1757,10,-3.435,5.382,-0.891,1.216,-0.765,1.142,-0.722,1.051,NaN,NaN
94,1757,11,-2.563,2.137,-1.115,1.140,-0.777,1.103,-0.720,1.056,NaN,NaN
95,1757,12,-2.655,6.291,-1.287,1.148,-0.813,1.056,-0.732,0.888,NaN,NaN
96,1758,1,-4.473,6.922,-1.614,1.338,-0.833,1.044,-0.747,0.887,NaN,NaN
97,1758,2,-3.347,2.146,-1.954,1.309,-0.830,1.050,-0.738,0.886,NaN,NaN
98,1758,3,-0.793,3.510,-2.128,1.360,-0.833,1.035,-0.765,0.892,NaN,NaN
99,1758,4,-0.670,6.319,-2.070,1.147,-0.864,1.003,-0.771,0.892,NaN,NaN
100,1758,5,-1.779,2.456,-1.915,1.178,-0.846,1.010,-0.785,0.896,NaN,NaN
101,1758,6,0.001,3.360,-1.767,1.000,-0.859,0.951,-0.802,0.896,NaN,NaN
102,1758,7,-1.445,3.639,-1.296,1.159,-0.893,1.005,-0.793,0.903,NaN,NaN
103,1758,8,-2.196,2.295,-0.934,1.600,-0.938,0.929,-0.782,0.899,NaN,NaN
104,1758,9,-2.183,1.977,-0.886,1.858,-0.928,0.924,-0.788,0.905,NaN,NaN
105,1758,10,-2.740,2.941,-0.911,1.678,-0.938,0.910,-0.803,0.903,NaN,NaN
106,1758,11,-0.698,3.612,-0.890,1.583,-0.926,0.884,-0.806,0.910,NaN,NaN
107,1758,12,-0.881,3.437,-0.865,1.821,-0.917,0.848,-0.785,0.917,NaN,NaN
108,1759,1,1.177,2.335,-0.769,2.034,-0.868,0.864,-0.780,0.909,NaN,NaN
109,1759,2,1.002,6.625,-0.626,1.729,-0.870,0.871,-0.738,0.913,NaN,NaN
110,1759,3,-0.215,2.240,-0.472,1.678,-0.856,0.903,-0.728,0.915,NaN,NaN
111,1759,4,-0.968,4.243,-0.299,1.742,-0.881,0.869,-0.749,0.917,NaN,NaN
112,1759,5,-1.536,1.757,-0.557,1.785,-0.858,0.858,-0.751,0.925,NaN,NaN
113,1759,6,0.302,2.069,-0.713,1.001,-0.895,0.831,-0.762,0.913,NaN,NaN
114,1759,7,-0.294,2.148,-1.008,0.868,-0.834,0.853,-0.765,0.904,NaN,NaN
115,1759,8,-0.473,3.649,-1.207,0.718,-0.844,0.925,-0.774,0.898,NaN,NaN
116,1759,9,-0.338,1.924,-1.371,0.624,-0.870,0.913,-0.774,0.898,NaN,NaN
117,1759,10,-0.662,3.808,-1.250,0.787,-0.859,0.909,-0.782,0.906,NaN,NaN
118,1759,11,-3.792,3.748,-1.170,0.780,-0.874,0.900,-0.792,0.922,NaN,NaN
119,1759,12,-2.760,2.033,-1.231,0.722,-0.923,0.896,-0.775,0.926,NaN,NaN
120,1760,1,-2.357,3.694,-1.272,0.759,-0.961,0.873,-0.727,0.930,NaN,NaN
121,1760,2,-1.392,2.384,-1.337,0.886,-0.991,0.843,-0.704,0.934,NaN,NaN
122,1760,3,-2.180,4.208,-1.444,0.892,-1.006,0.826,-0.687,0.935,NaN,NaN
