,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-2.145,2.731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,-0.657,2.324,-0.734,1.085,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,NaN,NaN,-0.700,1.113,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.142,2.108,-0.648,1.125,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.342,2.024,-0.798,1.182,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,-0.099,2.140,-0.772,1.211,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.124,2.788,-0.736,1.236,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.209,2.608,-0.899,1.203,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,NaN,NaN,-0.958,1.208,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-1.072,2.089,-1.090,1.233,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-2.791,2.229,-1.071,1.187,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-2.506,2.868,-1.111,1.199,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-1.711,2.927,-1.067,1.184,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-2.609,1.981,-1.043,1.186,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,0.576,2.009,-1.081,1.175,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.451,2.086,-1.129,1.804,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-1.112,1.907,-1.148,2.082,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.572,2.100,-1.145,0.794,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,0.647,1.947,-1.144,0.818,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,0.497,2.583,-0.801,0.780,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-0.863,2.252,-0.851,0.778,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.653,8.408,-0.837,0.781,NaN,NaN,NaN,NaN,NaN,NaN
