,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1879,1,-0.892,0.835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1879,2,-0.821,0.726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1879,3,-0.974,0.766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1879,4,-1.069,0.720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1879,5,-0.476,0.623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1879,6,-0.584,1.192,-0.815,0.537,NaN,NaN,NaN,NaN,NaN,NaN
6,1879,7,-1.045,1.562,-0.903,0.616,NaN,NaN,NaN,NaN,NaN,NaN
7,1879,8,NaN,NaN,-1.005,0.695,NaN,NaN,NaN,NaN,NaN,NaN
8,1879,9,NaN,NaN,-1.105,0.824,NaN,NaN,NaN,NaN,NaN,NaN
9,1879,10,NaN,NaN,-1.184,0.932,NaN,NaN,NaN,NaN,NaN,NaN
10,1879,11,-0.981,0.803,-1.269,1.119,NaN,NaN,NaN,NaN,NaN,NaN
11,1879,12,-1.652,1.106,-1.302,1.166,NaN,NaN,NaN,NaN,NaN,NaN
12,1880,1,-1.944,1.755,-1.231,1.084,NaN,NaN,NaN,NaN,NaN,NaN
13,1880,2,-2.045,1.386,-1.230,1.144,NaN,NaN,NaN,NaN,NaN,NaN
14,1880,3,-2.169,2.157,-1.249,1.178,NaN,NaN,NaN,NaN,NaN,NaN
15,1880,4,-2.020,1.942,-1.298,1.235,NaN,NaN,NaN,NaN,NaN,NaN
16,1880,5,-1.493,2.500,-1.251,1.228,NaN,NaN,NaN,NaN,NaN,NaN
17,1880,6,-0.980,1.699,-1.175,1.208,NaN,NaN,NaN,NaN,NaN,NaN
18,1880,7,-0.197,0.752,-1.114,1.230,NaN,NaN,NaN,NaN,NaN,NaN
19,1880,8,-0.500,1.164,-1.024,1.212,-0.657,0.600,NaN,NaN,NaN,NaN
20,1880,9,-0.806,0.831,-0.958,1.221,-0.685,0.615,NaN,NaN,NaN,NaN
21,1880,10,-0.790,1.037,-0.891,1.222,-0.697,0.612,NaN,NaN,NaN,NaN
22,1880,11,-0.414,0.813,-0.856,1.176,-0.696,0.607,NaN,NaN,NaN,NaN
23,1880,12,-0.741,0.808,-0.906,1.226,-0.705,0.611,NaN,NaN,NaN,NaN
24,1881,1,-1.210,1.983,-1.005,1.376,-0.710,0.605,NaN,NaN,NaN,NaN
25,1881,2,-0.964,1.240,-0.990,1.338,-0.718,0.606,NaN,NaN,NaN,NaN
26,1881,3,-1.380,2.249,-0.945,1.315,-0.723,0.605,NaN,NaN,NaN,NaN
27,1881,4,-1.217,1.984,-0.939,1.352,-0.726,0.617,NaN,NaN,NaN,NaN
28,1881,5,-1.075,1.988,-0.934,1.276,-0.739,0.612,NaN,NaN,NaN,NaN
29,1881,6,-1.575,2.310,-0.899,1.255,-0.736,0.610,NaN,NaN,NaN,NaN
30,1881,7,-1.394,2.327,-0.772,1.120,-0.734,0.615,NaN,NaN,NaN,NaN
31,1881,8,NaN,NaN,-0.651,0.973,-0.725,0.609,NaN,NaN,NaN,NaN
32,1881,9,NaN,NaN,-0.581,0.826,-0.730,0.605,NaN,NaN,NaN,NaN
33,1881,10,-0.718,1.326,-0.522,0.651,-0.723,0.588,NaN,NaN,NaN,NaN
34,1881,11,-0.349,0.781,-0.461,0.515,-0.727,0.587,-0.454,0.241,NaN,NaN
35,1881,12,-0.321,0.762,-0.372,0.410,-0.727,0.576,-0.449,0.246,NaN,NaN
