,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1956,1,0.558,1.300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1956,2,0.744,1.237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1956,3,0.010,1.225,0.349,0.530,NaN,NaN,NaN,NaN,NaN,NaN
3,1956,4,-0.013,1.416,0.192,0.490,NaN,NaN,NaN,NaN,NaN,NaN
4,1956,5,-0.351,1.409,0.186,0.460,NaN,NaN,NaN,NaN,NaN,NaN
5,1956,6,0.302,1.055,0.343,0.424,NaN,NaN,NaN,NaN,NaN,NaN
6,1956,7,0.566,1.136,0.331,0.435,NaN,NaN,NaN,NaN,NaN,NaN
7,1956,8,-1.905,1.285,0.306,0.423,NaN,NaN,NaN,NaN,NaN,NaN
8,1956,9,1.927,0.997,0.294,0.452,NaN,NaN,NaN,NaN,NaN,NaN
9,1956,10,-0.386,0.903,0.370,0.408,NaN,NaN,NaN,NaN,NaN,NaN
10,1956,11,0.738,1.122,0.430,0.379,NaN,NaN,NaN,NaN,NaN,NaN
11,1956,12,1.823,1.278,0.430,0.364,NaN,NaN,NaN,NaN,NaN,NaN
12,1957,1,0.405,1.126,0.229,0.357,NaN,NaN,NaN,NaN,NaN,NaN
13,1957,2,0.452,1.009,0.436,0.329,NaN,NaN,NaN,NaN,NaN,NaN
14,1957,3,-0.138,0.803,0.380,0.308,0.087,0.226,NaN,NaN,NaN,NaN
15,1957,4,0.904,0.798,0.511,0.300,0.075,0.225,NaN,NaN,NaN,NaN
16,1957,5,0.365,0.773,0.515,0.282,0.046,0.224,NaN,NaN,NaN,NaN
17,1957,6,0.308,0.694,0.442,0.264,0.053,0.224,NaN,NaN,NaN,NaN
18,1957,7,-1.847,1.005,0.420,0.257,0.028,0.223,NaN,NaN,NaN,NaN
19,1957,8,0.579,1.346,0.398,0.250,0.028,0.231,NaN,NaN,NaN,NaN
20,1957,9,1.254,1.200,0.431,0.243,-0.009,0.232,NaN,NaN,NaN,NaN
21,1957,10,1.187,0.627,0.444,0.254,-0.031,0.226,NaN,NaN,NaN,NaN
22,1957,11,0.778,0.894,0.451,0.268,-0.050,0.222,NaN,NaN,NaN,NaN
23,1957,12,0.956,0.896,0.168,0.261,-0.081,0.215,NaN,NaN,NaN,NaN
24,1958,1,0.130,0.866,0.264,0.236,-0.129,0.211,NaN,NaN,NaN,NaN
25,1958,2,0.199,0.772,0.040,0.268,-0.173,0.210,NaN,NaN,NaN,NaN
26,1958,3,0.253,0.612,-0.261,0.300,-0.168,0.199,NaN,NaN,NaN,NaN
27,1958,4,1.055,0.577,-0.392,0.297,-0.184,0.192,NaN,NaN,NaN,NaN
28,1958,5,0.458,0.707,-0.434,0.301,-0.207,0.192,NaN,NaN,NaN,NaN
29,1958,6,-3.098,0.849,-0.609,0.308,-0.218,0.191,-0.169,0.201,NaN,NaN
30,1958,7,-0.692,0.913,-0.679,0.332,-0.231,0.190,-0.166,0.196,NaN,NaN
31,1958,8,-2.110,0.808,-0.744,0.331,-0.232,0.189,-0.154,0.196,NaN,NaN
32,1958,9,-2.349,1.001,-0.698,0.337,-0.231,0.191,-0.141,0.197,NaN,NaN
33,1958,10,-0.389,0.613,-0.696,0.286,-0.221,0.180,-0.158,0.196,NaN,NaN
34,1958,11,0.274,0.695,-0.686,0.309,-0.181,0.180,-0.160,0.195,NaN,NaN
35,1958,12,-1.153,0.859,-0.460,0.288,-0.176,0.177,-0.166,0.194,NaN,NaN
36,1959,1,-0.706,1.213,-0.431,0.271,-0.184,0.172,-0.163,0.195,NaN,NaN
37,1959,2,-0.575,0.845,-0.313,0.263,-0.151,0.179,-0.164,0.194,NaN,NaN
38,1959,3,0.806,0.748,-0.338,0.244,-0.158,0.177,-0.165,0.193,NaN,NaN
39,1959,4,1.078,1.505,-0.334,0.248,-0.143,0.187,-0.176,0.188,NaN,NaN
40,1959,5,0.578,0.809,-0.466,0.257,-0.157,0.183,-0.196,0.190,NaN,NaN
41,1959,6,-0.386,0.867,-0.338,0.262,-0.207,0.182,-0.181,0.182,NaN,NaN
42,1959,7,-0.342,0.876,-0.376,0.251,-0.234,0.182,-0.170,0.180,NaN,NaN
43,1959,8,-0.700,0.677,-0.382,0.263,-0.243,0.181,-0.168,0.190,NaN,NaN
44,1959,9,-2.645,0.830,-0.671,0.273,-0.253,0.188,-0.177,0.188,NaN,NaN
45,1959,10,-0.349,0.919,-0.853,0.326,-0.282,0.179,-0.190,0.187,NaN,NaN
46,1959,11,-1.309,0.846,-1.009,0.326,-0.318,0.174,-0.188,0.185,NaN,NaN
47,1959,12,0.387,0.778,-1.117,0.327,-0.316,0.166,-0.187,0.184,NaN,NaN
48,1960,1,-1.159,0.829,-1.258,0.358,-0.316,0.160,-0.187,0.183,NaN,NaN
49,1960,2,-0.652,1.455,-1.177,0.361,-0.340,0.171,-0.174,0.184,NaN,NaN
50,1960,3,-2.660,0.895,-0.972,0.344,-0.369,0.186,-0.174,0.186,NaN,NaN
51,1960,4,-1.112,0.738,-0.897,0.297,-0.400,0.198,-0.182,0.186,NaN,NaN
52,1960,5,-1.286,0.740,-0.836,0.315,-0.424,0.199,-0.182,0.186,NaN,NaN
53,1960,6,-1.687,0.750,-0.928,0.317,-0.456,0.204,-0.197,0.186,NaN,NaN
54,1960,7,-2.034,0.688,-0.850,0.300,-0.459,0.208,-0.203,0.181,NaN,NaN
55,1960,8,0.273,0.707,-0.739,0.276,-0.476,0.213,-0.218,0.177,NaN,NaN
56,1960,9,-0.182,1.138,-0.511,0.282,-0.500,0.215,-0.225,0.175,NaN,NaN
57,1960,10,0.546,0.714,-0.369,0.296,-0.546,0.217,-0.237,0.175,NaN,NaN
58,1960,11,-0.571,1.069,-0.093,0.299,-0.577,0.231,-0.248,0.178,NaN,NaN
59,1960,12,-0.716,0.783,0.098,0.292,-0.513,0.217,-0.248,0.176,-0.111,0.150
60,1961,1,-0.226,0.728,0.277,0.303,-0.495,0.209,-0.261,0.174,-0.105,0.150
61,1961,2,0.683,0.860,0.258,0.293,-0.424,0.211,-0.265,0.172,-0.104,0.149
62,1961,3,0.066,0.846,0.400,0.296,-0.351,0.220,-0.242,0.167,-0.105,0.148
63,1961,4,0.601,1.573,0.397,0.317,-0.372,0.221,-0.241,0.166,-0.100,0.148
64,1961,5,2.018,0.973,0.437,0.295,-0.386,0.216,-0.240,0.171,-0.098,0.147
65,1961,6,0.606,0.792,0.397,0.307,-0.379,0.209,-0.244,0.170,-0.093,0.148
66,1961,7,0.114,0.709,0.313,0.313,-0.377,0.206,-0.233,0.167,-0.092,0.148
67,1961,8,0.053,0.876,0.250,0.317,-0.379,0.202,-0.232,0.168,-0.088,0.148
68,1961,9,1.519,1.040,0.183,0.345,-0.401,0.198,-0.252,0.174,-0.083,0.148
69,1961,10,0.507,1.418,0.064,0.396,-0.457,0.204,-0.259,0.176,-0.085,0.147
70,1961,11,-0.093,0.823,-0.255,0.348,-0.516,0.214,-0.265,0.172,-0.092,0.147
71,1961,12,-1.194,0.885,-0.271,0.354,-0.483,0.210,-0.280,0.166,-0.092,0.146
