,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-1.419,2.659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,-0.045,2.589,-0.403,1.197,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,2.165,2.151,-0.371,1.232,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.439,1.473,-0.316,1.233,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.165,1.843,-0.496,1.336,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,0.274,1.923,-0.510,1.338,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.548,3.304,-0.549,1.396,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.465,2.619,-0.808,1.327,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,-0.339,2.436,-0.892,1.335,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-0.977,1.691,-1.076,1.384,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-3.649,2.001,-1.041,1.320,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-2.421,2.976,-1.106,1.354,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-1.877,3.198,-1.072,1.311,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-3.161,1.504,-1.019,1.318,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,1.153,1.832,-1.014,1.293,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.766,1.519,-1.021,2.085,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-0.739,1.588,-0.989,2.403,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.508,2.540,-0.977,0.829,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,0.954,1.447,-0.903,0.852,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,1.108,3.280,-0.567,0.732,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-0.285,2.217,-0.645,0.713,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.059,10.029,-0.581,0.735,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-3.271,5.187,-0.584,0.674,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-2.272,1.513,-0.392,0.558,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-0.989,1.856,-0.423,0.906,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,0.873,1.318,-0.588,0.721,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,0.209,2.173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-1.000,2.653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.771,1.305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,1.799,0.995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,0.576,1.181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,-0.862,1.318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-0.252,2.348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,-0.407,3.169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,-1.154,1.344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1753,1,-2.178,4.808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1753,2,-1.041,6.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1753,3,1.016,3.952,-0.250,1.445,NaN,NaN,NaN,NaN,NaN,NaN
39,1753,4,0.470,5.426,-0.253,1.384,NaN,NaN,NaN,NaN,NaN,NaN
40,1753,5,0.308,2.357,-0.378,1.278,NaN,NaN,NaN,NaN,NaN,NaN
41,1753,6,1.117,3.639,-0.425,0.972,NaN,NaN,NaN,NaN,NaN,NaN
42,1753,7,0.482,1.495,-0.339,0.770,NaN,NaN,NaN,NaN,NaN,NaN
43,1753,8,-0.892,4.246,-0.452,0.738,NaN,NaN,NaN,NaN,NaN,NaN
44,1753,9,-0.472,1.252,-0.828,0.817,NaN,NaN,NaN,NaN,NaN,NaN
45,1753,10,-0.284,3.520,-0.862,0.866,NaN,NaN,NaN,NaN,NaN,NaN
46,1753,11,-1.915,3.738,-0.796,0.940,NaN,NaN,NaN,NaN,NaN,NaN
47,1753,12,-1.713,8.197,-0.824,0.809,NaN,NaN,NaN,NaN,NaN,NaN
48,1754,1,-1.144,5.428,-0.912,0.948,NaN,NaN,NaN,NaN,NaN,NaN
49,1754,2,-2.399,6.940,-0.823,0.953,NaN,NaN,NaN,NaN,NaN,NaN
