,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1876,4,0.449,1.659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1876,5,0.948,1.761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1876,6,0.015,1.559,-0.098,0.756,NaN,NaN,NaN,NaN,NaN,NaN
3,1876,7,0.232,1.529,-0.045,0.762,NaN,NaN,NaN,NaN,NaN,NaN
4,1876,8,-0.186,1.490,0.037,0.739,NaN,NaN,NaN,NaN,NaN,NaN
5,1876,9,-0.113,1.686,0.096,0.731,NaN,NaN,NaN,NaN,NaN,NaN
6,1876,10,-0.188,1.463,0.183,0.742,NaN,NaN,NaN,NaN,NaN,NaN
7,1876,11,-0.663,1.521,0.192,0.747,NaN,NaN,NaN,NaN,NaN,NaN
8,1876,12,0.440,1.638,0.203,0.737,NaN,NaN,NaN,NaN,NaN,NaN
9,1877,1,-0.208,1.526,0.250,0.726,NaN,NaN,NaN,NaN,NaN,NaN
10,1877,2,-0.348,1.742,0.302,0.732,NaN,NaN,NaN,NaN,NaN,NaN
11,1877,3,0.771,1.679,0.355,0.757,NaN,NaN,NaN,NaN,NaN,NaN
12,1877,4,1.493,1.755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1877,5,1.062,1.617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1877,6,0.142,1.504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1877,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1877,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1877,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1877,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1877,11,-0.104,1.823,NaN,NaN,0.002,0.448,NaN,NaN,NaN,NaN
20,1877,12,-1.048,1.551,NaN,NaN,-0.002,0.448,NaN,NaN,NaN,NaN
21,1878,1,-1.385,1.564,0.243,0.740,-0.006,0.449,NaN,NaN,NaN,NaN
22,1878,2,-1.296,1.685,0.264,0.729,-0.010,0.448,NaN,NaN,NaN,NaN
23,1878,3,0.648,1.621,0.285,0.701,-0.005,0.444,NaN,NaN,NaN,NaN
24,1878,4,0.819,1.480,0.181,0.676,0.006,0.447,NaN,NaN,NaN,NaN
25,1878,5,0.589,1.652,0.170,0.675,0.026,0.446,NaN,NaN,NaN,NaN
26,1878,6,0.685,1.447,0.282,0.704,0.029,0.437,NaN,NaN,NaN,NaN
27,1878,7,1.707,1.447,0.507,0.725,0.062,0.436,NaN,NaN,NaN,NaN
28,1878,8,0.700,1.486,0.575,0.739,0.092,0.432,NaN,NaN,NaN,NaN
29,1878,9,0.770,1.457,0.433,0.715,0.097,0.430,NaN,NaN,NaN,NaN
