,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1824,1,-0.586,2.046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1824,2,-0.753,2.218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1824,3,-0.474,1.481,-0.863,0.686,NaN,NaN,NaN,NaN,NaN,NaN
3,1824,4,0.242,1.338,-0.840,0.675,NaN,NaN,NaN,NaN,NaN,NaN
4,1824,5,-0.644,0.900,-0.762,0.632,NaN,NaN,NaN,NaN,NaN,NaN
5,1824,6,-0.578,1.856,-0.691,0.829,NaN,NaN,NaN,NaN,NaN,NaN
6,1824,7,-0.427,1.584,-0.667,0.903,NaN,NaN,NaN,NaN,NaN,NaN
7,1824,8,-1.204,0.718,-0.641,0.784,NaN,NaN,NaN,NaN,NaN,NaN
8,1824,9,-1.104,1.954,-0.585,0.656,NaN,NaN,NaN,NaN,NaN,NaN
9,1824,10,-1.483,1.333,-0.546,0.637,NaN,NaN,NaN,NaN,NaN,NaN
10,1824,11,-0.742,1.978,-0.488,0.576,NaN,NaN,NaN,NaN,NaN,NaN
11,1824,12,-0.540,3.904,-0.449,0.695,NaN,NaN,NaN,NaN,NaN,NaN
12,1825,1,-0.301,2.496,-0.440,0.707,NaN,NaN,NaN,NaN,NaN,NaN
13,1825,2,-0.434,1.412,-0.395,0.659,NaN,NaN,NaN,NaN,NaN,NaN
14,1825,3,0.201,2.323,-0.408,0.709,NaN,NaN,NaN,NaN,NaN,NaN
15,1825,4,0.707,1.314,-0.373,0.714,-0.689,0.493,NaN,NaN,NaN,NaN
16,1825,5,0.048,2.088,-0.345,0.796,-0.659,0.495,NaN,NaN,NaN,NaN
17,1825,6,-0.114,1.374,-0.319,0.812,-0.618,0.486,NaN,NaN,NaN,NaN
18,1825,7,-0.314,1.725,-0.285,0.900,-0.626,0.472,NaN,NaN,NaN,NaN
19,1825,8,-0.665,1.704,-0.346,0.927,-0.630,0.462,NaN,NaN,NaN,NaN
20,1825,9,-1.261,1.256,-0.476,0.763,-0.625,0.452,NaN,NaN,NaN,NaN
21,1825,10,-1.054,1.485,-0.570,0.720,-0.612,0.459,NaN,NaN,NaN,NaN
22,1825,11,-0.411,2.868,-0.585,0.740,-0.597,0.463,NaN,NaN,NaN,NaN
23,1825,12,-0.226,1.873,-0.620,0.717,-0.597,0.475,NaN,NaN,NaN,NaN
24,1826,1,0.108,1.714,-0.639,0.599,-0.602,0.478,NaN,NaN,NaN,NaN
25,1826,2,-1.174,1.744,-0.686,0.568,-0.592,0.467,NaN,NaN,NaN,NaN
26,1826,3,-1.356,2.098,-0.704,0.615,-0.589,0.438,NaN,NaN,NaN,NaN
27,1826,4,-0.420,1.566,-0.708,0.584,-0.571,0.435,NaN,NaN,NaN,NaN
28,1826,5,-0.133,1.230,-0.681,0.677,-0.545,0.426,NaN,NaN,NaN,NaN
29,1826,6,-0.532,1.265,-0.621,0.732,-0.535,0.403,NaN,NaN,NaN,NaN
30,1826,7,-0.548,1.041,-0.632,0.873,-0.540,0.384,NaN,NaN,NaN,NaN
31,1826,8,-1.225,0.908,-0.562,0.949,-0.545,0.374,NaN,NaN,NaN,NaN
32,1826,9,-1.479,1.328,-0.443,0.811,-0.541,0.350,NaN,NaN,NaN,NaN
33,1826,10,-1.098,1.519,-0.370,0.854,-0.547,0.340,NaN,NaN,NaN,NaN
34,1826,11,-0.087,1.838,-0.373,0.833,-0.538,0.345,NaN,NaN,NaN,NaN
35,1826,12,0.491,2.040,-0.346,0.833,-0.541,0.347,NaN,NaN,NaN,NaN
36,1827,1,-0.024,2.862,-0.334,0.840,-0.542,0.351,NaN,NaN,NaN,NaN
37,1827,2,-0.333,1.934,-0.338,0.931,-0.539,0.356,NaN,NaN,NaN,NaN
38,1827,3,0.080,1.828,-0.329,0.935,-0.542,0.338,NaN,NaN,NaN,NaN
39,1827,4,0.456,2.009,-0.345,0.982,-0.529,0.343,NaN,NaN,NaN,NaN
40,1827,5,-0.173,1.343,-0.348,0.932,-0.527,0.345,NaN,NaN,NaN,NaN
41,1827,6,NaN,NaN,-0.421,0.830,-0.529,0.345,NaN,NaN,NaN,NaN
42,1827,7,-0.403,1.643,-0.522,0.577,-0.513,0.348,NaN,NaN,NaN,NaN
43,1827,8,-1.280,1.490,-0.603,0.489,-0.491,0.334,NaN,NaN,NaN,NaN
