,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-1.399,2.994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,1.862,2.493,-0.018,1.231,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,2.457,2.088,0.041,1.265,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.382,1.612,0.009,1.273,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-0.236,1.811,-0.150,1.357,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,0.054,1.971,-0.233,1.379,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,1.075,3.273,-0.173,1.421,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,-0.145,2.543,-0.569,1.380,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,0.124,2.329,-0.691,1.407,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-2.082,1.858,-0.805,1.456,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-3.185,2.147,-0.865,1.396,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-1.707,3.035,-0.888,1.420,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-0.679,3.301,-0.967,1.398,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-2.889,1.692,-0.952,1.398,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,0.994,1.779,-1.064,1.379,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-0.984,1.714,-1.022,2.201,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-0.958,1.647,-0.978,2.549,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.215,2.278,-0.940,0.811,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,0.119,1.671,-0.900,0.843,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,0.037,2.841,-0.634,0.755,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-1.219,2.094,-0.704,0.750,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.572,10.421,-0.682,0.768,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-2.657,5.627,-0.675,0.727,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-1.256,1.454,-0.531,0.641,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-0.194,1.904,-0.526,0.888,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,0.295,1.489,-0.568,0.755,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,0.155,2.235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-0.721,2.719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.875,1.544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
