,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1849,10,-0.591,1.510,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1849,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1849,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1850,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1850,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1850,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1850,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1850,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1850,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1850,7,0.257,1.487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1850,8,-0.146,1.302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1850,9,-0.541,1.035,-0.697,0.508,NaN,NaN,NaN,NaN,NaN,NaN
12,1850,10,-1.346,1.243,-0.744,0.520,NaN,NaN,NaN,NaN,NaN,NaN
13,1850,11,-1.662,1.929,-0.669,0.579,NaN,NaN,NaN,NaN,NaN,NaN
14,1850,12,-1.202,1.176,-0.653,0.604,NaN,NaN,NaN,NaN,NaN,NaN
15,1851,1,-0.061,1.635,-0.735,0.577,NaN,NaN,NaN,NaN,NaN,NaN
16,1851,2,-0.264,1.511,-0.766,0.574,NaN,NaN,NaN,NaN,NaN,NaN
17,1851,3,-1.143,1.427,-0.846,0.633,NaN,NaN,NaN,NaN,NaN,NaN
18,1851,4,-0.513,1.204,-0.767,0.675,NaN,NaN,NaN,NaN,NaN,NaN
19,1851,5,-0.566,1.536,-0.747,0.775,NaN,NaN,NaN,NaN,NaN,NaN
20,1851,6,-0.644,1.340,-0.728,0.847,NaN,NaN,NaN,NaN,NaN,NaN
21,1851,7,-0.726,1.278,-0.988,0.876,NaN,NaN,NaN,NaN,NaN,NaN
22,1851,8,-0.528,1.144,-0.969,0.842,NaN,NaN,NaN,NaN,NaN,NaN
23,1851,9,-1.495,1.707,-0.940,0.957,NaN,NaN,NaN,NaN,NaN,NaN
24,1851,10,-0.399,1.247,-0.919,0.940,NaN,NaN,NaN,NaN,NaN,NaN
25,1851,11,-1.428,1.393,-0.880,0.935,-0.680,0.628,NaN,NaN,NaN,NaN
26,1851,12,-0.966,1.911,-0.868,0.936,-0.682,0.621,NaN,NaN,NaN,NaN
27,1852,1,-3.179,1.803,-0.851,0.948,-0.699,0.610,NaN,NaN,NaN,NaN
28,1852,2,-0.043,1.383,-0.847,0.934,-0.715,0.607,NaN,NaN,NaN,NaN
