,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1873,7,0.475,1.124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1873,8,0.076,0.942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1873,9,0.077,1.183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1873,10,-0.346,0.865,-0.091,0.498,NaN,NaN,NaN,NaN,NaN,NaN
4,1873,11,NaN,NaN,-0.116,0.475,NaN,NaN,NaN,NaN,NaN,NaN
5,1873,12,0.054,0.928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1874,1,-0.212,1.006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1874,2,-0.451,0.910,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1874,3,-0.904,0.995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1874,4,-0.076,0.899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1874,5,-0.384,1.200,-0.275,0.509,NaN,NaN,NaN,NaN,NaN,NaN
11,1874,6,NaN,NaN,-0.325,0.508,NaN,NaN,NaN,NaN,NaN,NaN
12,1874,7,-0.144,0.888,-0.395,0.515,NaN,NaN,NaN,NaN,NaN,NaN
13,1874,8,-0.445,0.935,-0.423,0.506,NaN,NaN,NaN,NaN,NaN,NaN
14,1874,9,-0.000,0.848,-0.409,0.515,NaN,NaN,NaN,NaN,NaN,NaN
15,1874,10,-0.264,0.831,-0.446,0.506,NaN,NaN,NaN,NaN,NaN,NaN
16,1874,11,-0.663,1.039,-0.445,0.464,NaN,NaN,NaN,NaN,NaN,NaN
17,1874,12,-0.543,1.022,-0.472,0.437,NaN,NaN,NaN,NaN,NaN,NaN
18,1875,1,-1.047,0.907,-0.454,0.453,NaN,NaN,NaN,NaN,NaN,NaN
19,1875,2,-0.798,0.950,-0.447,0.465,NaN,NaN,NaN,NaN,NaN,NaN
20,1875,3,-0.734,0.825,-0.494,0.472,-0.372,0.331,NaN,NaN,NaN,NaN
21,1875,4,-0.516,0.770,-0.545,0.454,-0.370,0.335,NaN,NaN,NaN,NaN
22,1875,5,-0.379,0.814,-0.603,0.435,-0.355,0.338,NaN,NaN,NaN,NaN
23,1875,6,-0.128,0.941,-0.629,0.447,-0.340,0.341,NaN,NaN,NaN,NaN
24,1875,7,0.063,1.167,-0.630,0.438,-0.334,0.341,NaN,NaN,NaN,NaN
25,1875,8,-0.354,0.861,-0.671,0.403,-0.327,0.345,NaN,NaN,NaN,NaN
26,1875,9,-0.562,0.788,-0.679,0.425,-0.308,0.350,NaN,NaN,NaN,NaN
27,1875,10,-0.886,0.904,-0.631,0.440,-0.293,0.351,NaN,NaN,NaN,NaN
28,1875,11,-1.351,0.808,-0.649,0.457,-0.294,0.348,NaN,NaN,NaN,NaN
29,1875,12,-0.863,0.830,-0.639,0.476,-0.297,0.347,NaN,NaN,NaN,NaN
30,1876,1,-1.056,1.258,-0.652,0.494,-0.302,0.346,NaN,NaN,NaN,NaN
31,1876,2,-1.292,1.079,-0.671,0.542,-0.307,0.344,NaN,NaN,NaN,NaN
32,1876,3,-0.824,1.467,NaN,NaN,-0.311,0.344,NaN,NaN,NaN,NaN
33,1876,4,NaN,NaN,NaN,NaN,-0.307,0.340,NaN,NaN,NaN,NaN
34,1876,5,-0.591,1.007,NaN,NaN,-0.298,0.338,NaN,NaN,NaN,NaN
35,1876,6,-0.002,0.758,NaN,NaN,-0.301,0.335,NaN,NaN,NaN,NaN
36,1876,7,NaN,NaN,NaN,NaN,-0.310,0.336,NaN,NaN,NaN,NaN
37,1876,8,NaN,NaN,NaN,NaN,-0.308,0.329,NaN,NaN,NaN,NaN
38,1876,9,NaN,NaN,NaN,NaN,-0.305,0.331,-0.303,0.166,NaN,NaN
39,1876,10,-0.226,1.066,-0.446,0.613,-0.315,0.331,-0.305,0.164,NaN,NaN
40,1876,11,-0.689,1.462,-0.410,0.597,-0.321,0.325,-0.300,0.164,NaN,NaN
41,1876,12,-0.908,1.314,-0.389,0.599,-0.323,0.316,-0.295,0.164,NaN,NaN
42,1877,1,-0.588,1.170,-0.340,0.564,-0.333,0.315,-0.287,0.165,NaN,NaN
43,1877,2,-0.646,1.000,-0.255,0.564,-0.346,0.314,-0.283,0.166,NaN,NaN
44,1877,3,-0.176,0.915,-0.196,0.541,-0.356,0.312,-0.283,0.165,NaN,NaN
45,1877,4,-0.279,0.792,-0.177,0.518,-0.355,0.311,-0.287,0.165,NaN,NaN
46,1877,5,-0.155,0.813,-0.114,0.476,-0.351,0.301,-0.288,0.165,NaN,NaN
47,1877,6,0.253,0.868,-0.061,0.447,-0.353,0.297,-0.290,0.165,NaN,NaN
48,1877,7,0.486,0.852,-0.053,0.435,-0.350,0.283,-0.293,0.164,NaN,NaN
49,1877,8,0.441,0.970,0.011,0.461,-0.357,0.268,-0.297,0.164,NaN,NaN
50,1877,9,0.135,0.844,0.101,0.473,-0.360,0.261,-0.297,0.163,NaN,NaN
51,1877,10,-0.000,0.835,0.150,0.487,-0.364,0.255,-0.297,0.164,NaN,NaN
52,1877,11,0.069,0.799,0.149,0.488,-0.362,0.249,-0.295,0.165,NaN,NaN
53,1877,12,-0.269,1.445,0.183,0.492,-0.366,0.243,-0.292,0.163,NaN,NaN
54,1878,1,-0.493,1.363,0.158,0.502,-0.364,0.232,-0.290,0.162,NaN,NaN
55,1878,2,0.119,1.217,0.104,0.510,-0.354,0.230,-0.297,0.158,NaN,NaN
56,1878,3,0.907,0.895,0.078,0.507,-0.351,0.228,-0.293,0.158,NaN,NaN
57,1878,4,0.309,0.945,0.070,0.490,-0.337,0.216,-0.286,0.154,NaN,NaN
58,1878,5,-0.163,0.781,0.066,0.520,-0.315,0.215,-0.286,0.153,NaN,NaN
59,1878,6,0.661,0.825,0.075,0.569,-0.300,0.207,-0.287,0.151,NaN,NaN
60,1878,7,0.186,1.411,0.054,0.634,-0.278,0.193,-0.290,0.148,NaN,NaN
61,1878,8,-0.215,1.256,0.018,0.635,-0.258,0.179,-0.292,0.145,NaN,NaN
62,1878,9,-0.181,0.968,-0.117,0.637,-0.235,0.172,-0.294,0.145,NaN,NaN
63,1878,10,-0.087,0.763,-0.201,0.634,-0.230,0.171,-0.290,0.143,NaN,NaN
64,1878,11,0.016,1.017,-0.249,0.643,-0.214,0.166,-0.288,0.141,NaN,NaN
65,1878,12,-0.165,0.838,-0.300,0.654,-0.216,0.167,-0.291,0.141,NaN,NaN
66,1879,1,-0.736,1.287,-0.379,0.590,-0.206,0.163,-0.293,0.139,NaN,NaN
67,1879,2,-0.313,0.881,-0.460,0.535,-0.205,0.160,-0.288,0.135,NaN,NaN
68,1879,3,-0.719,0.882,-0.499,0.506,-0.195,0.157,-0.283,0.131,NaN,NaN
69,1879,4,-0.697,0.835,-0.505,0.529,-0.195,0.157,-0.285,0.130,NaN,NaN
70,1879,5,-0.736,0.917,-0.541,0.475,-0.192,0.164,-0.288,0.127,NaN,NaN
71,1879,6,0.046,1.120,-0.586,0.465,-0.179,0.167,-0.293,0.125,NaN,NaN
72,1879,7,-0.763,0.925,-0.594,0.387,-0.169,0.168,-0.295,0.123,NaN,NaN
73,1879,8,-1.191,0.743,-0.672,0.343,-0.164,0.174,-0.290,0.121,NaN,NaN
74,1879,9,-0.640,0.759,-0.689,0.339,-0.168,0.173,-0.294,0.120,NaN,NaN
75,1879,10,-0.157,0.934,-0.692,0.334,-0.177,0.172,-0.297,0.119,NaN,NaN
76,1879,11,-0.421,0.794,-0.649,0.357,-0.180,0.175,-0.298,0.119,NaN,NaN
77,1879,12,-0.702,0.862,-0.689,0.357,-0.190,0.177,-0.295,0.121,NaN,NaN
78,1880,1,-0.832,1.027,-0.605,0.395,-0.202,0.181,-0.296,0.120,NaN,NaN
79,1880,2,-1.252,1.219,-0.488,0.432,-0.217,0.189,-0.296,0.118,NaN,NaN
80,1880,3,-0.923,1.006,-0.465,0.449,-0.222,0.188,-0.293,0.117,NaN,NaN
81,1880,4,-0.740,1.025,-0.456,0.511,-0.223,0.190,-0.294,0.117,NaN,NaN
82,1880,5,-0.218,0.870,-0.426,0.520,-0.236,0.197,-0.295,0.114,NaN,NaN
83,1880,6,-0.424,1.047,-0.363,0.548,-0.245,0.206,-0.297,0.113,NaN,NaN
84,1880,7,0.235,1.037,-0.270,0.530,-0.247,0.206,-0.297,0.111,NaN,NaN
85,1880,8,0.218,1.011,-0.177,0.517,-0.267,0.207,-0.298,0.110,NaN,NaN
86,1880,9,-0.369,0.825,-0.053,0.513,-0.279,0.191,NaN,NaN,NaN,NaN
87,1880,10,-0.048,1.240,0.039,0.496,-0.279,0.186,NaN,NaN,NaN,NaN
88,1880,11,-0.055,0.843,0.089,0.497,-0.277,0.180,NaN,NaN,NaN,NaN
89,1880,12,0.052,0.904,0.113,0.480,-0.277,0.183,NaN,NaN,NaN,NaN
90,1881,1,0.281,0.909,0.136,0.485,-0.278,0.181,NaN,NaN,NaN,NaN
91,1881,2,-0.136,1.377,0.076,0.449,-0.277,0.179,NaN,NaN,NaN,NaN
92,1881,3,0.572,1.204,0.107,0.446,-0.276,0.179,NaN,NaN,NaN,NaN
93,1881,4,0.365,0.908,0.093,0.435,-0.273,0.181,NaN,NaN,NaN,NaN
94,1881,5,0.373,0.846,0.055,0.443,-0.279,0.193,NaN,NaN,NaN,NaN
95,1881,6,NaN,NaN,0.042,0.459,-0.280,0.192,NaN,NaN,-0.300,0.183
96,1881,7,0.508,1.069,0.019,0.430,-0.276,0.199,NaN,NaN,-0.303,0.184
97,1881,8,NaN,NaN,-0.002,0.365,-0.269,0.205,NaN,NaN,-0.307,0.187
98,1881,9,-0.000,0.799,-0.083,0.336,-0.262,0.220,-0.215,0.103,-0.306,0.190
99,1881,10,-0.216,1.085,-0.181,0.334,-0.256,0.229,-0.212,0.104,-0.307,0.194
100,1881,11,-0.509,0.811,-0.238,0.345,-0.254,0.243,-0.202,0.104,-0.301,0.196
101,1881,12,-0.105,1.271,-0.257,0.352,-0.263,0.246,-0.202,0.104,-0.296,0.198
102,1882,1,-0.001,1.049,-0.320,0.378,-0.258,0.253,-0.205,0.106,-0.289,0.201
103,1882,2,-0.378,0.896,-0.315,0.376,-0.233,0.265,-0.204,0.108,-0.285,0.205
104,1882,3,-0.409,0.781,-0.329,0.365,-0.232,0.263,-0.204,0.110,-0.281,0.208
105,1882,4,-0.800,1.141,-0.318,0.393,NaN,NaN,-0.207,0.110,-0.282,0.211
106,1882,5,-0.315,0.858,-0.334,0.409,NaN,NaN,-0.209,0.111,-0.285,0.214
107,1882,6,NaN,NaN,-0.391,0.453,NaN,NaN,-0.220,0.113,-0.286,0.217
108,1882,7,-0.249,0.950,-0.445,0.457,NaN,NaN,-0.228,0.116,-0.289,0.221
109,1882,8,-0.444,1.123,NaN,NaN,NaN,NaN,-0.240,0.120,-0.291,0.223
110,1882,9,-0.161,0.860,NaN,NaN,NaN,NaN,-0.242,0.126,-0.291,0.225
111,1882,10,-0.093,0.822,NaN,NaN,NaN,NaN,-0.243,0.132,-0.293,0.229
112,1882,11,-0.697,1.060,NaN,NaN,NaN,NaN,-0.242,0.133,-0.288,0.231
113,1882,12,NaN,NaN,-0.255,0.411,NaN,NaN,-0.236,0.136,-0.280,0.234
114,1883,1,NaN,NaN,NaN,NaN,NaN,NaN,-0.233,0.141,-0.275,0.236
115,1883,2,NaN,NaN,NaN,NaN,NaN,NaN,-0.234,0.144,-0.275,0.239
116,1883,3,0.162,1.485,NaN,NaN,NaN,NaN,-0.236,0.148,-0.275,0.244
117,1883,4,0.331,1.167,NaN,NaN,NaN,NaN,-0.235,0.150,-0.277,0.247
118,1883,5,-0.077,0.952,NaN,NaN,NaN,NaN,-0.236,0.154,-0.276,0.251
119,1883,6,0.653,0.811,NaN,NaN,NaN,NaN,-0.247,0.155,-0.279,0.256
120,1883,7,NaN,NaN,NaN,NaN,NaN,NaN,-0.253,0.160,-0.279,0.259
121,1883,8,NaN,NaN,NaN,NaN,NaN,NaN,-0.257,0.165,-0.277,0.262
122,1883,9,NaN,NaN,NaN,NaN,NaN,NaN,-0.255,0.174,-0.277,0.268
123,1883,10,0.132,0.789,NaN,NaN,NaN,NaN,-0.256,0.183,-0.274,0.271
124,1883,11,-0.363,1.249,NaN,NaN,NaN,NaN,-0.251,0.188,-0.269,0.275
125,1883,12,NaN,NaN,NaN,NaN,NaN,NaN,-0.251,0.192,-0.267,0.279
126,1884,1,NaN,NaN,NaN,NaN,NaN,NaN,-0.249,0.199,-0.266,0.283
127,1884,2,0.131,0.968,NaN,NaN,NaN,NaN,-0.245,0.206,-0.265,0.286
128,1884,3,-0.291,1.222,NaN,NaN,NaN,NaN,-0.236,0.213,-0.262,0.289
129,1884,4,-0.361,1.101,NaN,NaN,NaN,NaN,-0.233,0.222,-0.263,0.290
130,1884,5,-0.628,1.105,NaN,NaN,NaN,NaN,-0.231,0.227,-0.261,0.291
131,1884,6,NaN,NaN,NaN,NaN,NaN,NaN,-0.233,0.232,-0.262,0.292
132,1884,7,NaN,NaN,NaN,NaN,NaN,NaN,-0.231,0.236,-0.260,0.295
133,1884,8,NaN,NaN,NaN,NaN,NaN,NaN,-0.224,0.242,-0.259,0.295
134,1884,9,NaN,NaN,NaN,NaN,NaN,NaN,-0.225,0.249,-0.259,0.298
135,1884,10,NaN,NaN,NaN,NaN,NaN,NaN,-0.230,0.256,-0.259,0.301
136,1884,11,NaN,NaN,NaN,NaN,NaN,NaN,-0.228,0.260,-0.255,0.301
137,1884,12,NaN,NaN,NaN,NaN,NaN,NaN,-0.217,0.263,-0.253,0.303
138,1885,1,NaN,NaN,NaN,NaN,NaN,NaN,-0.214,0.265,-0.247,0.305
139,1885,2,NaN,NaN,NaN,NaN,NaN,NaN,-0.209,0.272,-0.243,0.309
140,1885,3,NaN,NaN,NaN,NaN,NaN,NaN,-0.213,0.278,-0.240,0.312
141,1885,4,NaN,NaN,NaN,NaN,NaN,NaN,-0.221,0.284,-0.237,0.312
142,1885,5,NaN,NaN,NaN,NaN,NaN,NaN,-0.228,0.290,-0.234,0.315
143,1885,6,NaN,NaN,NaN,NaN,NaN,NaN,-0.237,0.296,-0.235,0.317
144,1885,7,NaN,NaN,NaN,NaN,NaN,NaN,-0.243,0.305,-0.233,0.321
145,1885,8,NaN,NaN,NaN,NaN,NaN,NaN,-0.256,0.312,-0.231,0.323
146,1885,9,NaN,NaN,NaN,NaN,NaN,NaN,-0.262,0.318,-0.228,0.328
147,1885,10,NaN,NaN,NaN,NaN,NaN,NaN,-0.263,0.326,-0.222,0.334
148,1885,11,NaN,NaN,NaN,NaN,NaN,NaN,-0.265,0.332,-0.212,0.339
149,1885,12,NaN,NaN,NaN,NaN,NaN,NaN,-0.264,0.340,-0.203,0.344
150,1886,1,0.115,1.128,NaN,NaN,NaN,NaN,-0.268,0.345,-0.197,0.348
151,1886,2,0.109,0.865,NaN,NaN,NaN,NaN,-0.271,0.352,-0.191,0.354
152,1886,3,0.331,1.551,0.166,0.678,NaN,NaN,-0.282,0.359,-0.190,0.357
153,1886,4,0.083,0.780,0.222,0.715,NaN,NaN,-0.288,0.364,-0.192,0.356
154,1886,5,-0.036,0.710,0.291,0.718,NaN,NaN,-0.294,0.370,-0.192,0.356
155,1886,6,0.261,1.639,0.187,0.723,NaN,NaN,-0.295,0.373,-0.196,0.359
156,1886,7,0.795,0.978,0.101,0.719,NaN,NaN,-0.304,0.375,-0.198,0.357
157,1886,8,0.603,1.047,0.048,0.721,NaN,NaN,-0.307,0.381,-0.201,0.355
158,1886,9,0.224,0.764,-0.000,0.653,NaN,NaN,-0.308,0.388,-0.203,0.353
159,1886,10,0.201,0.874,-0.061,0.686,NaN,NaN,-0.310,0.395,-0.205,0.350
160,1886,11,0.413,0.746,-0.087,0.677,NaN,NaN,-0.302,0.400,-0.204,0.348
161,1886,12,-0.858,0.792,-0.202,0.617,NaN,NaN,-0.296,0.408,-0.203,0.346
162,1887,1,-0.910,0.932,-0.307,0.585,NaN,NaN,-0.290,0.415,-0.204,0.342
163,1887,2,-0.531,0.747,-0.435,0.567,NaN,NaN,-0.287,0.426,-0.205,0.340
164,1887,3,-0.245,0.760,-0.465,0.632,-0.218,0.543,-0.280,0.432,-0.204,0.339
165,1887,4,-0.647,0.701,-0.491,0.657,-0.220,0.556,-0.277,0.440,-0.203,0.338
166,1887,5,-0.350,0.627,-0.510,0.655,-0.210,0.569,-0.282,0.446,-0.202,0.337
167,1887,6,-1.120,0.823,-0.404,0.669,-0.196,0.581,-0.282,0.451,-0.203,0.334
168,1887,7,-0.468,0.594,-0.341,0.689,-0.185,0.585,-0.284,0.461,-0.206,0.332
169,1887,8,-0.930,0.877,-0.289,0.709,-0.184,0.599,-0.284,0.467,-0.207,0.330
170,1887,9,-0.138,1.652,-0.218,0.716,-0.202,0.614,-0.286,0.470,-0.209,0.329
171,1887,10,-0.108,1.242,-0.128,0.718,-0.217,0.629,-0.289,0.479,-0.211,0.328
172,1887,11,0.181,0.789,-0.122,0.740,-0.227,0.639,-0.281,0.489,-0.212,0.330
173,1887,12,0.411,1.051,-0.087,0.718,-0.246,0.649,-0.267,0.494,-0.213,0.330
174,1888,1,-0.148,1.177,-0.090,0.742,-0.255,0.662,-0.260,0.498,-0.215,0.330
175,1888,2,0.088,0.987,-0.069,0.749,-0.271,0.672,-0.253,0.505,-0.221,0.330
176,1888,3,0.606,0.908,-0.052,0.722,-0.278,0.684,-0.257,0.509,-0.227,0.328
177,1888,4,0.432,0.686,-0.063,0.718,-0.272,0.697,-0.268,0.517,-0.232,0.327
178,1888,5,-0.270,0.797,-0.027,0.735,-0.270,0.700,-0.266,0.521,-0.230,0.327
179,1888,6,-0.696,0.931,-0.075,0.706,-0.274,0.708,-0.271,0.527,-0.231,0.325
180,1888,7,-0.504,1.045,-0.105,0.684,-0.279,0.710,-0.268,0.534,-0.232,0.324
181,1888,8,-0.680,0.835,-0.100,0.682,-0.288,0.716,-0.263,0.539,-0.233,0.321
182,1888,9,0.060,1.171,-0.117,0.715,-0.307,0.711,-0.259,0.549,-0.235,0.319
183,1888,10,-0.231,1.167,-0.182,0.755,-0.314,0.730,-0.259,0.560,-0.236,0.316
184,1888,11,0.605,0.933,-0.197,0.761,-0.320,0.739,-0.249,0.573,-0.233,0.314
185,1888,12,-0.161,1.438,-0.160,0.798,-0.328,0.725,-0.243,0.582,-0.233,0.314
186,1889,1,-0.507,1.068,-0.161,0.806,-0.350,0.717,-0.238,0.591,-0.234,0.313
187,1889,2,0.150,1.146,-0.128,0.825,-0.374,0.716,-0.242,0.600,-0.233,0.312
188,1889,3,0.399,1.122,-0.199,0.829,-0.381,0.721,-0.240,0.609,-0.231,0.310
189,1889,4,-0.346,1.327,-0.240,0.870,-0.392,0.728,-0.240,0.616,-0.228,0.309
190,1889,5,-0.458,0.698,-0.304,0.924,-0.392,0.731,-0.235,0.622,-0.223,0.310
191,1889,6,-0.243,0.880,-0.241,0.917,-0.367,0.734,-0.231,0.625,-0.223,0.308
192,1889,7,-0.520,0.834,-0.237,0.879,-0.339,0.736,-0.224,0.631,-0.217,0.305
193,1889,8,-0.285,0.988,-0.310,0.866,-0.331,0.747,-0.229,0.634,-0.209,0.302
194,1889,9,-0.791,1.066,-0.461,0.859,-0.319,0.753,-0.224,0.640,-0.203,0.299
195,1889,10,-0.727,1.206,-0.566,0.870,-0.317,0.762,-0.221,0.645,-0.203,0.296
196,1889,11,-0.164,1.506,-0.616,0.894,-0.327,0.768,-0.213,0.649,-0.198,0.294
197,1889,12,0.602,1.240,-0.721,0.899,-0.313,0.769,-0.210,0.654,-0.194,0.292
198,1890,1,-0.465,1.014,-0.721,0.940,-0.314,0.778,-0.199,0.656,-0.196,0.291
199,1890,2,-0.719,1.168,-0.812,0.920,-0.306,0.778,-0.190,0.660,-0.188,0.290
200,1890,3,-1.416,1.121,-0.839,0.903,-0.309,0.762,-0.187,0.666,-0.178,0.289
201,1890,4,-1.602,1.298,-0.786,0.881,-0.316,0.759,-0.181,0.665,-0.175,0.288
202,1890,5,-1.060,1.057,-0.799,0.859,-0.314,0.762,-0.174,0.671,-0.175,0.287
203,1890,6,-1.505,0.907,-0.836,0.895,-0.307,0.759,-0.172,0.673,-0.172,0.285
204,1890,7,-0.519,1.191,-0.812,0.917,-0.300,0.751,-0.169,0.682,-0.177,0.285
205,1890,8,-1.375,1.036,-0.791,0.900,-0.305,0.755,-0.164,0.686,-0.180,0.283
206,1890,9,-1.120,0.894,-0.737,0.913,-0.321,0.761,-0.156,0.695,-0.178,0.282
207,1890,10,-0.091,1.036,-0.632,0.887,-0.345,0.766,-0.149,0.706,-0.178,0.281
208,1890,11,-0.322,0.923,-0.578,0.871,-0.337,0.767,-0.136,0.713,-0.178,0.281
209,1890,12,0.156,1.242,-0.470,0.860,-0.326,0.771,-0.130,0.721,-0.181,0.281
210,1891,1,-0.176,0.984,-0.473,0.812,-0.309,0.771,-0.127,0.725,-0.186,0.279
211,1891,2,-0.460,0.915,-0.428,0.824,-0.289,0.768,-0.126,0.732,-0.184,0.278
212,1891,3,-0.764,1.223,-0.352,0.828,-0.285,0.770,-0.134,0.727,-0.187,0.277
213,1891,4,-0.344,1.099,-0.378,0.843,-0.279,0.774,-0.138,0.728,-0.189,0.276
214,1891,5,-0.418,0.942,-0.319,0.823,-0.275,0.783,-0.143,0.725,-0.190,0.275
215,1891,6,-0.204,0.806,-0.279,0.798,-0.264,0.790,-0.153,0.716,-0.190,0.272
216,1891,7,-0.552,0.548,-0.198,0.800,-0.254,0.793,-0.165,0.705,-0.192,0.270
217,1891,8,-0.841,1.103,-0.166,0.833,-0.261,0.790,-0.180,0.695,-0.189,0.268
218,1891,9,-0.202,1.036,-0.061,0.808,-0.270,0.790,-0.191,0.687,-0.188,0.265
219,1891,10,-0.413,1.365,-0.078,0.795,-0.270,0.778,-0.199,0.678,-0.189,0.261
220,1891,11,0.388,0.700,-0.120,0.781,-0.262,0.776,-0.206,0.672,-0.188,0.258
221,1891,12,0.639,0.854,-0.126,0.778,-0.257,0.767,-0.203,0.662,-0.188,0.256
222,1892,1,0.792,1.038,-0.128,0.845,-0.244,0.768,-0.204,0.650,-0.193,0.256
223,1892,2,-0.070,1.232,-0.092,0.824,-0.244,0.757,-0.206,0.641,-0.192,0.255
224,1892,3,0.493,0.918,-0.103,0.795,-0.230,0.758,-0.203,0.633,-0.192,0.254
225,1892,4,-0.553,0.851,-0.112,0.787,-0.222,0.756,-0.198,0.629,-0.188,0.254
226,1892,5,-0.919,0.779,-0.118,0.792,-0.216,0.754,-0.195,0.624,-0.188,0.254
227,1892,6,-0.272,0.785,-0.103,0.780,-0.224,0.753,-0.186,0.612,-0.183,0.253
228,1892,7,-0.577,1.569,-0.146,0.767,-0.213,0.754,-0.184,0.605,-0.181,0.252
229,1892,8,-0.414,0.801,-0.159,0.737,-0.196,0.749,-0.175,0.593,-0.179,0.250
230,1892,9,-0.330,0.692,-0.227,0.746,-0.172,0.743,-0.176,0.578,-0.180,0.248
231,1892,10,-0.518,1.171,-0.267,0.741,-0.145,0.725,-0.179,0.568,-0.185,0.248
