,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1855,5,-0.189,1.225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1855,6,-1.107,1.553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1855,7,-0.784,1.161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1855,8,-0.509,1.034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1855,9,-1.188,1.065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1855,10,-1.502,1.354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1855,11,-1.145,1.072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1855,12,-2.500,1.780,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1856,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1856,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1856,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1856,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1856,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1856,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1856,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1856,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1856,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1856,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1856,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1856,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1857,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
