,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-1.584,2.630,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,-1.214,2.400,-0.728,1.127,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,1.557,2.454,-0.712,1.160,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.359,1.961,-0.642,1.178,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.667,2.067,-0.836,1.265,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,-0.010,2.112,-0.814,1.283,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.356,3.091,-0.860,1.330,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.386,2.698,-1.034,1.294,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,-0.494,2.687,-1.085,1.296,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-0.714,2.061,-1.260,1.328,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-3.840,2.311,-1.202,1.278,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-2.906,2.904,-1.272,1.295,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-2.129,3.018,-1.195,1.271,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-3.302,1.903,-1.153,1.281,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,0.942,2.048,-1.130,1.269,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.746,1.951,-1.168,1.925,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-0.963,1.911,-1.151,2.184,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.850,2.403,-1.137,0.838,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,1.275,1.855,-1.100,0.869,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,0.892,2.969,-0.728,0.800,NaN,NaN,NaN,NaN,NaN,NaN
