,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1859,11,-0.318,1.381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1859,12,-0.216,1.635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1860,1,-1.131,1.742,-0.552,0.612,NaN,NaN,NaN,NaN,NaN,NaN
3,1860,2,-0.253,1.298,-0.480,0.651,NaN,NaN,NaN,NaN,NaN,NaN
4,1860,3,-1.248,1.845,-0.514,0.635,NaN,NaN,NaN,NaN,NaN,NaN
5,1860,4,-0.814,1.427,-0.528,0.667,NaN,NaN,NaN,NaN,NaN,NaN
6,1860,5,-0.214,1.414,-0.615,0.761,NaN,NaN,NaN,NaN,NaN,NaN
7,1860,6,-0.012,1.293,-0.730,0.866,NaN,NaN,NaN,NaN,NaN,NaN
8,1860,7,-0.651,1.394,-0.781,0.878,NaN,NaN,NaN,NaN,NaN,NaN
9,1860,8,0.343,2.578,-0.900,1.033,NaN,NaN,NaN,NaN,NaN,NaN
10,1860,9,-1.046,1.521,-0.902,1.160,NaN,NaN,NaN,NaN,NaN,NaN
11,1860,10,-0.779,1.771,-0.917,1.190,NaN,NaN,NaN,NaN,NaN,NaN
12,1860,11,-1.359,1.911,-0.955,1.263,NaN,NaN,NaN,NaN,NaN,NaN
13,1860,12,-1.593,1.987,-0.963,1.288,NaN,NaN,NaN,NaN,NaN,NaN
14,1861,1,-1.743,2.290,-0.946,1.347,-0.687,0.636,NaN,NaN,NaN,NaN
15,1861,2,-1.680,2.476,-0.982,1.236,-0.692,0.639,NaN,NaN,NaN,NaN
16,1861,3,-1.278,2.314,-0.895,1.181,-0.702,0.642,NaN,NaN,NaN,NaN
17,1861,4,-0.993,1.725,-0.909,1.174,-0.710,0.645,NaN,NaN,NaN,NaN
18,1861,5,-0.669,1.376,-0.838,1.098,-0.727,0.649,NaN,NaN,NaN,NaN
19,1861,6,-0.105,1.308,-0.762,1.004,-0.720,0.666,NaN,NaN,NaN,NaN
20,1861,7,-0.456,1.750,-0.780,1.040,-0.718,0.668,NaN,NaN,NaN,NaN
21,1861,8,-0.092,1.458,-0.738,0.884,-0.714,0.686,NaN,NaN,NaN,NaN
22,1861,9,-0.001,1.765,-0.738,0.819,-0.727,0.683,NaN,NaN,NaN,NaN
23,1861,10,-0.936,1.711,-0.754,0.836,-0.752,0.699,NaN,NaN,NaN,NaN
24,1861,11,-0.514,1.413,-0.726,0.859,-0.757,0.695,NaN,NaN,NaN,NaN
25,1861,12,-0.673,1.497,-0.751,0.916,-0.763,0.692,NaN,NaN,NaN,NaN
26,1862,1,-1.966,2.385,-0.739,0.836,-0.760,0.698,NaN,NaN,NaN,NaN
27,1862,2,-1.177,1.448,-0.814,0.844,-0.756,0.701,NaN,NaN,NaN,NaN
28,1862,3,-1.273,1.448,-0.903,0.845,-0.750,0.681,NaN,NaN,NaN,NaN
29,1862,4,-1.185,1.980,-0.934,0.767,-0.749,0.679,NaN,NaN,NaN,NaN
30,1862,5,-0.332,1.527,-0.972,0.756,-0.754,0.696,NaN,NaN,NaN,NaN
31,1862,6,-0.408,1.556,-0.992,0.866,-0.759,0.698,NaN,NaN,NaN,NaN
32,1862,7,-0.311,1.322,-0.840,0.855,-0.743,0.686,NaN,NaN,NaN,NaN
33,1862,8,-0.996,1.606,-0.783,0.914,-0.750,0.695,NaN,NaN,NaN,NaN
34,1862,9,-1.063,1.322,-0.762,0.905,-0.736,0.697,NaN,NaN,NaN,NaN
35,1862,10,-1.305,1.265,-0.707,0.816,-0.735,0.694,NaN,NaN,NaN,NaN
36,1862,11,-0.970,1.451,-0.733,0.783,-0.735,0.708,NaN,NaN,NaN,NaN
37,1862,12,-0.915,2.744,-0.713,0.759,-0.737,0.729,NaN,NaN,NaN,NaN
38,1863,1,-0.144,2.265,-0.713,0.799,-0.720,0.715,NaN,NaN,NaN,NaN
39,1863,2,-0.493,1.528,-0.689,0.807,-0.719,0.689,NaN,NaN,NaN,NaN
40,1863,3,-1.026,1.400,-0.712,0.855,-0.706,0.691,NaN,NaN,NaN,NaN
41,1863,4,-0.527,1.228,-0.696,0.879,-0.691,0.671,NaN,NaN,NaN,NaN
42,1863,5,-0.644,1.478,-0.691,0.878,-0.674,0.655,NaN,NaN,NaN,NaN
43,1863,6,-0.163,1.371,-0.667,0.894,-0.656,0.637,NaN,NaN,NaN,NaN
44,1863,7,-0.315,1.519,-0.728,0.828,-0.622,0.614,NaN,NaN,NaN,NaN
45,1863,8,-0.706,1.531,-0.742,0.879,-0.602,0.591,NaN,NaN,NaN,NaN
46,1863,9,-1.341,1.572,-0.766,0.866,-0.593,0.578,NaN,NaN,NaN,NaN
