,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1857,1,-0.709,0.875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1857,2,-1.021,0.883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1857,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1857,4,-1.665,0.909,-0.929,0.424,NaN,NaN,NaN,NaN,NaN,NaN
4,1857,5,-1.300,0.739,-0.881,0.433,NaN,NaN,NaN,NaN,NaN,NaN
5,1857,6,-0.654,0.899,-0.837,0.481,NaN,NaN,NaN,NaN,NaN,NaN
6,1857,7,-0.188,1.015,-0.811,0.552,NaN,NaN,NaN,NaN,NaN,NaN
7,1857,8,-0.851,0.827,-0.791,0.556,NaN,NaN,NaN,NaN,NaN,NaN
8,1857,9,-1.054,0.944,-0.756,0.556,NaN,NaN,NaN,NaN,NaN,NaN
9,1857,10,-0.875,0.910,-0.658,0.529,NaN,NaN,NaN,NaN,NaN,NaN
10,1857,11,-0.300,0.644,-0.586,0.514,NaN,NaN,NaN,NaN,NaN,NaN
11,1857,12,-0.380,0.893,-0.583,0.487,NaN,NaN,NaN,NaN,NaN,NaN
12,1858,1,-0.389,1.016,-0.624,0.455,NaN,NaN,NaN,NaN,NaN,NaN
13,1858,2,-0.782,0.902,-0.624,0.446,NaN,NaN,NaN,NaN,NaN,NaN
14,1858,3,-0.631,1.106,-0.670,0.427,NaN,NaN,NaN,NaN,NaN,NaN
15,1858,4,-0.491,1.149,-0.705,0.423,NaN,NaN,NaN,NaN,NaN,NaN
16,1858,5,-0.432,0.698,-0.740,0.415,NaN,NaN,NaN,NaN,NaN,NaN
17,1858,6,-0.626,0.884,-0.850,0.425,NaN,NaN,NaN,NaN,NaN,NaN
18,1858,7,-0.677,0.689,-0.905,0.450,NaN,NaN,NaN,NaN,NaN,NaN
19,1858,8,-0.851,0.782,-0.911,0.486,NaN,NaN,NaN,NaN,NaN,NaN
20,1858,9,-1.611,1.072,-0.885,0.490,NaN,NaN,NaN,NaN,NaN,NaN
21,1858,10,-1.286,0.816,-0.805,0.425,NaN,NaN,NaN,NaN,NaN,NaN
22,1858,11,-0.720,1.043,-0.766,0.411,NaN,NaN,NaN,NaN,NaN,NaN
23,1858,12,-1.701,0.899,-0.731,0.434,NaN,NaN,NaN,NaN,NaN,NaN
24,1859,1,-1.049,1.179,-0.696,0.433,NaN,NaN,NaN,NaN,NaN,NaN
25,1859,2,-0.857,1.159,-0.697,0.422,NaN,NaN,NaN,NaN,NaN,NaN
