,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-0.957,2.814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,-1.313,2.632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.130,2.340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.820,2.419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,-0.243,2.398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.281,3.095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.332,2.827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-1.210,2.463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-4.591,2.625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-3.356,2.993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-1.969,3.116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-3.378,2.378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,1.088,2.429,-1.307,1.281,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.675,2.362,-1.346,1.765,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-1.003,2.357,-1.278,1.954,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.979,2.612,-1.224,0.943,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,1.397,2.280,-1.253,0.958,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,0.470,3.017,-0.850,0.913,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-0.473,2.602,-0.884,0.906,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.679,7.510,-0.855,0.915,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-3.775,4.232,-0.821,0.890,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-2.717,2.206,-0.646,0.839,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-2.311,2.413,-0.676,0.914,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,1.454,2.238,-0.812,0.843,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,0.677,2.504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-1.320,2.873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.594,2.192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,1.123,2.155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,1.032,2.164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,-1.158,2.193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-0.555,2.703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,-0.743,3.115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,-1.658,2.203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1753,1,-1.221,3.993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1753,2,-1.763,5.187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1753,3,1.215,3.329,-0.496,1.335,NaN,NaN,NaN,NaN,NaN,NaN
39,1753,4,-0.186,4.440,-0.479,1.301,NaN,NaN,NaN,NaN,NaN,NaN
40,1753,5,-0.053,2.600,-0.579,1.253,NaN,NaN,NaN,NaN,NaN,NaN
41,1753,6,0.267,3.153,-0.750,1.055,NaN,NaN,NaN,NaN,NaN,NaN
42,1753,7,0.251,2.289,-0.731,0.962,NaN,NaN,NaN,NaN,NaN,NaN
43,1753,8,-1.111,3.594,-0.844,0.939,NaN,NaN,NaN,NaN,NaN,NaN
44,1753,9,-0.390,2.203,-1.109,0.983,NaN,NaN,NaN,NaN,NaN,NaN
45,1753,10,-0.354,3.281,-0.930,0.991,NaN,NaN,NaN,NaN,NaN,NaN
46,1753,11,-1.946,3.538,-0.873,1.022,NaN,NaN,NaN,NaN,NaN,NaN
47,1753,12,-3.708,6.208,-0.838,0.963,NaN,NaN,NaN,NaN,NaN,NaN
48,1754,1,-0.993,4.661,-0.846,1.045,NaN,NaN,NaN,NaN,NaN,NaN
49,1754,2,-3.116,5.626,-0.833,1.046,NaN,NaN,NaN,NaN,NaN,NaN
50,1754,3,-1.968,3.091,-0.910,1.083,NaN,NaN,NaN,NaN,NaN,NaN
51,1754,4,1.960,2.908,-0.845,1.120,NaN,NaN,NaN,NaN,NaN,NaN
52,1754,5,0.633,5.649,-0.726,1.219,NaN,NaN,NaN,NaN,NaN,NaN
53,1754,6,0.682,5.008,-0.473,1.025,NaN,NaN,NaN,NaN,NaN,NaN
54,1754,7,0.164,2.664,-0.574,1.050,NaN,NaN,NaN,NaN,NaN,NaN
