,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1873,7,0.188,1.141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1873,8,-0.198,1.046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1873,9,0.215,1.131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1873,10,-0.543,1.032,-0.229,0.539,NaN,NaN,NaN,NaN,NaN,NaN
4,1873,11,NaN,NaN,-0.246,0.544,NaN,NaN,NaN,NaN,NaN,NaN
5,1873,12,0.167,1.119,-0.277,0.548,NaN,NaN,NaN,NaN,NaN,NaN
6,1874,1,-0.823,1.269,-0.319,0.552,NaN,NaN,NaN,NaN,NaN,NaN
7,1874,2,-0.596,1.120,-0.357,0.552,NaN,NaN,NaN,NaN,NaN,NaN
8,1874,3,-1.186,1.140,-0.357,0.575,NaN,NaN,NaN,NaN,NaN,NaN
9,1874,4,0.047,1.073,-0.344,0.587,NaN,NaN,NaN,NaN,NaN,NaN
10,1874,5,-0.363,1.228,-0.334,0.605,NaN,NaN,NaN,NaN,NaN,NaN
11,1874,6,NaN,NaN,-0.406,0.609,NaN,NaN,NaN,NaN,NaN,NaN
12,1874,7,-0.312,1.105,-0.443,0.614,NaN,NaN,NaN,NaN,NaN,NaN
13,1874,8,-0.658,1.109,-0.473,0.605,NaN,NaN,NaN,NaN,NaN,NaN
14,1874,9,0.214,1.059,-0.431,0.605,NaN,NaN,NaN,NaN,NaN,NaN
15,1874,10,-0.384,1.023,-0.477,0.616,NaN,NaN,NaN,NaN,NaN,NaN
16,1874,11,-0.585,1.195,-0.491,0.596,NaN,NaN,NaN,NaN,NaN,NaN
17,1874,12,-0.701,1.240,-0.552,0.570,NaN,NaN,NaN,NaN,NaN,NaN
18,1875,1,-1.264,1.152,-0.537,0.605,NaN,NaN,NaN,NaN,NaN,NaN
19,1875,2,-0.952,1.088,-0.541,0.613,NaN,NaN,NaN,NaN,NaN,NaN
20,1875,3,-0.686,1.002,-0.587,0.614,-0.420,0.447,NaN,NaN,NaN,NaN
21,1875,4,-0.504,0.980,-0.637,0.597,-0.417,0.453,NaN,NaN,NaN,NaN
22,1875,5,-0.531,0.925,-0.698,0.562,-0.401,0.456,NaN,NaN,NaN,NaN
23,1875,6,-0.267,1.067,-0.697,0.575,-0.389,0.453,NaN,NaN,NaN,NaN
24,1875,7,-0.121,1.379,-0.695,0.574,-0.383,0.447,NaN,NaN,NaN,NaN
25,1875,8,-0.709,0.981,-0.715,0.550,-0.373,0.454,NaN,NaN,NaN,NaN
26,1875,9,-0.336,0.891,-0.681,0.576,-0.354,0.464,NaN,NaN,NaN,NaN
27,1875,10,-0.987,1.011,-0.619,0.588,-0.339,0.468,NaN,NaN,NaN,NaN
28,1875,11,-1.320,0.925,-0.608,0.601,-0.332,0.467,NaN,NaN,NaN,NaN
