,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1892,1,-1.516,1.868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1892,2,-0.671,0.771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1892,3,-0.458,1.063,-0.346,0.358,NaN,NaN,NaN,NaN,NaN,NaN
3,1892,4,-0.179,0.759,-0.329,0.339,NaN,NaN,NaN,NaN,NaN,NaN
4,1892,5,-0.083,0.928,-0.310,0.348,NaN,NaN,NaN,NaN,NaN,NaN
5,1892,6,0.457,1.060,-0.350,0.352,NaN,NaN,NaN,NaN,NaN,NaN
6,1892,7,0.009,0.663,-0.350,0.473,NaN,NaN,NaN,NaN,NaN,NaN
7,1892,8,-0.262,0.655,-0.389,0.528,NaN,NaN,NaN,NaN,NaN,NaN
8,1892,9,-0.117,0.677,-0.398,0.454,NaN,NaN,NaN,NaN,NaN,NaN
9,1892,10,-0.298,0.764,-0.384,0.461,NaN,NaN,NaN,NaN,NaN,NaN
10,1892,11,-0.558,1.048,-0.503,0.468,NaN,NaN,NaN,NaN,NaN,NaN
11,1892,12,-0.526,0.695,-0.633,0.550,NaN,NaN,NaN,NaN,NaN,NaN
12,1893,1,-1.509,0.834,-0.682,0.647,NaN,NaN,NaN,NaN,NaN,NaN
13,1893,2,-1.142,0.846,-0.727,0.737,NaN,NaN,NaN,NaN,NaN,NaN
14,1893,3,-0.565,0.664,-0.754,0.806,-0.407,0.194,NaN,NaN,NaN,NaN
15,1893,4,-0.019,0.757,-0.739,0.845,-0.401,0.193,NaN,NaN,NaN,NaN
16,1893,5,-1.503,2.271,-0.729,0.818,-0.384,0.194,NaN,NaN,NaN,NaN
17,1893,6,-1.100,2.665,-0.663,0.709,-0.374,0.192,NaN,NaN,NaN,NaN
18,1893,7,-0.585,1.878,-0.583,0.707,-0.359,0.192,NaN,NaN,NaN,NaN
19,1893,8,-0.797,1.464,-0.464,0.617,-0.347,0.191,NaN,NaN,NaN,NaN
20,1893,9,-0.444,1.164,-0.474,0.678,-0.347,0.192,NaN,NaN,NaN,NaN
21,1893,10,-0.122,0.556,-0.530,0.605,-0.341,0.199,NaN,NaN,NaN,NaN
22,1893,11,-0.432,0.497,-0.411,0.420,-0.334,0.200,NaN,NaN,NaN,NaN
23,1893,12,0.258,1.547,-0.373,0.313,-0.325,0.199,NaN,NaN,NaN,NaN
24,1894,1,-0.538,0.633,-0.345,0.289,-0.316,0.201,NaN,NaN,NaN,NaN
25,1894,2,0.282,1.371,-0.261,0.339,-0.309,0.207,NaN,NaN,NaN,NaN
26,1894,3,-0.684,0.792,-0.209,0.440,-0.310,0.208,NaN,NaN,NaN,NaN
27,1894,4,-0.699,0.947,-0.181,0.465,-0.305,0.200,NaN,NaN,NaN,NaN
28,1894,5,-0.074,0.715,-0.127,0.550,-0.305,0.196,NaN,NaN,NaN,NaN
29,1894,6,-0.641,0.641,-0.140,0.522,-0.311,0.194,-0.314,0.153,NaN,NaN
30,1894,7,-0.249,0.540,-0.100,0.624,-0.291,0.213,-0.312,0.150,NaN,NaN
31,1894,8,0.206,0.919,-0.196,0.586,-0.286,0.223,-0.311,0.149,NaN,NaN
32,1894,9,0.190,0.959,-0.156,0.652,-0.287,0.223,-0.305,0.147,NaN,NaN
33,1894,10,0.202,0.568,-0.125,0.572,-0.290,0.222,-0.298,0.147,NaN,NaN
34,1894,11,0.222,1.279,-0.118,0.501,-0.295,0.214,-0.287,0.147,NaN,NaN
35,1894,12,0.104,1.202,-0.100,0.499,-0.308,0.204,-0.283,0.146,NaN,NaN
36,1895,1,-0.059,1.411,-0.055,0.557,-0.310,0.202,-0.277,0.146,NaN,NaN
37,1895,2,-0.870,0.893,-0.052,0.572,-0.307,0.201,-0.266,0.148,NaN,NaN
38,1895,3,-0.207,0.565,-0.100,0.527,-0.304,0.194,-0.258,0.150,NaN,NaN
39,1895,4,-0.324,0.734,-0.126,0.523,-0.299,0.188,-0.250,0.149,NaN,NaN
40,1895,5,0.003,0.667,-0.148,0.456,-0.279,0.176,-0.241,0.149,NaN,NaN
41,1895,6,-0.419,0.609,-0.179,0.395,-0.275,0.181,-0.237,0.149,NaN,NaN
42,1895,7,0.295,0.691,-0.174,0.332,-0.244,0.173,-0.234,0.150,NaN,NaN
43,1895,8,0.238,1.108,-0.131,0.325,-0.234,0.171,-0.227,0.150,NaN,NaN
44,1895,9,-0.385,0.669,-0.170,0.313,-0.235,0.176,-0.222,0.150,NaN,NaN
45,1895,10,-0.108,1.073,-0.155,0.320,-0.234,0.178,-0.210,0.150,NaN,NaN
46,1895,11,-0.043,0.717,-0.164,0.327,-0.199,0.193,-0.199,0.150,NaN,NaN
47,1895,12,-0.271,0.661,-0.127,0.335,-0.174,0.213,-0.189,0.150,NaN,NaN
