,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1840,1,-0.290,1.599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1840,2,-0.833,1.522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1840,3,-1.138,2.215,-0.964,0.738,NaN,NaN,NaN,NaN,NaN,NaN
3,1840,4,-1.330,1.298,-0.991,0.710,NaN,NaN,NaN,NaN,NaN,NaN
4,1840,5,-0.527,1.184,-0.899,0.642,NaN,NaN,NaN,NaN,NaN,NaN
5,1840,6,-0.693,1.111,-0.870,0.585,NaN,NaN,NaN,NaN,NaN,NaN
6,1840,7,-0.201,1.065,-0.909,0.611,NaN,NaN,NaN,NaN,NaN,NaN
7,1840,8,-0.733,1.434,-0.890,0.654,NaN,NaN,NaN,NaN,NaN,NaN
8,1840,9,-0.720,1.201,-0.880,0.647,NaN,NaN,NaN,NaN,NaN,NaN
9,1840,10,-1.460,1.174,-0.837,0.833,NaN,NaN,NaN,NaN,NaN,NaN
10,1840,11,-0.953,1.165,-0.842,0.903,NaN,NaN,NaN,NaN,NaN,NaN
11,1840,12,-1.564,1.359,-0.806,1.013,NaN,NaN,NaN,NaN,NaN,NaN
12,1841,1,-0.751,2.142,-0.769,1.072,NaN,NaN,NaN,NaN,NaN,NaN
13,1841,2,-0.605,2.069,-0.681,1.108,NaN,NaN,NaN,NaN,NaN,NaN
14,1841,3,-1.017,2.405,-0.676,1.140,-0.738,0.647,NaN,NaN,NaN,NaN
15,1841,4,-0.823,2.725,-0.558,1.225,-0.741,0.655,NaN,NaN,NaN,NaN
16,1841,5,-0.588,1.064,-0.531,1.344,-0.742,0.657,NaN,NaN,NaN,NaN
17,1841,6,-0.254,1.366,-0.413,1.517,-0.740,0.652,NaN,NaN,NaN,NaN
18,1841,7,0.241,1.222,-0.355,1.487,-0.756,0.641,NaN,NaN,NaN,NaN
19,1841,8,0.320,1.928,-0.284,1.513,-0.779,0.648,NaN,NaN,NaN,NaN
20,1841,9,-0.661,1.526,-0.225,1.274,-0.736,0.627,NaN,NaN,NaN,NaN
21,1841,10,-0.034,1.735,-0.227,1.054,-0.739,0.627,NaN,NaN,NaN,NaN
22,1841,11,-0.634,2.194,-0.262,1.000,-0.736,0.630,NaN,NaN,NaN,NaN
23,1841,12,-0.149,2.844,-0.306,0.976,-0.736,0.630,NaN,NaN,NaN,NaN
24,1842,1,-0.058,2.163,-0.406,0.938,-0.747,0.627,NaN,NaN,NaN,NaN
