,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1860,1,-0.200,1.440,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1860,2,-0.547,1.063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1860,3,-1.826,1.691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1860,4,-0.272,1.354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1860,5,-0.800,1.070,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1860,6,-0.357,1.003,-0.629,0.786,NaN,NaN,NaN,NaN,NaN,NaN
6,1860,7,0.344,1.285,-0.767,0.818,NaN,NaN,NaN,NaN,NaN,NaN
7,1860,8,0.411,1.538,-0.790,0.865,NaN,NaN,NaN,NaN,NaN,NaN
8,1860,9,0.094,1.303,-0.720,0.864,NaN,NaN,NaN,NaN,NaN,NaN
9,1860,10,-0.673,1.471,-0.694,0.905,NaN,NaN,NaN,NaN,NaN,NaN
10,1860,11,-1.514,1.042,-0.720,0.972,NaN,NaN,NaN,NaN,NaN,NaN
11,1860,12,-2.205,1.330,-0.732,0.973,NaN,NaN,NaN,NaN,NaN,NaN
12,1861,1,-1.855,2.241,-0.827,0.968,NaN,NaN,NaN,NaN,NaN,NaN
13,1861,2,-0.825,1.517,-0.813,0.964,NaN,NaN,NaN,NaN,NaN,NaN
14,1861,3,-0.984,1.839,-0.860,0.964,-0.735,0.652,NaN,NaN,NaN,NaN
15,1861,4,0.031,1.627,-0.950,0.923,-0.723,0.654,NaN,NaN,NaN,NaN
16,1861,5,-1.103,1.334,-0.870,0.888,-0.717,0.658,NaN,NaN,NaN,NaN
17,1861,6,-0.499,1.108,-0.720,0.815,-0.695,0.676,NaN,NaN,NaN,NaN
18,1861,7,-0.803,1.099,-0.634,0.799,-0.700,0.677,NaN,NaN,NaN,NaN
19,1861,8,0.585,1.103,-0.669,0.714,-0.699,0.682,NaN,NaN,NaN,NaN
20,1861,9,-0.470,1.431,-0.641,0.683,-0.707,0.674,NaN,NaN,NaN,NaN
21,1861,10,-1.759,0.965,-0.662,0.702,-0.723,0.677,NaN,NaN,NaN,NaN
22,1861,11,-0.556,0.945,-0.577,0.671,-0.729,0.677,NaN,NaN,NaN,NaN
23,1861,12,-0.399,1.706,-0.528,0.667,-0.725,0.674,NaN,NaN,NaN,NaN
24,1862,1,-0.825,1.827,-0.540,0.655,-0.735,0.673,NaN,NaN,NaN,NaN
25,1862,2,-1.243,1.285,-0.719,0.645,-0.740,0.667,NaN,NaN,NaN,NaN
26,1862,3,-0.655,1.331,-0.779,0.617,-0.733,0.661,NaN,NaN,NaN,NaN
27,1862,4,-0.223,1.869,-0.721,0.619,-0.748,0.661,NaN,NaN,NaN,NaN
28,1862,5,-0.082,1.045,-0.812,0.653,-0.750,0.674,NaN,NaN,NaN,NaN
29,1862,6,0.092,1.125,-0.914,0.810,-0.760,0.666,-0.604,0.525,NaN,NaN
30,1862,7,-0.947,0.924,-0.887,0.828,-0.761,0.660,-0.609,0.521,NaN,NaN
31,1862,8,-1.558,1.167,-0.859,0.870,-0.758,0.659,-0.610,0.517,NaN,NaN
32,1862,9,-1.192,1.375,-0.913,0.916,-0.740,0.652,-0.604,0.512,NaN,NaN
33,1862,10,-1.062,1.165,-0.940,0.852,-0.745,0.664,-0.590,0.511,NaN,NaN
34,1862,11,-1.655,1.260,-1.039,0.850,-0.744,0.667,-0.580,0.508,NaN,NaN
35,1862,12,-1.623,2.211,-1.133,0.889,-0.737,0.669,-0.572,0.503,NaN,NaN
36,1863,1,-0.502,1.979,-1.145,0.958,-0.739,0.659,-0.576,0.497,NaN,NaN
37,1863,2,-0.896,1.125,-1.129,0.989,-0.757,0.649,-0.579,0.498,NaN,NaN
38,1863,3,-1.305,1.748,-1.099,1.028,-0.761,0.642,-0.579,0.498,NaN,NaN
39,1863,4,-0.555,1.097,-1.073,0.990,-0.740,0.631,-0.586,0.494,NaN,NaN
40,1863,5,-1.260,1.035,-0.996,0.961,-0.714,0.632,-0.578,0.491,NaN,NaN
41,1863,6,-1.039,1.516,-0.907,0.974,-0.682,0.622,-0.569,0.493,NaN,NaN
42,1863,7,-1.090,1.394,-0.994,0.926,-0.641,0.603,-0.562,0.490,NaN,NaN
43,1863,8,-1.374,1.318,-0.997,0.982,-0.646,0.600,-0.558,0.487,NaN,NaN
44,1863,9,-0.831,1.094,-0.958,0.887,-0.642,0.581,-0.559,0.486,NaN,NaN
45,1863,10,-0.749,1.346,-0.967,0.906,-0.647,0.575,-0.546,0.487,NaN,NaN
46,1863,11,-0.722,1.025,-0.887,0.881,-0.630,0.562,-0.545,0.490,NaN,NaN
47,1863,12,-0.565,1.954,-0.739,0.846,-0.633,0.560,-0.536,0.492,NaN,NaN
48,1864,1,-1.540,1.693,-0.653,0.809,-0.608,0.562,-0.523,0.490,NaN,NaN
49,1864,2,-0.928,1.924,-0.615,0.734,-0.625,0.556,-0.518,0.481,NaN,NaN
50,1864,3,-0.835,1.052,-0.592,0.736,-0.614,0.549,-0.525,0.483,NaN,NaN
51,1864,4,-0.668,1.555,-0.571,0.698,-0.594,0.550,-0.531,0.477,NaN,NaN
52,1864,5,-0.300,0.983,-0.578,0.719,-0.600,0.551,-0.533,0.477,NaN,NaN
53,1864,6,0.738,1.288,-0.630,0.636,-0.593,0.552,-0.544,0.478,NaN,NaN
