,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1841,1,-2.188,1.849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1841,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1841,3,-2.856,1.725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1841,4,-1.870,1.714,-1.379,0.728,NaN,NaN,NaN,NaN,NaN,NaN
4,1841,5,-0.802,1.085,-1.378,0.777,NaN,NaN,NaN,NaN,NaN,NaN
5,1841,6,-1.136,1.435,-1.427,0.807,NaN,NaN,NaN,NaN,NaN,NaN
6,1841,7,-0.320,1.383,-1.292,0.763,NaN,NaN,NaN,NaN,NaN,NaN
7,1841,8,-0.833,1.250,-1.236,0.772,NaN,NaN,NaN,NaN,NaN,NaN
8,1841,9,-1.282,1.123,-0.953,0.700,NaN,NaN,NaN,NaN,NaN,NaN
9,1841,10,-1.048,1.376,-0.770,0.637,NaN,NaN,NaN,NaN,NaN,NaN
10,1841,11,-2.060,1.618,-0.773,0.624,NaN,NaN,NaN,NaN,NaN,NaN
11,1841,12,-2.213,1.633,-0.759,0.672,NaN,NaN,NaN,NaN,NaN,NaN
12,1842,1,-0.563,2.118,-0.854,0.680,NaN,NaN,NaN,NaN,NaN,NaN
13,1842,2,0.146,1.591,-0.889,0.691,NaN,NaN,NaN,NaN,NaN,NaN
14,1842,3,0.539,1.274,-0.860,0.693,NaN,NaN,NaN,NaN,NaN,NaN
15,1842,4,0.325,1.225,-0.879,0.661,-0.906,0.526,NaN,NaN,NaN,NaN
16,1842,5,-0.829,1.111,-0.838,0.630,-0.873,0.527,NaN,NaN,NaN,NaN
17,1842,6,-0.972,1.591,-0.621,0.639,-0.851,0.525,NaN,NaN,NaN,NaN
18,1842,7,-1.457,1.145,-0.555,0.626,-0.844,0.536,NaN,NaN,NaN,NaN
19,1842,8,-1.257,1.199,-0.461,0.649,-0.853,0.545,NaN,NaN,NaN,NaN
20,1842,9,-0.926,1.208,-0.536,0.665,-0.833,0.538,NaN,NaN,NaN,NaN
21,1842,10,-1.280,1.093,-0.561,0.666,-0.840,0.541,NaN,NaN,NaN,NaN
22,1842,11,-1.566,1.273,-0.598,0.682,-0.842,0.542,NaN,NaN,NaN,NaN
23,1842,12,0.394,1.273,-0.621,0.641,-0.835,0.553,NaN,NaN,NaN,NaN
24,1843,1,0.221,1.425,-0.556,0.633,-0.845,0.549,NaN,NaN,NaN,NaN
25,1843,2,1.281,1.717,-0.496,0.646,-0.850,0.541,NaN,NaN,NaN,NaN
26,1843,3,-0.360,1.620,-0.476,0.659,-0.849,0.547,NaN,NaN,NaN,NaN
27,1843,4,0.020,1.229,-0.453,0.671,-0.839,0.542,NaN,NaN,NaN,NaN
28,1843,5,-1.274,1.264,-0.458,0.664,-0.828,0.542,NaN,NaN,NaN,NaN
29,1843,6,-1.244,1.062,-0.475,0.648,-0.854,0.545,NaN,NaN,NaN,NaN
30,1843,7,-0.676,1.102,-0.493,0.645,-0.825,0.551,-0.811,0.459,NaN,NaN
31,1843,8,-0.543,1.208,-0.665,0.618,-0.800,0.554,-0.815,0.459,NaN,NaN
32,1843,9,-0.687,1.278,-0.615,0.584,-0.745,0.546,-0.813,0.455,NaN,NaN
33,1843,10,-1.004,1.234,-0.721,0.575,-0.737,0.528,-0.818,0.455,NaN,NaN
34,1843,11,-1.620,1.337,-0.750,0.560,-0.740,0.525,-0.820,0.450,NaN,NaN
35,1843,12,0.186,1.412,-0.725,0.572,-0.721,0.534,-0.819,0.452,NaN,NaN
36,1844,1,0.000,1.332,-0.753,0.586,-0.712,0.537,-0.813,0.456,NaN,NaN
37,1844,2,-0.772,2.117,-0.777,0.559,-0.697,0.537,-0.815,0.456,NaN,NaN
38,1844,3,0.237,1.101,-0.817,0.545,-0.678,0.538,-0.789,0.457,NaN,NaN
39,1844,4,-1.255,1.400,-0.775,0.550,-0.684,0.537,-0.789,0.455,NaN,NaN
40,1844,5,-1.618,1.075,-0.698,0.586,-0.675,0.529,-0.789,0.450,NaN,NaN
41,1844,6,-0.954,1.169,-0.855,0.603,-0.633,0.512,-0.787,0.449,NaN,NaN
42,1844,7,-1.003,1.106,-0.826,0.660,-0.609,0.490,-0.792,0.453,NaN,NaN
43,1844,8,-0.835,1.130,-0.869,0.623,-0.609,0.486,-0.791,0.451,NaN,NaN
44,1844,9,-1.168,1.069,-0.930,0.622,-0.635,0.471,-0.790,0.450,NaN,NaN
45,1844,10,-0.504,1.201,-0.874,0.619,-0.639,0.467,-0.783,0.447,NaN,NaN
46,1844,11,-0.692,1.829,-0.759,0.661,-0.637,0.467,-0.774,0.447,NaN,NaN
47,1844,12,-1.698,1.601,-0.677,0.720,-0.633,0.457,-0.764,0.435,NaN,NaN
48,1845,1,0.355,1.769,-0.631,0.738,-0.613,0.460,-0.777,0.433,NaN,NaN
49,1845,2,-1.292,1.549,-0.642,0.763,-0.607,0.463,-0.778,0.438,NaN,NaN
50,1845,3,-0.498,1.118,-0.626,0.788,-0.606,0.460,-0.766,0.437,NaN,NaN
51,1845,4,-0.577,1.082,-0.709,0.801,-0.601,0.462,-0.780,0.438,NaN,NaN
52,1845,5,-0.242,1.238,-0.768,0.743,-0.574,0.466,-0.786,0.433,NaN,NaN
53,1845,6,0.031,1.421,-0.890,0.694,-0.611,0.467,-0.787,0.435,NaN,NaN
54,1845,7,-0.458,1.114,-0.957,0.704,-0.659,0.450,-0.789,0.433,NaN,NaN
55,1845,8,-0.964,1.148,-0.769,0.667,-0.680,0.452,-0.786,0.428,NaN,NaN
56,1845,9,-0.973,1.271,-0.690,0.699,-0.685,0.445,-0.782,0.428,NaN,NaN
57,1845,10,-1.499,1.411,-0.760,0.701,-0.704,0.443,-0.773,0.428,NaN,NaN
58,1845,11,-1.404,1.323,-0.822,0.722,-0.694,0.429,-0.774,0.434,NaN,NaN
59,1845,12,-3.159,2.214,-0.824,0.817,-0.680,0.428,-0.771,0.432,NaN,NaN
60,1846,1,-0.448,2.496,-0.765,0.855,-0.670,0.428,-0.756,0.426,-0.840,0.398
61,1846,2,0.966,1.726,-0.679,0.850,-0.675,0.421,-0.760,0.425,-0.846,0.397
62,1846,3,0.444,1.520,-0.610,0.803,-0.681,0.410,-0.754,0.417,-0.848,0.394
63,1846,4,-1.410,1.657,-0.603,0.852,-0.684,0.404,-0.760,0.407,-0.845,0.394
64,1846,5,-0.989,1.224,-0.613,0.836,-0.679,0.397,-0.761,0.409,-0.844,0.393
65,1846,6,0.004,1.800,-0.324,0.672,-0.691,0.400,-0.752,0.407,-0.841,0.394
66,1846,7,0.249,1.340,-0.212,0.544,-0.691,0.407,-0.749,0.405,-0.837,0.392
67,1846,8,0.072,1.056,-0.284,0.565,-0.683,0.403,-0.747,0.404,-0.835,0.391
68,1846,9,-0.142,1.313,-0.403,0.448,-0.684,0.415,-0.746,0.406,-0.834,0.389
69,1846,10,-1.414,1.175,-0.281,0.389,-0.682,0.407,-0.747,0.404,-0.837,0.389
70,1846,11,-1.530,1.010,-0.255,0.389,-0.678,0.406,-0.749,0.402,-0.830,0.386
