,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1881,3,-0.761,0.736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1881,4,-0.698,1.190,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1881,5,0.125,1.232,-0.466,0.431,NaN,NaN,NaN,NaN,NaN,NaN
3,1881,6,-0.444,0.728,-0.454,0.456,NaN,NaN,NaN,NaN,NaN,NaN
4,1881,7,-0.039,0.629,-0.484,0.494,NaN,NaN,NaN,NaN,NaN,NaN
5,1881,8,-0.057,0.734,-0.485,0.516,NaN,NaN,NaN,NaN,NaN,NaN
6,1881,9,-0.469,1.671,-0.549,0.558,NaN,NaN,NaN,NaN,NaN,NaN
7,1881,10,-0.264,0.941,-0.615,0.686,NaN,NaN,NaN,NaN,NaN,NaN
8,1881,11,-0.999,0.918,-0.709,0.654,NaN,NaN,NaN,NaN,NaN,NaN
9,1881,12,-0.525,0.943,-0.727,0.638,NaN,NaN,NaN,NaN,NaN,NaN
10,1882,1,-0.692,0.739,-0.783,0.654,NaN,NaN,NaN,NaN,NaN,NaN
11,1882,2,-0.994,0.644,-0.818,0.636,NaN,NaN,NaN,NaN,NaN,NaN
12,1882,3,-1.534,0.752,-0.818,0.558,NaN,NaN,NaN,NaN,NaN,NaN
13,1882,4,-1.492,1.455,-0.872,0.639,NaN,NaN,NaN,NaN,NaN,NaN
14,1882,5,-1.002,0.833,-0.858,0.660,NaN,NaN,NaN,NaN,NaN,NaN
15,1882,6,-0.660,1.003,-0.880,0.711,-0.842,0.286,NaN,NaN,NaN,NaN
16,1882,7,-0.705,0.783,-0.900,0.674,-0.843,0.291,NaN,NaN,NaN,NaN
17,1882,8,-0.487,0.656,-0.928,0.632,-0.830,0.292,NaN,NaN,NaN,NaN
18,1882,9,-0.464,0.725,-0.881,0.509,-0.819,0.293,NaN,NaN,NaN,NaN
19,1882,10,-0.911,2.574,-0.846,0.405,-0.816,0.292,NaN,NaN,NaN,NaN
20,1882,11,-0.830,0.861,-0.829,0.359,-0.816,0.290,NaN,NaN,NaN,NaN
21,1882,12,-0.786,1.278,-0.837,0.337,-0.817,0.286,NaN,NaN,NaN,NaN
22,1883,1,-0.938,0.687,-0.845,0.350,-0.812,0.281,NaN,NaN,NaN,NaN
23,1883,2,-1.328,0.796,-0.878,0.367,-0.812,0.278,NaN,NaN,NaN,NaN
24,1883,3,-0.975,1.584,-0.913,0.376,-0.809,0.278,NaN,NaN,NaN,NaN
25,1883,4,-1.063,1.169,-0.920,0.552,-0.808,0.281,NaN,NaN,NaN,NaN
26,1883,5,-0.800,0.980,-0.965,0.591,-0.799,0.280,NaN,NaN,NaN,NaN
27,1883,6,-0.758,0.939,-0.978,0.689,-0.788,0.284,NaN,NaN,NaN,NaN
28,1883,7,-0.798,1.094,-0.969,0.750,-0.797,0.291,NaN,NaN,NaN,NaN
29,1883,8,-0.882,0.712,-0.964,0.696,-0.797,0.291,NaN,NaN,NaN,NaN
30,1883,9,-0.888,0.642,-1.057,0.620,-0.805,0.297,NaN,NaN,NaN,NaN
31,1883,10,-0.991,0.889,-1.117,0.593,-0.802,0.305,NaN,NaN,NaN,NaN
32,1883,11,-1.374,0.695,-1.168,0.573,-0.817,0.302,NaN,NaN,NaN,NaN
33,1883,12,-0.945,0.714,-1.135,0.478,-0.820,0.303,NaN,NaN,NaN,NaN
34,1884,1,-0.831,1.132,-1.129,0.481,-0.824,0.305,NaN,NaN,NaN,NaN
35,1884,2,-1.268,0.862,-1.159,0.541,-0.833,0.303,NaN,NaN,NaN,NaN
36,1884,3,-2.084,0.883,-1.141,0.493,-0.833,0.297,NaN,NaN,NaN,NaN
37,1884,4,-1.781,0.863,-1.133,0.446,-0.833,0.294,NaN,NaN,NaN,NaN
38,1884,5,-1.411,0.766,-1.018,0.396,-0.826,0.287,NaN,NaN,NaN,NaN
39,1884,6,-0.366,1.021,-0.967,0.394,-0.828,0.287,NaN,NaN,NaN,NaN
40,1884,7,-0.731,1.082,-1.012,0.440,-0.834,0.286,NaN,NaN,NaN,NaN
41,1884,8,-1.235,1.576,-0.983,0.437,-0.849,0.288,NaN,NaN,NaN,NaN
