,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1857,2,-2.425,1.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1857,3,-1.461,1.219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1857,4,-0.358,2.721,-0.761,0.772,NaN,NaN,NaN,NaN,NaN,NaN
3,1857,5,-0.998,1.755,-0.794,0.805,NaN,NaN,NaN,NaN,NaN,NaN
4,1857,6,-0.278,1.699,-0.890,0.832,NaN,NaN,NaN,NaN,NaN,NaN
5,1857,7,-0.064,1.375,-0.803,0.994,NaN,NaN,NaN,NaN,NaN,NaN
6,1857,8,-0.864,1.088,-0.673,1.201,NaN,NaN,NaN,NaN,NaN,NaN
7,1857,9,-1.005,1.025,-0.706,1.154,NaN,NaN,NaN,NaN,NaN,NaN
8,1857,10,-0.145,1.917,-0.771,0.965,NaN,NaN,NaN,NaN,NaN,NaN
9,1857,11,-1.022,1.235,-0.712,0.893,NaN,NaN,NaN,NaN,NaN,NaN
10,1857,12,-1.436,1.150,-0.667,0.887,NaN,NaN,NaN,NaN,NaN,NaN
11,1858,1,0.415,2.506,-0.732,0.788,NaN,NaN,NaN,NaN,NaN,NaN
12,1858,2,-0.862,1.573,-0.749,0.708,NaN,NaN,NaN,NaN,NaN,NaN
13,1858,3,-1.859,1.843,-0.648,0.751,NaN,NaN,NaN,NaN,NaN,NaN
14,1858,4,-1.128,0.875,-0.706,0.671,-0.760,0.315,NaN,NaN,NaN,NaN
15,1858,5,-0.289,1.004,-0.641,0.662,-0.750,0.315,NaN,NaN,NaN,NaN
16,1858,6,0.260,1.623,-0.654,0.642,-0.752,0.331,NaN,NaN,NaN,NaN
17,1858,7,-0.852,1.089,-0.787,0.585,-0.784,0.340,NaN,NaN,NaN,NaN
18,1858,8,-1.068,1.180,-0.823,0.536,-0.792,0.349,NaN,NaN,NaN,NaN
19,1858,9,0.211,1.790,-0.751,0.578,-0.811,0.361,NaN,NaN,NaN,NaN
20,1858,10,-0.841,0.740,-0.699,0.558,-0.805,0.363,NaN,NaN,NaN,NaN
21,1858,11,-0.243,0.974,-0.701,0.530,-0.810,0.368,NaN,NaN,NaN,NaN
22,1858,12,-1.596,0.701,-0.783,0.519,-0.820,0.360,NaN,NaN,NaN,NaN
23,1859,1,-1.177,1.265,-0.746,0.552,-0.815,0.364,NaN,NaN,NaN,NaN
24,1859,2,-1.290,1.003,-0.703,0.546,-0.810,0.365,NaN,NaN,NaN,NaN
25,1859,3,-1.003,0.979,-0.805,0.531,-0.806,0.369,NaN,NaN,NaN,NaN
26,1859,4,-0.502,1.212,-0.746,0.571,-0.801,0.368,NaN,NaN,NaN,NaN
27,1859,5,-0.315,1.130,-0.853,0.609,-0.803,0.365,NaN,NaN,NaN,NaN
28,1859,6,-0.726,1.253,-0.791,0.569,-0.814,0.363,NaN,NaN,NaN,NaN
29,1859,7,-0.404,1.040,-0.795,0.562,-0.840,0.372,NaN,NaN,NaN,NaN
30,1859,8,-0.547,0.878,-0.806,0.555,-0.815,0.388,NaN,NaN,NaN,NaN
31,1859,9,-1.015,0.843,-0.904,0.544,-0.808,0.406,NaN,NaN,NaN,NaN
32,1859,10,-0.130,1.285,-0.942,0.522,NaN,NaN,NaN,NaN,NaN,NaN
33,1859,11,-1.532,1.361,-1.033,0.548,NaN,NaN,NaN,NaN,NaN,NaN
34,1859,12,-0.856,1.126,-0.999,0.575,NaN,NaN,NaN,NaN,NaN,NaN
35,1860,1,-1.217,0.876,-1.031,0.621,NaN,NaN,NaN,NaN,NaN,NaN
36,1860,2,-1.431,0.797,-1.022,0.659,NaN,NaN,NaN,NaN,NaN,NaN
37,1860,3,-2.174,1.024,-0.974,0.653,NaN,NaN,NaN,NaN,NaN,NaN
38,1860,4,-0.955,0.791,-1.030,0.650,NaN,NaN,NaN,NaN,NaN,NaN
39,1860,5,-1.411,2.349,-0.947,0.638,NaN,NaN,NaN,NaN,NaN,NaN
40,1860,6,-0.312,1.185,-0.968,0.657,NaN,NaN,NaN,NaN,NaN,NaN
41,1860,7,-0.790,1.330,-1.012,0.661,NaN,NaN,NaN,NaN,NaN,NaN
42,1860,8,-0.446,1.006,-0.980,0.689,NaN,NaN,NaN,NaN,NaN,NaN
43,1860,9,-0.437,0.926,-0.888,0.681,NaN,NaN,NaN,NaN,NaN,NaN
44,1860,10,-0.796,1.445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,1860,11,-0.538,1.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1860,12,-1.112,1.336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1861,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1861,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,1861,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,1861,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,1861,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,1861,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,1861,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,1861,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,1861,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,1861,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,1861,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,1861,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,1862,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,1862,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,1862,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,1862,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,1862,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,1862,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,1862,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,1862,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,1862,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68,1862,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,1862,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,1862,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,1863,1,-1.008,1.389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,1863,2,-0.324,0.977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,1863,3,-0.426,1.668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,1863,4,-0.902,1.020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,1863,5,-0.466,1.231,-0.825,0.630,NaN,NaN,NaN,NaN,NaN,NaN
76,1863,6,-0.018,0.845,-0.753,0.657,NaN,NaN,NaN,NaN,NaN,NaN
77,1863,7,-0.514,0.864,-0.716,0.607,NaN,NaN,NaN,NaN,NaN,NaN
78,1863,8,-0.754,1.398,-0.712,0.716,NaN,NaN,NaN,NaN,NaN,NaN
79,1863,9,-1.055,1.313,-0.827,0.652,NaN,NaN,NaN,NaN,NaN,NaN
80,1863,10,-0.691,1.248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,1863,11,-1.152,0.845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,1863,12,-1.732,2.040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,1864,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,1864,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,1864,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86,1864,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,1864,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88,1864,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,1864,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,1864,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,1864,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,1864,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93,1864,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
