,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1824,3,0.760,1.677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1824,4,0.384,1.603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1824,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1824,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1824,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1824,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1824,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1824,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1824,11,-0.107,1.293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1824,12,0.111,2.332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1825,1,-0.505,2.264,-0.509,0.669,NaN,NaN,NaN,NaN,NaN,NaN
11,1825,2,-0.225,2.407,-0.553,0.642,NaN,NaN,NaN,NaN,NaN,NaN
12,1825,3,-0.417,1.546,-0.601,0.604,NaN,NaN,NaN,NaN,NaN,NaN
13,1825,4,-0.256,2.316,-0.602,0.601,NaN,NaN,NaN,NaN,NaN,NaN
14,1825,5,-0.211,1.184,-0.633,0.607,NaN,NaN,NaN,NaN,NaN,NaN
15,1825,6,-0.312,1.403,-0.770,0.549,NaN,NaN,NaN,NaN,NaN,NaN
16,1825,7,-1.203,1.274,-0.860,0.492,NaN,NaN,NaN,NaN,NaN,NaN
17,1825,8,-1.572,0.974,-0.750,0.483,NaN,NaN,NaN,NaN,NaN,NaN
18,1825,9,-1.505,1.492,-0.647,0.616,NaN,NaN,NaN,NaN,NaN,NaN
19,1825,10,-1.017,1.378,-0.554,0.576,NaN,NaN,NaN,NaN,NaN,NaN
20,1825,11,-0.484,1.738,-0.527,0.640,-0.354,0.510,NaN,NaN,NaN,NaN
21,1825,12,-1.537,1.567,-0.560,0.560,-0.342,0.506,NaN,NaN,NaN,NaN
22,1826,1,-1.576,1.457,-0.496,0.514,-0.340,0.503,NaN,NaN,NaN,NaN
23,1826,2,1.094,2.419,-0.476,0.543,-0.333,0.499,NaN,NaN,NaN,NaN
24,1826,3,0.811,4.647,-0.392,0.682,-0.338,0.483,NaN,NaN,NaN,NaN
25,1826,4,0.862,1.845,-0.382,0.647,-0.325,0.477,NaN,NaN,NaN,NaN
26,1826,5,0.118,1.489,-0.407,0.682,-0.298,0.472,NaN,NaN,NaN,NaN
27,1826,6,-0.714,2.310,-0.291,0.702,-0.262,0.469,NaN,NaN,NaN,NaN
28,1826,7,-0.428,1.012,-0.241,0.751,-0.292,0.454,NaN,NaN,NaN,NaN
29,1826,8,-1.339,0.922,-0.175,0.605,-0.292,0.451,NaN,NaN,NaN,NaN
30,1826,9,-0.498,2.019,-0.198,0.469,-0.343,0.433,NaN,NaN,NaN,NaN
31,1826,10,-0.889,1.578,-0.166,0.492,-0.368,0.428,NaN,NaN,NaN,NaN
32,1826,11,-0.791,1.310,-0.148,0.528,-0.389,0.436,NaN,NaN,NaN,NaN
33,1826,12,-0.139,1.539,-0.094,0.536,-0.407,0.427,NaN,NaN,NaN,NaN
34,1827,1,-0.980,1.813,-0.044,0.600,-0.426,0.430,NaN,NaN,NaN,NaN
35,1827,2,1.888,1.400,0.040,0.639,-0.425,0.439,NaN,NaN,NaN,NaN
36,1827,3,0.528,1.131,0.004,0.644,-0.429,0.429,-0.573,0.564,NaN,NaN
37,1827,4,1.252,2.044,-0.023,0.670,-0.431,0.429,-0.580,0.561,NaN,NaN
38,1827,5,0.331,1.365,0.006,0.703,-0.463,0.408,-0.580,0.561,NaN,NaN
39,1827,6,-0.062,1.425,0.090,0.661,-0.471,0.415,-0.587,0.562,NaN,NaN
40,1827,7,0.170,1.894,0.275,0.615,-0.455,0.417,-0.582,0.566,NaN,NaN
41,1827,8,-0.335,1.217,0.244,0.654,-0.434,0.409,-0.589,0.562,NaN,NaN
42,1827,9,-0.921,0.943,0.150,0.691,-0.434,0.409,-0.587,0.563,NaN,NaN
43,1827,10,-1.215,1.355,0.001,0.636,-0.441,0.399,-0.592,0.553,NaN,NaN
44,1827,11,-0.445,1.592,-0.060,0.611,-0.450,0.417,-0.607,0.546,NaN,NaN
