,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1880,8,-0.149,1.464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1880,9,0.467,1.876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1880,10,-0.065,0.911,0.145,0.485,NaN,NaN,NaN,NaN,NaN,NaN
3,1880,11,-0.319,0.789,0.167,0.512,NaN,NaN,NaN,NaN,NaN,NaN
4,1880,12,0.105,1.633,0.160,0.509,NaN,NaN,NaN,NaN,NaN,NaN
5,1881,1,-0.346,1.623,0.193,0.569,NaN,NaN,NaN,NaN,NaN,NaN
6,1881,2,0.311,1.290,0.246,0.623,NaN,NaN,NaN,NaN,NaN,NaN
7,1881,3,0.830,2.203,0.239,0.610,NaN,NaN,NaN,NaN,NaN,NaN
8,1881,4,0.969,1.113,0.298,0.685,NaN,NaN,NaN,NaN,NaN,NaN
9,1881,5,0.438,0.817,0.328,0.798,NaN,NaN,NaN,NaN,NaN,NaN
10,1881,6,-0.351,0.859,0.316,0.773,NaN,NaN,NaN,NaN,NaN,NaN
11,1881,7,0.420,0.905,0.368,0.805,NaN,NaN,NaN,NaN,NaN,NaN
12,1881,8,NaN,NaN,0.362,0.746,NaN,NaN,NaN,NaN,NaN,NaN
13,1881,9,0.377,1.597,0.286,0.614,NaN,NaN,NaN,NaN,NaN,NaN
14,1881,10,0.647,1.571,0.212,0.596,NaN,NaN,NaN,NaN,NaN,NaN
15,1881,11,0.034,1.513,0.197,0.632,-0.183,0.302,NaN,NaN,NaN,NaN
16,1881,12,-0.038,1.402,0.176,0.646,-0.195,0.297,NaN,NaN,NaN,NaN
17,1882,1,0.275,1.047,0.057,0.502,-0.199,0.306,NaN,NaN,NaN,NaN
18,1882,2,0.247,0.745,0.001,0.442,-0.193,0.307,NaN,NaN,NaN,NaN
19,1882,3,-0.085,0.791,-0.009,0.387,-0.173,0.336,NaN,NaN,NaN,NaN
20,1882,4,0.079,0.926,-0.078,0.351,-0.188,0.331,NaN,NaN,NaN,NaN
21,1882,5,0.265,1.139,-0.152,0.307,-0.196,0.330,NaN,NaN,NaN,NaN
22,1882,6,-0.611,0.628,-0.197,0.329,-0.182,0.341,NaN,NaN,NaN,NaN
23,1882,7,-1.010,1.657,-0.222,0.402,-0.168,0.362,NaN,NaN,NaN,NaN
24,1882,8,-0.164,1.361,-0.263,0.476,-0.148,0.377,NaN,NaN,NaN,NaN
25,1882,9,0.255,0.880,-0.231,0.496,-0.145,0.374,NaN,NaN,NaN,NaN
26,1882,10,-0.186,0.970,-0.239,0.513,-0.130,0.411,NaN,NaN,NaN,NaN
27,1882,11,-0.848,0.795,-0.294,0.431,-0.140,0.409,NaN,NaN,NaN,NaN
28,1882,12,-0.585,1.537,-0.269,0.411,-0.148,0.410,NaN,NaN,NaN,NaN
29,1883,1,-0.019,1.290,-0.343,0.330,-0.150,0.410,NaN,NaN,NaN,NaN
30,1883,2,-0.249,1.685,-0.346,0.387,-0.151,0.424,NaN,NaN,NaN,NaN
31,1883,3,0.300,0.992,-0.371,0.397,-0.173,0.397,NaN,NaN,NaN,NaN
32,1883,4,-0.020,1.041,-0.342,0.343,-0.180,0.391,NaN,NaN,NaN,NaN
33,1883,5,-0.389,0.793,-0.328,0.394,-0.181,0.404,NaN,NaN,NaN,NaN
34,1883,6,-0.313,0.707,-0.320,0.338,-0.179,0.382,NaN,NaN,NaN,NaN
35,1883,7,-1.899,3.260,-0.377,0.326,-0.177,0.424,-0.194,0.287,NaN,NaN
36,1883,8,-0.202,0.627,-0.412,0.349,-0.188,0.430,-0.196,0.294,NaN,NaN
37,1883,9,-0.038,1.034,-0.454,0.297,-0.198,0.438,-0.194,0.301,NaN,NaN
38,1883,10,0.155,0.606,-0.483,0.292,-0.205,0.447,-0.196,0.289,NaN,NaN
39,1883,11,-0.676,1.076,-0.525,0.293,-0.221,0.442,-0.202,0.295,NaN,NaN
40,1883,12,-0.486,0.772,-0.569,0.307,-0.218,0.449,-0.202,0.298,NaN,NaN
41,1884,1,-0.707,0.911,-0.421,0.365,-0.211,0.461,-0.199,0.305,NaN,NaN
42,1884,2,-0.673,0.827,-0.397,0.357,-0.217,0.474,-0.192,0.302,NaN,NaN
43,1884,3,-0.195,2.384,-0.367,0.452,-0.226,0.459,-0.188,0.298,NaN,NaN
44,1884,4,-0.376,0.759,-0.456,0.432,-0.235,0.453,-0.187,0.291,NaN,NaN
45,1884,5,-0.887,0.657,-0.491,0.380,-0.243,0.454,-0.185,0.290,NaN,NaN
46,1884,6,-0.849,1.029,-0.455,0.407,-0.249,0.436,-0.186,0.289,NaN,NaN
47,1884,7,-0.112,0.866,-0.404,0.548,-0.261,0.478,-0.188,0.284,NaN,NaN
48,1884,8,0.076,0.654,-0.334,0.658,-0.268,0.486,-0.190,0.277,NaN,NaN
49,1884,9,0.331,2.445,-0.362,0.471,-0.271,0.491,-0.182,0.287,NaN,NaN
50,1884,10,-0.912,0.891,-0.284,0.624,-0.272,0.474,-0.185,0.284,NaN,NaN
51,1884,11,-1.107,0.748,-0.245,0.623,-0.282,0.464,-0.187,0.290,NaN,NaN
52,1884,12,-0.053,0.999,-0.238,0.681,-0.282,0.463,-0.185,0.292,NaN,NaN
53,1885,1,-0.091,1.804,-0.237,0.633,-0.276,0.465,-0.181,0.297,NaN,NaN
54,1885,2,0.170,1.429,-0.261,0.641,-0.293,0.455,-0.174,0.298,NaN,NaN
55,1885,3,-0.534,0.703,NaN,NaN,-0.301,0.450,-0.169,0.309,NaN,NaN
56,1885,4,0.565,2.595,NaN,NaN,-0.314,0.403,-0.164,0.314,NaN,NaN
57,1885,5,-0.427,0.692,NaN,NaN,-0.310,0.390,-0.173,0.307,NaN,NaN
58,1885,6,NaN,NaN,NaN,NaN,-0.309,0.379,-0.179,0.302,NaN,NaN
59,1885,7,NaN,NaN,NaN,NaN,-0.319,0.356,-0.190,0.283,NaN,NaN
60,1885,8,NaN,NaN,NaN,NaN,-0.318,0.335,-0.200,0.271,NaN,NaN
61,1885,9,NaN,NaN,NaN,NaN,-0.328,0.317,-0.205,0.266,NaN,NaN
62,1885,10,NaN,NaN,NaN,NaN,-0.319,0.326,-0.203,0.264,NaN,NaN
63,1885,11,-0.380,0.994,NaN,NaN,-0.313,0.341,-0.202,0.276,NaN,NaN
64,1885,12,0.225,0.745,NaN,NaN,-0.312,0.355,-0.201,0.274,NaN,NaN
65,1886,1,-0.266,1.879,-0.112,0.814,-0.272,0.396,-0.202,0.288,-0.161,0.131
66,1886,2,-0.351,1.660,-0.081,0.876,-0.257,0.409,-0.206,0.291,-0.159,0.130
67,1886,3,0.253,2.747,-0.027,0.926,-0.252,0.411,-0.215,0.279,-0.156,0.131
68,1886,4,0.548,1.536,0.022,1.013,-0.262,0.384,-0.225,0.272,-0.156,0.129
69,1886,5,-0.528,0.690,0.014,1.074,-0.254,0.383,-0.232,0.263,-0.154,0.127
70,1886,6,-0.182,0.622,-0.036,1.071,-0.247,0.389,-0.233,0.267,-0.151,0.126
71,1886,7,0.837,1.529,-0.051,1.100,-0.234,0.409,-0.239,0.263,-0.148,0.126
72,1886,8,0.175,0.907,-0.035,1.043,-0.215,0.408,-0.242,0.260,-0.150,0.125
73,1886,9,-0.160,0.845,-0.078,0.879,-0.210,0.364,-0.240,0.249,-0.147,0.125
74,1886,10,0.087,1.227,-0.125,0.732,-0.205,0.344,-0.245,0.237,-0.146,0.125
75,1886,11,-0.464,1.593,-0.109,0.748,-0.186,0.343,-0.245,0.230,-0.144,0.123
76,1886,12,-0.378,0.709,-0.144,0.730,-0.176,0.348,-0.244,0.224,-0.141,0.123
77,1887,1,-0.454,2.203,-0.265,0.519,-0.177,0.329,-0.254,0.225,-0.142,0.121
78,1887,2,-0.148,1.025,-0.382,0.363,-0.187,0.316,-0.256,0.224,-0.141,0.121
79,1887,3,-0.264,0.886,-0.386,0.351,-0.190,0.304,-0.258,0.221,-0.144,0.121
80,1887,4,-0.024,0.853,-0.473,0.285,-0.181,0.305,-0.254,0.214,-0.144,0.120
81,1887,5,-0.330,0.622,-0.487,0.368,-0.179,0.318,-0.251,0.207,-0.147,0.120
82,1887,6,-0.603,0.612,-0.498,0.332,-0.188,0.310,-0.246,0.206,-0.151,0.122
83,1887,7,-0.622,1.536,-0.509,0.449,-0.194,0.301,-0.241,0.213,-0.157,0.123
84,1887,8,-1.226,1.870,-0.517,0.494,-0.199,0.285,-0.247,0.216,-0.160,0.121
85,1887,9,-0.210,0.677,-0.520,0.587,-0.192,0.303,-0.257,0.212,-0.158,0.124
86,1887,10,-0.948,2.528,-0.470,0.449,-0.199,0.276,-0.258,0.209,-0.158,0.121
87,1887,11,-0.641,0.877,-0.448,0.427,-0.206,0.265,-0.255,0.208,-0.159,0.120
88,1887,12,-0.507,0.996,-0.417,0.393,-0.210,0.254,-0.254,0.202,-0.156,0.119
89,1888,1,-0.589,0.970,-0.327,0.343,-0.230,0.224,-0.257,0.199,-0.151,0.117
90,1888,2,-0.237,0.595,-0.166,0.292,-0.249,0.202,-0.253,0.193,-0.153,0.117
91,1888,3,-0.301,0.862,-0.125,0.305,-0.237,0.212,-0.256,0.191,-0.159,0.117
92,1888,4,0.569,1.656,-0.085,0.310,-0.227,0.213,-0.259,0.185,-0.165,0.114
93,1888,5,-0.059,0.927,-0.048,0.363,-0.224,0.221,-0.259,0.186,-0.164,0.112
94,1888,6,-0.231,0.873,-0.008,0.347,-0.224,0.237,-0.260,0.188,-0.166,0.113
95,1888,7,0.460,0.743,0.045,0.422,-0.227,0.226,-0.242,0.201,-0.169,0.115
96,1888,8,0.695,0.942,0.104,0.390,-0.223,0.223,-0.239,0.202,-0.173,0.117
97,1888,9,0.285,1.153,0.139,0.383,-0.232,0.204,-0.240,0.202,-0.175,0.120
98,1888,10,-0.469,1.971,0.086,0.296,-0.245,0.194,-0.245,0.204,-0.175,0.121
99,1888,11,-0.190,0.960,0.109,0.309,-0.243,0.189,-0.247,0.197,-0.180,0.122
100,1888,12,-0.036,0.796,0.109,0.333,-0.248,0.187,-0.246,0.195,-0.182,0.123
101,1889,1,0.058,1.049,0.057,0.358,-0.266,0.186,-0.245,0.195,-0.184,0.123
102,1889,2,0.471,0.830,-0.046,0.464,-0.266,0.200,-0.239,0.194,-0.186,0.126
103,1889,3,0.119,1.015,-0.057,0.443,-0.255,0.197,-0.239,0.185,-0.185,0.127
104,1889,4,-0.078,1.167,-0.050,0.387,-0.255,0.208,-0.238,0.182,-0.185,0.127
105,1889,5,0.226,0.795,-0.113,0.388,-0.248,0.217,-0.229,0.182,-0.186,0.127
106,1889,6,-0.237,0.741,-0.162,0.412,-0.239,0.214,-0.221,0.187,-0.184,0.129
107,1889,7,-0.156,1.188,-0.204,0.395,-0.248,0.229,-0.222,0.184,-0.184,0.129
108,1889,8,-0.544,1.462,-0.255,0.369,-0.244,0.238,-0.224,0.185,-0.182,0.132
109,1889,9,0.147,1.553,-0.275,0.337,-0.245,0.244,-0.221,0.176,-0.178,0.133
110,1889,10,-0.385,0.831,-0.255,0.345,-0.235,0.244,-0.212,0.178,-0.180,0.130
111,1889,11,-0.944,1.056,-0.345,0.312,-0.219,0.262,-0.207,0.177,-0.179,0.129
112,1889,12,-0.620,0.596,-0.407,0.314,-0.211,0.262,-0.209,0.175,-0.177,0.129
113,1890,1,-0.449,1.292,-0.501,0.333,-0.207,0.260,-0.209,0.172,-0.175,0.128
114,1890,2,-0.145,0.877,-0.572,0.402,-0.202,0.263,-0.213,0.171,-0.170,0.130
115,1890,3,-0.115,1.345,-0.592,0.432,-0.214,0.264,-0.209,0.171,-0.167,0.131
116,1890,4,0.163,0.775,-0.548,0.398,-0.203,0.250,-0.215,0.165,-0.165,0.130
117,1890,5,-0.861,1.162,-0.484,0.371,-0.199,0.245,-0.210,0.167,-0.166,0.130
118,1890,6,-0.979,1.136,-0.416,0.338,-0.199,0.248,-0.205,0.164,-0.163,0.129
119,1890,7,-1.281,2.989,-0.414,0.341,-0.195,0.248,-0.202,0.166,-0.162,0.129
120,1890,8,-1.394,2.870,-0.413,0.292,-0.189,0.256,-0.197,0.167,-0.163,0.131
121,1890,9,-0.092,1.144,-0.427,0.305,-0.183,0.253,-0.190,0.166,-0.164,0.127
122,1890,10,0.145,0.625,-0.462,0.323,-0.199,0.251,-0.188,0.168,-0.166,0.126
123,1890,11,-0.185,1.490,-0.422,0.321,-0.205,0.258,-0.186,0.168,-0.164,0.127
124,1890,12,0.196,1.552,-0.382,0.277,-0.209,0.263,-0.190,0.171,-0.163,0.125
125,1891,1,-0.427,1.039,-0.297,0.331,-0.211,0.266,-0.189,0.167,-0.159,0.126
126,1891,2,-0.126,1.719,-0.166,0.486,-0.220,0.275,-0.184,0.166,-0.161,0.121
127,1891,3,-0.282,0.842,-0.115,0.423,-0.227,0.284,-0.183,0.167,-0.167,0.118
128,1891,4,-0.263,0.668,-0.118,0.423,-0.227,0.282,-0.184,0.169,-0.170,0.117
129,1891,5,-0.377,1.102,-0.106,0.377,-0.239,0.269,-0.179,0.171,-0.169,0.117
130,1891,6,-0.503,0.610,-0.109,0.318,-0.245,0.248,-0.173,0.174,-0.168,0.118
131,1891,7,-0.254,0.678,-0.155,0.326,-0.256,0.250,-0.174,0.176,-0.165,0.118
132,1891,8,0.177,1.985,-0.141,0.390,-0.264,0.249,-0.180,0.180,-0.165,0.118
133,1891,9,0.521,0.538,-0.144,0.405,-0.268,0.243,-0.179,0.176,-0.166,0.115
134,1891,10,0.102,1.022,-0.075,0.405,-0.271,0.238,-0.181,0.185,-0.170,0.114
135,1891,11,-0.033,0.463,0.009,0.444,-0.271,0.238,-0.180,0.194,-0.171,0.114
136,1891,12,0.156,0.631,0.045,0.478,-0.265,0.245,-0.183,0.192,-0.173,0.117
137,1892,1,-0.982,0.650,0.032,0.492,-0.266,0.229,-0.185,0.200,-0.177,0.116
138,1892,2,0.046,0.651,-0.058,0.428,-0.262,0.231,-0.182,0.205,-0.179,0.119
139,1892,3,-0.313,0.501,-0.180,0.444,-0.252,0.232,-0.182,0.206,-0.179,0.120
140,1892,4,0.564,0.553,-0.214,0.397,-0.243,0.231,-0.181,0.207,-0.179,0.122
141,1892,5,0.626,1.247,-0.244,0.421,-0.236,0.233,-0.177,0.209,-0.180,0.126
142,1892,6,-0.073,0.599,-0.300,0.433,-0.230,0.237,-0.182,0.181,-0.177,0.127
143,1892,7,-0.403,0.808,-0.246,0.398,-0.225,0.248,-0.183,0.150,-0.171,0.125
144,1892,8,-0.902,1.189,-0.238,0.412,-0.228,0.249,-0.175,0.146,-0.164,0.123
145,1892,9,-0.946,0.633,-0.211,0.404,-0.225,0.250,-0.169,0.143,-0.165,0.121
146,1892,10,-0.304,0.527,-0.289,0.377,-0.232,0.258,-0.159,0.137,-0.164,0.122
147,1892,11,-0.393,0.508,-0.374,0.336,-0.215,0.259,-0.155,0.135,-0.159,0.124
148,1892,12,-0.515,0.685,-0.408,0.342,-0.201,0.243,-0.152,0.137,-0.157,0.125
149,1893,1,-0.340,0.544,-0.347,0.336,-0.174,0.227,-0.145,0.136,-0.158,0.125
150,1893,2,0.148,0.929,-0.260,0.290,-0.145,0.220,-0.143,0.139,-0.160,0.124
151,1893,3,0.003,0.529,-0.193,0.321,-0.142,0.216,-0.141,0.136,-0.163,0.124
152,1893,4,-0.374,0.522,-0.206,0.360,-0.148,0.217,-0.149,0.142,-0.164,0.126
153,1893,5,-0.395,0.727,-0.246,0.299,-0.148,0.219,-0.144,0.148,-0.164,0.127
154,1893,6,-0.478,0.660,-0.237,0.211,-0.155,0.222,-0.144,0.153,-0.164,0.127
155,1893,7,0.331,0.850,-0.261,0.204,-0.152,0.226,-0.145,0.154,-0.155,0.123
156,1893,8,0.140,0.703,-0.271,0.196,-0.145,0.243,-0.151,0.161,-0.152,0.123
157,1893,9,-0.133,0.640,-0.285,0.196,-0.134,0.241,-0.156,0.165,-0.152,0.123
158,1893,10,-0.460,0.935,-0.274,0.200,-0.123,0.242,-0.154,0.162,-0.152,0.125
159,1893,11,-0.881,1.095,-0.220,0.202,-0.114,0.241,-0.158,0.170,-0.152,0.129
160,1893,12,-0.408,1.796,-0.173,0.228,-0.097,0.252,-0.163,0.172,-0.152,0.129
161,1894,1,-0.619,0.701,-0.218,0.185,-0.081,0.244,-0.169,0.179,-0.152,0.128
162,1894,2,0.028,0.820,-0.253,0.194,-0.094,0.223,-0.179,0.172,-0.151,0.130
163,1894,3,-0.176,0.625,-0.181,0.169,-0.102,0.217,-0.183,0.167,-0.150,0.131
164,1894,4,-0.236,0.655,-0.130,0.171,-0.107,0.213,-0.182,0.165,-0.149,0.133
165,1894,5,0.247,0.765,-0.101,0.183,-0.112,0.219,-0.187,0.170,-0.146,0.135
166,1894,6,0.092,0.873,-0.085,0.258,-0.127,0.216,-0.182,0.173,-0.141,0.133
167,1894,7,-0.215,0.718,-0.047,0.296,-0.123,0.209,-0.181,0.166,-0.140,0.135
168,1894,8,-0.274,1.026,-0.076,0.302,-0.120,0.204,-0.174,0.158,-0.139,0.134
169,1894,9,0.729,0.605,-0.056,0.259,-0.119,0.198,-0.175,0.157,-0.138,0.134
170,1894,10,0.157,0.567,-0.057,0.251,-0.127,0.199,-0.175,0.163,-0.137,0.131
171,1894,11,-0.535,0.672,-0.065,0.255,-0.135,0.184,-0.172,0.174,-0.134,0.131
