,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1824,1,-0.513,1.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1824,2,-0.733,2.135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1824,3,-0.381,1.454,-0.827,0.673,NaN,NaN,NaN,NaN,NaN,NaN
3,1824,4,0.231,1.250,-0.802,0.659,NaN,NaN,NaN,NaN,NaN,NaN
4,1824,5,-0.556,0.861,-0.719,0.614,NaN,NaN,NaN,NaN,NaN,NaN
5,1824,6,-0.549,1.824,-0.644,0.787,NaN,NaN,NaN,NaN,NaN,NaN
6,1824,7,-0.384,1.599,-0.621,0.852,NaN,NaN,NaN,NaN,NaN,NaN
7,1824,8,-1.162,0.707,-0.591,0.746,NaN,NaN,NaN,NaN,NaN,NaN
8,1824,9,-1.090,1.947,-0.549,0.627,NaN,NaN,NaN,NaN,NaN,NaN
9,1824,10,-1.449,1.325,-0.516,0.620,NaN,NaN,NaN,NaN,NaN,NaN
10,1824,11,-0.673,1.857,-0.467,0.549,NaN,NaN,NaN,NaN,NaN,NaN
11,1824,12,-0.464,3.682,-0.435,0.655,NaN,NaN,NaN,NaN,NaN,NaN
12,1825,1,-0.242,2.396,-0.434,0.660,NaN,NaN,NaN,NaN,NaN,NaN
13,1825,2,-0.373,1.482,-0.400,0.623,NaN,NaN,NaN,NaN,NaN,NaN
14,1825,3,0.128,2.271,-0.414,0.669,NaN,NaN,NaN,NaN,NaN,NaN
15,1825,4,0.617,1.326,-0.384,0.679,-0.667,0.483,NaN,NaN,NaN,NaN
16,1825,5,0.041,1.950,-0.357,0.760,-0.638,0.487,NaN,NaN,NaN,NaN
17,1825,6,-0.163,1.342,-0.343,0.774,-0.597,0.480,NaN,NaN,NaN,NaN
18,1825,7,-0.371,1.566,-0.325,0.843,-0.604,0.468,NaN,NaN,NaN,NaN
19,1825,8,-0.761,1.491,-0.387,0.865,-0.608,0.460,NaN,NaN,NaN,NaN
20,1825,9,-1.256,1.226,-0.499,0.725,-0.604,0.447,NaN,NaN,NaN,NaN
21,1825,10,-1.085,1.490,-0.578,0.694,-0.590,0.453,NaN,NaN,NaN,NaN
22,1825,11,-0.358,2.804,-0.596,0.720,-0.575,0.456,NaN,NaN,NaN,NaN
23,1825,12,-0.295,1.740,-0.631,0.697,-0.576,0.468,NaN,NaN,NaN,NaN
24,1826,1,-0.022,1.569,-0.640,0.587,-0.582,0.471,NaN,NaN,NaN,NaN
25,1826,2,-1.116,1.783,-0.677,0.564,-0.571,0.459,NaN,NaN,NaN,NaN
26,1826,3,-1.217,2.155,-0.686,0.621,-0.569,0.430,NaN,NaN,NaN,NaN
27,1826,4,-0.329,1.577,-0.684,0.590,-0.551,0.426,NaN,NaN,NaN,NaN
28,1826,5,-0.175,1.264,-0.666,0.695,-0.526,0.418,NaN,NaN,NaN,NaN
29,1826,6,-0.589,1.246,-0.598,0.743,-0.516,0.397,NaN,NaN,NaN,NaN
30,1826,7,-0.481,0.985,-0.595,0.862,-0.524,0.379,NaN,NaN,NaN,NaN
31,1826,8,-1.201,0.885,-0.524,0.897,-0.527,0.371,NaN,NaN,NaN,NaN
32,1826,9,-1.366,1.374,-0.410,0.750,-0.525,0.348,NaN,NaN,NaN,NaN
33,1826,10,-1.057,1.507,-0.346,0.795,-0.531,0.340,NaN,NaN,NaN,NaN
34,1826,11,-0.147,1.826,-0.339,0.779,-0.525,0.346,NaN,NaN,NaN,NaN
35,1826,12,0.529,1.972,-0.308,0.785,-0.529,0.348,NaN,NaN,NaN,NaN
36,1827,1,0.012,2.818,-0.292,0.786,-0.530,0.350,NaN,NaN,NaN,NaN
37,1827,2,-0.264,1.818,-0.291,0.868,-0.526,0.355,NaN,NaN,NaN,NaN
38,1827,3,0.145,1.748,-0.288,0.869,-0.528,0.338,NaN,NaN,NaN,NaN
39,1827,4,0.443,2.025,-0.302,0.918,-0.516,0.342,NaN,NaN,NaN,NaN
40,1827,5,-0.091,1.370,-0.301,0.896,-0.516,0.344,NaN,NaN,NaN,NaN
41,1827,6,NaN,NaN,-0.377,0.803,-0.522,0.344,NaN,NaN,NaN,NaN
42,1827,7,-0.284,1.587,-0.477,0.560,-0.506,0.348,NaN,NaN,NaN,NaN
