,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1880,8,-0.067,1.299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1880,9,0.376,1.481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1880,10,-0.025,0.890,0.109,0.448,NaN,NaN,NaN,NaN,NaN,NaN
3,1880,11,-0.235,0.820,0.114,0.457,NaN,NaN,NaN,NaN,NaN,NaN
4,1880,12,-0.182,1.302,0.119,0.443,NaN,NaN,NaN,NaN,NaN,NaN
5,1881,1,0.019,1.169,0.138,0.474,NaN,NaN,NaN,NaN,NaN,NaN
6,1881,2,0.112,1.110,0.180,0.513,NaN,NaN,NaN,NaN,NaN,NaN
7,1881,3,0.173,1.683,0.160,0.517,NaN,NaN,NaN,NaN,NaN,NaN
8,1881,4,1.016,1.143,0.198,0.584,NaN,NaN,NaN,NaN,NaN,NaN
9,1881,5,0.242,0.898,0.223,0.668,NaN,NaN,NaN,NaN,NaN,NaN
10,1881,6,-0.137,0.940,0.231,0.674,NaN,NaN,NaN,NaN,NaN,NaN
11,1881,7,0.364,0.893,0.247,0.674,NaN,NaN,NaN,NaN,NaN,NaN
12,1881,8,NaN,NaN,0.222,0.641,NaN,NaN,NaN,NaN,NaN,NaN
13,1881,9,0.130,1.454,0.165,0.555,NaN,NaN,NaN,NaN,NaN,NaN
14,1881,10,0.440,1.410,0.071,0.539,NaN,NaN,NaN,NaN,NaN,NaN
15,1881,11,0.059,1.353,0.025,0.561,-0.288,0.240,NaN,NaN,NaN,NaN
16,1881,12,-0.090,1.386,-0.032,0.575,-0.293,0.236,NaN,NaN,NaN,NaN
17,1882,1,0.211,1.046,-0.134,0.483,-0.302,0.241,NaN,NaN,NaN,NaN
18,1882,2,-0.189,0.889,-0.173,0.446,-0.298,0.240,NaN,NaN,NaN,NaN
19,1882,3,-0.510,0.859,-0.165,0.421,-0.286,0.253,NaN,NaN,NaN,NaN
20,1882,4,-0.114,0.922,-0.247,0.416,-0.301,0.250,NaN,NaN,NaN,NaN
21,1882,5,-0.306,1.116,-0.340,0.401,-0.309,0.249,NaN,NaN,NaN,NaN
22,1882,6,-0.822,0.846,-0.390,0.403,-0.303,0.255,NaN,NaN,NaN,NaN
23,1882,7,-0.853,1.532,-0.420,0.424,-0.287,0.266,NaN,NaN,NaN,NaN
24,1882,8,-0.031,1.223,-0.475,0.450,-0.273,0.272,NaN,NaN,NaN,NaN
25,1882,9,0.225,0.847,-0.419,0.464,-0.271,0.269,NaN,NaN,NaN,NaN
26,1882,10,-0.545,0.926,-0.438,0.470,-0.268,0.289,NaN,NaN,NaN,NaN
27,1882,11,-1.053,0.890,-0.472,0.424,-0.283,0.289,NaN,NaN,NaN,NaN
28,1882,12,-0.696,1.295,-0.428,0.409,-0.295,0.291,NaN,NaN,NaN,NaN
29,1883,1,-0.144,1.151,-0.487,0.389,-0.298,0.292,NaN,NaN,NaN,NaN
30,1883,2,-0.846,1.335,-0.503,0.414,-0.305,0.300,NaN,NaN,NaN,NaN
31,1883,3,0.162,1.047,-0.534,0.416,-0.328,0.282,NaN,NaN,NaN,NaN
32,1883,4,-0.343,0.917,-0.480,0.381,-0.340,0.280,NaN,NaN,NaN,NaN
33,1883,5,-0.715,0.896,-0.462,0.406,-0.344,0.289,NaN,NaN,NaN,NaN
34,1883,6,-0.302,0.725,-0.432,0.383,-0.333,0.276,NaN,NaN,NaN,NaN
35,1883,7,-1.556,2.533,-0.490,0.393,-0.346,0.302,-0.323,0.210,NaN,NaN
36,1883,8,-0.228,0.712,-0.506,0.413,-0.362,0.309,-0.329,0.213,NaN,NaN
37,1883,9,-0.145,0.921,-0.603,0.374,-0.371,0.319,-0.329,0.216,NaN,NaN
38,1883,10,0.110,0.745,-0.616,0.372,-0.385,0.323,-0.326,0.208,NaN,NaN
39,1883,11,-0.838,0.934,-0.663,0.372,-0.406,0.321,-0.337,0.212,NaN,NaN
40,1883,12,-0.337,0.886,-0.671,0.389,-0.407,0.328,-0.339,0.213,NaN,NaN
41,1884,1,-0.846,1.116,-0.564,0.359,-0.403,0.336,-0.334,0.219,NaN,NaN
42,1884,2,-1.031,1.084,-0.556,0.356,-0.411,0.347,-0.326,0.218,NaN,NaN
43,1884,3,-1.000,1.759,-0.569,0.384,-0.419,0.334,-0.319,0.218,NaN,NaN
44,1884,4,-0.502,0.904,-0.666,0.382,-0.432,0.328,-0.321,0.213,NaN,NaN
45,1884,5,-1.285,0.783,-0.693,0.372,-0.449,0.324,-0.318,0.214,NaN,NaN
46,1884,6,-0.399,0.978,-0.665,0.360,-0.459,0.303,-0.319,0.214,NaN,NaN
47,1884,7,-0.272,0.831,-0.600,0.422,-0.477,0.330,-0.321,0.212,NaN,NaN
48,1884,8,-0.129,0.807,-0.533,0.497,-0.480,0.336,-0.323,0.209,NaN,NaN
49,1884,9,-0.301,1.821,-0.505,0.415,-0.485,0.342,-0.315,0.216,NaN,NaN
50,1884,10,-1.056,1.002,-0.467,0.477,-0.479,0.332,-0.317,0.214,NaN,NaN
51,1884,11,-1.164,0.866,-0.417,0.490,-0.489,0.327,-0.322,0.218,NaN,NaN
52,1884,12,0.005,0.856,-0.463,0.535,-0.488,0.329,-0.321,0.221,NaN,NaN
53,1885,1,-0.072,1.339,-0.444,0.517,-0.483,0.332,-0.318,0.226,NaN,NaN
54,1885,2,-0.223,1.101,-0.471,0.533,-0.503,0.327,-0.310,0.225,NaN,NaN
55,1885,3,-0.662,0.853,NaN,NaN,-0.515,0.323,-0.307,0.233,NaN,NaN
56,1885,4,-0.052,1.985,NaN,NaN,-0.511,0.294,-0.305,0.234,NaN,NaN
57,1885,5,-0.684,0.777,NaN,NaN,-0.502,0.286,-0.316,0.228,NaN,NaN
58,1885,6,NaN,NaN,NaN,NaN,-0.501,0.279,-0.322,0.224,NaN,NaN
59,1885,7,NaN,NaN,NaN,NaN,-0.504,0.265,-0.331,0.211,NaN,NaN
60,1885,8,NaN,NaN,NaN,NaN,-0.495,0.253,-0.341,0.203,NaN,NaN
61,1885,9,NaN,NaN,NaN,NaN,-0.503,0.240,-0.346,0.198,NaN,NaN
62,1885,10,NaN,NaN,NaN,NaN,-0.496,0.245,-0.345,0.198,NaN,NaN
63,1885,11,-0.484,0.925,NaN,NaN,-0.492,0.256,-0.348,0.205,NaN,NaN
64,1885,12,0.497,0.810,NaN,NaN,-0.497,0.266,-0.342,0.207,NaN,NaN
65,1886,1,-0.791,1.622,-0.384,0.717,-0.459,0.294,-0.347,0.217,-0.273,0.133
66,1886,2,-0.839,1.611,-0.354,0.770,-0.449,0.303,-0.349,0.218,-0.270,0.132
67,1886,3,-0.393,2.273,-0.295,0.804,-0.446,0.304,-0.356,0.212,-0.270,0.132
68,1886,4,0.209,1.258,-0.262,0.862,-0.450,0.285,-0.366,0.207,-0.271,0.130
69,1886,5,-1.041,0.791,-0.300,0.886,-0.443,0.288,-0.371,0.202,-0.269,0.128
70,1886,6,-0.182,0.832,-0.399,0.849,-0.438,0.294,-0.377,0.205,-0.268,0.127
71,1886,7,0.630,1.265,-0.408,0.849,-0.420,0.316,-0.380,0.205,-0.265,0.127
72,1886,8,-0.093,1.007,-0.369,0.787,-0.396,0.324,-0.384,0.204,-0.265,0.128
73,1886,9,-0.308,0.889,-0.405,0.665,-0.376,0.305,-0.383,0.197,-0.263,0.129
74,1886,10,-0.342,1.079,-0.401,0.582,-0.372,0.290,-0.385,0.189,-0.263,0.130
75,1886,11,-0.951,1.151,-0.389,0.587,-0.347,0.294,-0.387,0.186,-0.262,0.128
76,1886,12,-0.687,0.997,-0.437,0.568,-0.344,0.298,-0.384,0.181,-0.257,0.128
77,1887,1,-0.893,1.573,-0.534,0.436,-0.340,0.290,-0.391,0.182,-0.256,0.127
78,1887,2,-0.373,0.961,-0.631,0.351,-0.347,0.287,-0.390,0.182,-0.257,0.127
79,1887,3,-0.823,0.899,-0.648,0.346,-0.344,0.283,-0.391,0.182,-0.262,0.127
80,1887,4,0.257,0.844,-0.644,0.366,-0.333,0.283,-0.386,0.179,-0.265,0.126
81,1887,5,-0.903,0.710,-0.608,0.420,-0.334,0.290,-0.382,0.179,-0.268,0.124
82,1887,6,-0.754,0.747,-0.601,0.398,-0.339,0.292,-0.379,0.182,-0.273,0.124
83,1887,7,-0.542,1.349,-0.554,0.448,-0.349,0.291,-0.375,0.188,-0.279,0.124
84,1887,8,-1.253,1.532,-0.550,0.466,-0.346,0.282,-0.382,0.192,-0.283,0.122
85,1887,9,-0.512,0.733,-0.505,0.538,-0.342,0.289,-0.392,0.192,-0.282,0.124
86,1887,10,-0.294,2.231,-0.522,0.466,-0.342,0.269,-0.391,0.193,-0.283,0.122
87,1887,11,-0.524,0.862,-0.486,0.437,-0.349,0.257,-0.386,0.194,-0.282,0.121
88,1887,12,-0.599,0.854,-0.472,0.415,-0.348,0.247,-0.385,0.195,-0.280,0.120
89,1888,1,-0.326,0.886,-0.368,0.399,-0.363,0.232,-0.384,0.196,-0.276,0.119
90,1888,2,-0.330,0.715,-0.233,0.376,-0.376,0.223,-0.381,0.195,-0.278,0.119
91,1888,3,-0.275,0.995,-0.186,0.379,-0.364,0.229,-0.386,0.193,-0.285,0.119
92,1888,4,0.045,1.214,-0.174,0.361,-0.350,0.230,-0.387,0.189,-0.291,0.117
93,1888,5,-0.472,1.019,-0.166,0.393,-0.352,0.235,-0.388,0.191,-0.289,0.115
94,1888,6,-0.581,0.922,-0.118,0.399,-0.352,0.248,-0.389,0.193,-0.293,0.115
95,1888,7,0.710,0.914,-0.070,0.449,-0.348,0.244,-0.372,0.199,-0.297,0.117
96,1888,8,0.366,0.853,-0.009,0.437,-0.336,0.234,-0.371,0.202,-0.303,0.119
97,1888,9,0.048,1.004,0.028,0.447,-0.340,0.222,-0.374,0.202,-0.306,0.121
98,1888,10,-0.149,1.710,0.005,0.393,-0.348,0.220,-0.380,0.203,-0.304,0.123
99,1888,11,-0.432,1.050,0.060,0.407,-0.335,0.216,-0.380,0.197,-0.311,0.122
100,1888,12,-0.026,0.870,0.091,0.412,-0.346,0.212,-0.379,0.194,-0.315,0.122
101,1889,1,0.257,1.143,0.032,0.423,-0.358,0.213,-0.375,0.196,-0.315,0.120
102,1889,2,0.394,0.912,-0.047,0.459,-0.356,0.222,-0.368,0.197,-0.318,0.120
103,1889,3,0.176,0.858,-0.063,0.460,-0.347,0.221,-0.362,0.194,-0.318,0.120
104,1889,4,-0.230,1.024,-0.079,0.462,-0.339,0.226,-0.362,0.189,-0.318,0.119
105,1889,5,0.182,0.867,-0.149,0.462,-0.326,0.235,-0.353,0.188,-0.319,0.119
106,1889,6,-0.208,0.753,-0.171,0.473,-0.309,0.233,-0.350,0.191,-0.318,0.120
107,1889,7,-0.001,1.154,-0.247,0.446,-0.306,0.238,-0.350,0.191,-0.319,0.121
108,1889,8,-0.577,1.283,-0.285,0.424,-0.300,0.242,-0.353,0.193,-0.316,0.122
109,1889,9,-0.141,1.444,-0.335,0.420,-0.298,0.244,-0.349,0.190,-0.312,0.123
110,1889,10,-0.349,0.928,-0.317,0.413,-0.292,0.244,-0.340,0.190,-0.312,0.122
111,1889,11,-1.267,0.978,-0.425,0.381,-0.275,0.256,-0.334,0.188,-0.311,0.122
112,1889,12,-0.295,0.814,-0.482,0.385,-0.271,0.257,-0.334,0.189,-0.310,0.121
113,1890,1,-0.645,1.355,-0.560,0.407,-0.267,0.256,-0.342,0.189,-0.308,0.120
114,1890,2,-0.070,0.868,-0.618,0.463,-0.261,0.261,-0.343,0.191,-0.305,0.120
115,1890,3,-0.415,1.047,-0.630,0.500,-0.268,0.263,-0.341,0.190,-0.299,0.121
116,1890,4,-0.020,0.777,-0.592,0.476,-0.270,0.254,-0.341,0.185,-0.297,0.120
117,1890,5,-1.115,1.250,-0.536,0.464,-0.270,0.250,-0.335,0.185,-0.296,0.118
118,1890,6,-0.890,1.137,-0.471,0.433,-0.268,0.256,-0.330,0.182,-0.295,0.117
119,1890,7,-0.936,2.509,-0.460,0.434,-0.265,0.263,-0.327,0.185,-0.294,0.118
120,1890,8,-1.273,2.479,-0.466,0.382,-0.267,0.269,-0.323,0.187,-0.294,0.119
121,1890,9,-0.286,0.908,-0.485,0.389,-0.269,0.264,-0.315,0.187,-0.296,0.118
122,1890,10,0.108,0.748,-0.503,0.396,-0.278,0.260,-0.317,0.189,-0.298,0.118
123,1890,11,-0.595,1.185,-0.434,0.388,-0.284,0.267,-0.317,0.190,-0.298,0.118
124,1890,12,0.487,1.606,-0.432,0.359,-0.281,0.272,-0.321,0.193,-0.297,0.118
125,1891,1,-0.520,1.249,-0.361,0.373,-0.285,0.271,-0.314,0.191,-0.295,0.119
126,1891,2,-0.134,1.469,-0.253,0.474,-0.293,0.275,-0.307,0.187,-0.292,0.116
127,1891,3,-0.647,0.797,-0.206,0.439,-0.302,0.278,-0.307,0.186,-0.293,0.117
128,1891,4,-0.238,0.759,-0.205,0.440,-0.311,0.278,-0.306,0.186,-0.295,0.117
129,1891,5,-0.287,1.037,-0.168,0.408,-0.316,0.268,-0.297,0.186,-0.294,0.120
130,1891,6,-0.863,0.693,-0.182,0.348,-0.319,0.253,-0.295,0.186,-0.293,0.122
131,1891,7,-0.079,0.663,-0.198,0.346,-0.330,0.252,-0.295,0.186,-0.290,0.124
132,1891,8,0.021,1.649,-0.187,0.388,-0.340,0.246,-0.299,0.187,-0.289,0.126
133,1891,9,0.274,0.637,-0.192,0.388,-0.347,0.243,-0.298,0.185,-0.287,0.126
134,1891,10,0.119,0.904,-0.122,0.391,-0.353,0.237,-0.299,0.189,-0.286,0.127
135,1891,11,-0.147,0.652,-0.087,0.420,-0.358,0.234,-0.294,0.195,-0.286,0.129
136,1891,12,0.321,0.752,-0.058,0.438,-0.355,0.241,-0.290,0.194,-0.286,0.131
137,1892,1,-0.716,0.764,-0.077,0.452,-0.359,0.228,-0.287,0.196,-0.289,0.126
138,1892,2,-0.002,0.693,-0.156,0.403,-0.359,0.228,-0.288,0.196,-0.287,0.129
139,1892,3,-0.702,0.649,-0.254,0.418,-0.353,0.229,-0.289,0.195,-0.285,0.129
140,1892,4,0.597,0.672,-0.300,0.407,-0.348,0.226,-0.293,0.195,-0.284,0.131
141,1892,5,0.132,1.095,-0.330,0.408,-0.334,0.226,-0.285,0.195,-0.282,0.135
142,1892,6,-0.510,0.704,-0.399,0.441,-0.329,0.231,-0.290,0.177,-0.282,0.136
143,1892,7,-0.309,0.834,-0.349,0.437,-0.335,0.238,-0.291,0.158,-0.278,0.136
144,1892,8,-0.926,1.038,-0.385,0.455,-0.339,0.237,-0.286,0.158,-0.273,0.133
145,1892,9,-0.905,0.840,-0.362,0.455,-0.339,0.232,-0.281,0.157,-0.273,0.132
146,1892,10,-0.434,0.753,-0.454,0.436,-0.341,0.233,-0.276,0.152,-0.272,0.133
147,1892,11,-0.506,0.687,-0.532,0.410,-0.321,0.232,-0.270,0.153,-0.265,0.134
148,1892,12,-0.511,0.795,-0.525,0.420,-0.313,0.221,-0.268,0.153,-0.263,0.135
149,1893,1,-0.106,0.940,-0.457,0.410,-0.291,0.216,-0.266,0.154,-0.266,0.136
150,1893,2,-0.440,1.002,-0.393,0.382,-0.269,0.217,-0.269,0.154,-0.269,0.132
151,1893,3,-0.431,0.710,-0.356,0.384,-0.266,0.213,-0.271,0.151,-0.275,0.131
152,1893,4,-0.497,0.706,-0.376,0.398,-0.284,0.214,-0.275,0.150,-0.275,0.132
153,1893,5,-0.812,0.772,-0.398,0.370,-0.282,0.211,-0.270,0.152,-0.273,0.132
154,1893,6,-0.425,0.789,-0.372,0.313,-0.290,0.211,-0.267,0.157,-0.274,0.132
155,1893,7,0.513,0.853,-0.396,0.303,-0.280,0.213,-0.271,0.158,-0.269,0.131
156,1893,8,-0.155,0.800,-0.376,0.289,-0.278,0.222,-0.277,0.163,-0.267,0.133
157,1893,9,-0.465,0.698,-0.363,0.287,-0.273,0.218,-0.283,0.169,-0.269,0.133
158,1893,10,-0.672,0.897,-0.369,0.289,-0.265,0.218,-0.282,0.170,-0.272,0.134
159,1893,11,-0.776,0.946,-0.311,0.290,-0.259,0.217,-0.284,0.174,-0.269,0.135
160,1893,12,-0.196,1.480,-0.279,0.293,-0.243,0.224,-0.291,0.175,-0.268,0.137
161,1894,1,-0.391,0.626,-0.343,0.284,-0.231,0.219,-0.297,0.179,-0.263,0.137
162,1894,2,-0.201,0.806,-0.376,0.278,-0.241,0.202,-0.310,0.173,-0.261,0.136
163,1894,3,-0.283,0.737,-0.318,0.272,-0.250,0.199,-0.316,0.171,-0.260,0.138
164,1894,4,-0.568,0.859,-0.267,0.270,-0.260,0.196,-0.315,0.169,-0.262,0.138
165,1894,5,-0.116,0.819,-0.236,0.280,-0.262,0.198,-0.321,0.171,-0.261,0.140
166,1894,6,-0.036,0.924,-0.219,0.319,-0.272,0.199,-0.317,0.175,-0.261,0.139
167,1894,7,-0.259,0.809,-0.272,0.347,-0.269,0.191,-0.317,0.170,-0.260,0.140
168,1894,8,-0.543,0.977,-0.283,0.370,-0.276,0.187,-0.310,0.165,-0.259,0.141
169,1894,9,0.223,0.751,-0.291,0.347,-0.280,0.182,-0.308,0.164,-0.258,0.142
170,1894,10,-0.061,0.700,-0.257,0.339,-0.294,0.181,-0.306,0.166,-0.253,0.138
171,1894,11,-0.402,0.761,-0.240,0.331,-0.296,0.170,-0.300,0.170,-0.248,0.134
172,1894,12,0.013,0.775,-0.270,0.296,-0.309,0.141,-0.299,0.172,-0.248,0.134
173,1895,1,-1.034,0.743,-0.219,0.316,-0.316,0.123,-0.299,0.180,-0.246,0.136
174,1895,2,-0.329,0.882,-0.169,0.314,-0.311,0.121,-0.300,0.179,-0.248,0.139
175,1895,3,-0.378,0.731,-0.194,0.308,-0.294,0.121,-0.292,0.178,-0.250,0.141
176,1895,4,-0.161,0.756,-0.270,0.306,-0.281,0.121,-0.290,0.181,-0.254,0.146
177,1895,5,0.081,0.855,-0.280,0.320,-0.271,0.136,-0.277,0.178,-0.252,0.147
178,1895,6,-0.393,0.686,-0.278,0.321,-0.268,0.130,-0.268,0.174,-0.248,0.151
179,1895,7,0.350,0.719,-0.187,0.302,-0.268,0.137,-0.258,0.164,-0.244,0.151
180,1895,8,0.067,0.773,-0.157,0.292,-0.272,0.134,-0.248,0.155,-0.238,0.150
181,1895,9,-0.082,0.716,-0.157,0.304,-0.274,0.133,-0.247,0.158,-0.238,0.153
182,1895,10,-0.971,0.739,-0.123,0.295,-0.271,0.135,-0.251,0.160,-0.238,0.158
183,1895,11,-0.520,0.755,-0.124,0.282,-0.255,0.132,-0.248,0.164,-0.239,0.164
184,1895,12,0.030,0.741,-0.084,0.309,-0.253,0.133,-0.251,0.170,-0.244,0.169
185,1896,1,0.062,0.877,-0.058,0.293,-0.258,0.134,-0.242,0.178,-0.242,0.174
186,1896,2,0.033,0.850,-0.111,0.310,-0.261,0.136,-0.236,0.191,-0.237,0.175
187,1896,3,-0.383,0.758,-0.129,0.315,-0.264,0.141,-0.229,0.195,-0.240,0.180
188,1896,4,0.244,0.826,-0.086,0.339,-0.253,0.141,-0.223,0.198,-0.245,0.184
189,1896,5,0.077,0.761,-0.068,0.376,-0.252,0.146,-0.218,0.201,-0.239,0.185
190,1896,6,0.086,0.817,-0.089,0.372,-0.262,0.155,-0.210,0.206,-0.236,0.186
191,1896,7,0.659,0.708,-0.142,0.354,-0.263,0.168,-0.199,0.209,-0.238,0.191
192,1896,8,-0.569,0.994,-0.179,0.369,-0.281,0.163,-0.194,0.207,-0.236,0.194
193,1896,9,-0.295,0.850,-0.226,0.375,-0.284,0.164,-0.191,0.209,-0.235,0.197
194,1896,10,-0.455,0.873,-0.268,0.347,-0.278,0.169,-0.188,0.212,-0.234,0.201
195,1896,11,-0.304,0.674,-0.271,0.334,-0.284,0.176,-0.185,0.214,-0.230,0.205
196,1896,12,-0.228,0.679,-0.384,0.389,-0.279,0.182,-0.189,0.218,-0.226,0.206
197,1897,1,-0.571,0.619,-0.500,0.547,-0.274,0.186,-0.187,0.214,-0.220,0.212
198,1897,2,-0.407,0.583,-0.508,0.541,-0.261,0.180,-0.184,0.217,-0.219,0.213
199,1897,3,-0.948,0.675,-0.474,0.521,-0.263,0.180,-0.178,0.219,-0.216,0.214
200,1897,4,-0.264,0.709,-0.406,0.535,-0.264,0.191,-0.182,0.222,-0.221,0.214
201,1897,5,0.047,0.714,-0.372,0.575,-0.267,0.200,-0.183,0.221,-0.220,0.215
202,1897,6,-1.278,2.745,-0.382,0.549,-0.270,0.200,-0.184,0.222,-0.219,0.215
203,1897,7,-0.732,2.872,-0.341,0.557,-0.262,0.208,-0.181,0.220,-0.217,0.213
204,1897,8,-0.659,0.907,-0.366,0.535,-0.261,0.213,-0.164,0.212,-0.214,0.212
205,1897,9,0.106,1.037,-0.330,0.520,-0.245,0.215,-0.155,0.212,-0.212,0.213
206,1897,10,0.364,1.019,-0.338,0.526,-0.238,0.218,-0.152,0.211,-0.211,0.209
207,1897,11,0.100,1.681,-0.331,0.506,-0.233,0.222,-0.144,0.212,-0.212,0.207
208,1897,12,-0.345,0.524,-0.249,0.427,-0.223,0.224,-0.142,0.214,-0.213,0.208
209,1898,1,-0.080,1.061,-0.167,0.478,-0.224,0.226,-0.148,0.217,-0.216,0.210
210,1898,2,-0.707,0.698,-0.143,0.476,-0.227,0.227,-0.157,0.211,-0.219,0.212
211,1898,3,-0.515,0.570,-0.203,0.523,-0.228,0.230,-0.165,0.211,-0.218,0.212
212,1898,4,-0.361,0.904,-0.238,0.515,-0.218,0.233,-0.163,0.214,-0.216,0.214
213,1898,5,0.131,1.095,-0.306,0.516,-0.214,0.241,-0.159,0.212,-0.213,0.215
214,1898,6,-0.293,0.761,-0.342,0.521,-0.213,0.243,-0.159,0.211,-0.210,0.217
215,1898,7,0.256,1.125,-0.375,0.529,-0.204,0.250,-0.166,0.211,-0.216,0.215
216,1898,8,-0.380,1.053,-0.418,0.498,-0.194,0.270,-0.164,0.210,-0.220,0.217
