,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,3.492,2.760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,3.207,2.969,0.740,1.596,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,2.161,3.018,0.662,1.622,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,1.353,2.342,0.435,1.640,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.065,2.399,-0.191,1.709,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,-0.239,2.190,-0.433,1.705,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.973,3.209,-0.766,1.760,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,1.350,2.996,-1.389,1.763,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,-0.834,2.826,-1.413,1.775,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-4.318,2.674,-1.502,1.806,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-7.146,2.866,-1.486,1.756,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-4.128,3.235,-1.627,1.787,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-0.507,3.289,-1.651,1.781,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-4.272,2.629,-1.759,1.802,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,1.883,2.509,-1.765,1.786,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,0.278,2.304,-1.555,2.284,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-0.867,2.375,-1.146,2.432,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-1.940,2.400,-0.815,1.042,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,0.694,2.108,-0.943,1.057,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,0.052,3.065,-0.460,0.965,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-0.903,2.647,-0.448,0.938,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.808,7.917,-0.431,0.937,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-2.238,4.106,-0.370,0.887,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-0.150,1.255,-0.258,0.788,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-2.039,1.679,-0.088,0.817,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,1.515,1.429,0.028,0.678,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,2.029,1.769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,0.485,3.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.141,1.573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,-0.594,1.192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,2.735,1.208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,1.445,1.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
