,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1880,8,-0.321,1.213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1880,9,0.132,1.425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1880,10,-0.131,0.899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1880,11,-0.255,0.808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1880,12,0.042,1.297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1881,1,-0.272,1.288,0.050,0.507,NaN,NaN,NaN,NaN,NaN,NaN
6,1881,2,0.109,1.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1881,3,0.438,1.629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1881,4,0.836,1.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1881,5,0.253,0.854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1881,6,-0.450,0.795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1881,7,0.218,0.825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1881,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1881,9,0.124,1.222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1881,10,0.413,1.206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1881,11,-0.124,1.189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1881,12,-0.094,1.139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1882,1,0.423,0.905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1882,2,0.258,0.791,-0.080,0.428,NaN,NaN,NaN,NaN,NaN,NaN
19,1882,3,-0.287,0.794,-0.083,0.400,NaN,NaN,NaN,NaN,NaN,NaN
20,1882,4,-0.054,0.878,-0.144,0.376,NaN,NaN,NaN,NaN,NaN,NaN
21,1882,5,0.081,1.020,-0.203,0.353,NaN,NaN,NaN,NaN,NaN,NaN
22,1882,6,-0.608,0.698,-0.261,0.368,NaN,NaN,NaN,NaN,NaN,NaN
23,1882,7,-0.825,1.269,-0.324,0.406,NaN,NaN,NaN,NaN,NaN,NaN
24,1882,8,-0.270,1.029,-0.391,0.445,NaN,NaN,NaN,NaN,NaN,NaN
25,1882,9,0.093,0.853,-0.365,0.457,NaN,NaN,NaN,NaN,NaN,NaN
26,1882,10,-0.323,0.802,-0.369,0.460,-0.239,0.325,NaN,NaN,NaN,NaN
27,1882,11,-0.831,0.813,-0.411,0.418,-0.249,0.325,NaN,NaN,NaN,NaN
28,1882,12,-0.786,1.219,-0.377,0.405,-0.257,0.326,NaN,NaN,NaN,NaN
29,1883,1,-0.333,1.033,-0.423,0.362,-0.259,0.325,NaN,NaN,NaN,NaN
30,1883,2,-0.554,1.309,-0.436,0.386,-0.261,0.335,NaN,NaN,NaN,NaN
31,1883,3,0.023,0.936,-0.460,0.392,NaN,NaN,NaN,NaN,NaN,NaN
32,1883,4,-0.098,0.846,-0.424,0.370,NaN,NaN,NaN,NaN,NaN,NaN
33,1883,5,-0.417,0.750,-0.414,0.399,NaN,NaN,NaN,NaN,NaN,NaN
34,1883,6,-0.202,0.721,-0.377,0.372,NaN,NaN,NaN,NaN,NaN,NaN
35,1883,7,-1.375,2.276,-0.392,0.362,NaN,NaN,NaN,NaN,NaN,NaN
36,1883,8,-0.425,0.700,-0.393,0.357,NaN,NaN,NaN,NaN,NaN,NaN
37,1883,9,-0.201,0.930,-0.446,0.340,NaN,NaN,NaN,NaN,NaN,NaN
38,1883,10,0.106,0.681,-0.476,0.336,NaN,NaN,NaN,NaN,NaN,NaN
39,1883,11,-0.711,0.937,-0.527,0.341,NaN,NaN,NaN,NaN,NaN,NaN
40,1883,12,-0.337,0.790,-0.580,0.348,NaN,NaN,NaN,NaN,NaN,NaN
41,1884,1,-0.509,0.813,-0.487,0.382,NaN,NaN,NaN,NaN,NaN,NaN
42,1884,2,-0.572,0.801,-0.475,0.377,NaN,NaN,NaN,NaN,NaN,NaN
43,1884,3,-0.609,1.710,-0.460,0.424,NaN,NaN,NaN,NaN,NaN,NaN
44,1884,4,-0.462,0.768,-0.535,0.418,NaN,NaN,NaN,NaN,NaN,NaN
45,1884,5,-1.032,0.739,-0.557,0.395,NaN,NaN,NaN,NaN,NaN,NaN
46,1884,6,-0.832,0.916,-0.540,0.405,NaN,NaN,NaN,NaN,NaN,NaN
47,1884,7,-0.263,0.825,-0.533,0.474,NaN,NaN,NaN,NaN,NaN,NaN
48,1884,8,-0.279,0.695,-0.496,0.537,NaN,NaN,NaN,NaN,NaN,NaN
49,1884,9,-0.024,1.757,-0.501,0.432,NaN,NaN,NaN,NaN,NaN,NaN
50,1884,10,-0.789,0.819,-0.439,0.516,NaN,NaN,NaN,NaN,NaN,NaN
51,1884,11,-0.977,0.791,-0.403,0.521,NaN,NaN,NaN,NaN,NaN,NaN
52,1884,12,-0.137,0.923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,1885,1,-0.423,1.348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,1885,2,-0.123,1.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,1885,3,-0.673,0.730,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,1885,4,0.284,1.841,NaN,NaN,NaN,NaN,-0.259,0.246,NaN,NaN
57,1885,5,-0.605,0.751,NaN,NaN,NaN,NaN,-0.266,0.244,NaN,NaN
58,1885,6,NaN,NaN,NaN,NaN,NaN,NaN,-0.271,0.242,NaN,NaN
59,1885,7,NaN,NaN,NaN,NaN,NaN,NaN,-0.279,0.231,NaN,NaN
