,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1867,1,-0.245,1.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1867,2,-0.526,1.123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1867,3,-0.418,0.946,-0.311,0.422,NaN,NaN,NaN,NaN,NaN,NaN
3,1867,4,-0.013,0.963,-0.216,0.430,NaN,NaN,NaN,NaN,NaN,NaN
4,1867,5,0.291,1.214,-0.229,0.443,NaN,NaN,NaN,NaN,NaN,NaN
5,1867,6,-1.037,0.857,-0.362,0.435,NaN,NaN,NaN,NaN,NaN,NaN
6,1867,7,-0.339,0.767,-0.423,0.418,NaN,NaN,NaN,NaN,NaN,NaN
7,1867,8,-0.401,0.792,-0.513,0.454,NaN,NaN,NaN,NaN,NaN,NaN
8,1867,9,-0.581,0.819,-0.550,0.486,NaN,NaN,NaN,NaN,NaN,NaN
9,1867,10,0.369,1.317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1867,11,-0.318,2.247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1867,12,-1.131,1.700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1868,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1868,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1868,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1868,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1868,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1868,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1868,7,-0.034,0.750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1868,8,-0.817,0.976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1868,9,-1.895,1.252,-0.899,0.622,NaN,NaN,NaN,NaN,NaN,NaN
21,1868,10,-0.987,0.868,-0.938,0.633,NaN,NaN,NaN,NaN,NaN,NaN
22,1868,11,-1.372,1.224,-0.899,0.594,NaN,NaN,NaN,NaN,NaN,NaN
23,1868,12,-1.277,0.906,-0.917,0.585,NaN,NaN,NaN,NaN,NaN,NaN
24,1869,1,-1.448,1.089,-0.915,0.565,NaN,NaN,NaN,NaN,NaN,NaN
