,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1873,3,-0.468,0.878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1873,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1873,5,-0.148,0.978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1873,6,0.798,1.722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1873,7,0.694,1.293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1873,8,0.374,1.050,-0.122,0.572,NaN,NaN,NaN,NaN,NaN,NaN
6,1873,9,0.082,1.580,-0.152,0.604,NaN,NaN,NaN,NaN,NaN,NaN
7,1873,10,-0.601,0.939,-0.108,0.551,NaN,NaN,NaN,NaN,NaN,NaN
8,1873,11,NaN,NaN,-0.144,0.476,NaN,NaN,NaN,NaN,NaN,NaN
9,1873,12,-0.371,0.879,-0.212,0.414,NaN,NaN,NaN,NaN,NaN,NaN
10,1874,1,0.120,0.820,-0.271,0.406,NaN,NaN,NaN,NaN,NaN,NaN
11,1874,2,-0.415,0.741,-0.325,0.406,NaN,NaN,NaN,NaN,NaN,NaN
12,1874,3,-0.822,1.109,-0.339,0.451,NaN,NaN,NaN,NaN,NaN,NaN
13,1874,4,-0.428,0.743,-0.319,0.447,NaN,NaN,NaN,NaN,NaN,NaN
14,1874,5,-0.579,1.378,-0.344,0.469,NaN,NaN,NaN,NaN,NaN,NaN
15,1874,6,NaN,NaN,-0.367,0.454,NaN,NaN,NaN,NaN,NaN,NaN
16,1874,7,-0.020,0.717,-0.466,0.475,NaN,NaN,NaN,NaN,NaN,NaN
17,1874,8,-0.272,0.858,-0.499,0.460,NaN,NaN,NaN,NaN,NaN,NaN
18,1874,9,-0.093,0.640,-0.515,0.487,NaN,NaN,NaN,NaN,NaN,NaN
19,1874,10,-0.358,0.757,-0.536,0.456,NaN,NaN,NaN,NaN,NaN,NaN
20,1874,11,-0.880,0.916,-0.511,0.377,NaN,NaN,NaN,NaN,NaN,NaN
