,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1849,1,-0.455,1.733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1849,2,-0.433,1.570,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1849,3,-0.113,0.864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1849,4,-1.052,1.585,-0.752,0.688,NaN,NaN,NaN,NaN,NaN,NaN
4,1849,5,-1.049,0.912,-0.723,0.758,NaN,NaN,NaN,NaN,NaN,NaN
5,1849,6,-0.754,1.471,-0.653,0.611,NaN,NaN,NaN,NaN,NaN,NaN
6,1849,7,-0.624,2.042,-0.691,0.591,NaN,NaN,NaN,NaN,NaN,NaN
7,1849,8,-1.025,1.224,-0.665,0.621,NaN,NaN,NaN,NaN,NaN,NaN
8,1849,9,-0.889,0.936,-0.671,0.672,NaN,NaN,NaN,NaN,NaN,NaN
9,1849,10,-0.569,0.894,-0.641,0.766,NaN,NaN,NaN,NaN,NaN,NaN
10,1849,11,-0.512,1.941,-0.636,0.746,NaN,NaN,NaN,NaN,NaN,NaN
11,1849,12,-0.357,2.232,-0.614,0.741,NaN,NaN,NaN,NaN,NaN,NaN
12,1850,1,-0.911,2.427,-0.616,0.685,NaN,NaN,NaN,NaN,NaN,NaN
13,1850,2,-0.124,2.208,-0.596,0.645,NaN,NaN,NaN,NaN,NaN,NaN
14,1850,3,-0.191,1.790,-0.571,0.651,NaN,NaN,NaN,NaN,NaN,NaN
15,1850,4,-0.692,1.039,-0.615,0.592,NaN,NaN,NaN,NaN,NaN,NaN
16,1850,5,-0.982,1.136,-0.651,0.558,NaN,NaN,NaN,NaN,NaN,NaN
17,1850,6,-0.490,0.891,-0.638,0.562,NaN,NaN,NaN,NaN,NaN,NaN
18,1850,7,-0.654,1.643,-0.577,0.515,NaN,NaN,NaN,NaN,NaN,NaN
19,1850,8,-0.779,1.566,-0.614,0.456,NaN,NaN,NaN,NaN,NaN,NaN
20,1850,9,-0.591,0.876,-0.652,0.461,NaN,NaN,NaN,NaN,NaN,NaN
21,1850,10,-1.093,1.211,-0.639,0.481,NaN,NaN,NaN,NaN,NaN,NaN
22,1850,11,-0.952,1.968,-0.598,0.495,NaN,NaN,NaN,NaN,NaN,NaN
23,1850,12,-0.193,1.507,-0.611,0.508,NaN,NaN,NaN,NaN,NaN,NaN
24,1851,1,-0.181,0.967,-0.582,0.489,NaN,NaN,NaN,NaN,NaN,NaN
25,1851,2,-0.567,1.217,-0.577,0.463,NaN,NaN,NaN,NaN,NaN,NaN
26,1851,3,-0.648,1.304,-0.576,0.492,NaN,NaN,NaN,NaN,NaN,NaN
27,1851,4,-0.537,1.036,-0.535,0.534,NaN,NaN,NaN,NaN,NaN,NaN
28,1851,5,-0.484,1.431,-0.538,0.625,NaN,NaN,NaN,NaN,NaN,NaN
29,1851,6,-0.648,1.588,-0.513,0.756,NaN,NaN,NaN,NaN,NaN,NaN
30,1851,7,-0.308,1.321,-0.520,0.811,NaN,NaN,NaN,NaN,NaN,NaN
31,1851,8,-0.719,1.099,-0.535,0.806,NaN,NaN,NaN,NaN,NaN,NaN
32,1851,9,-0.575,1.210,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1851,10,-0.601,1.617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1851,11,-0.989,1.363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1851,12,0.108,1.950,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1852,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1852,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1852,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1852,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1852,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1852,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,1852,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,1852,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,1852,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,1852,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1852,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1852,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1853,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,1853,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,1853,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,1853,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,1853,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,1853,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,1853,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,1853,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
