,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1873,7,0.389,1.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1873,8,0.011,0.856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1873,9,0.129,1.103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1873,10,-0.390,0.798,-0.171,0.445,NaN,NaN,NaN,NaN,NaN,NaN
4,1873,11,NaN,NaN,-0.202,0.435,NaN,NaN,NaN,NaN,NaN,NaN
5,1873,12,-0.052,0.882,-0.247,0.426,NaN,NaN,NaN,NaN,NaN,NaN
6,1874,1,-0.323,0.967,-0.301,0.430,NaN,NaN,NaN,NaN,NaN,NaN
7,1874,2,-0.530,0.822,-0.351,0.436,NaN,NaN,NaN,NaN,NaN,NaN
8,1874,3,-0.974,0.910,-0.368,0.472,NaN,NaN,NaN,NaN,NaN,NaN
9,1874,4,-0.034,0.790,-0.362,0.486,NaN,NaN,NaN,NaN,NaN,NaN
10,1874,5,-0.573,1.075,-0.369,0.518,NaN,NaN,NaN,NaN,NaN,NaN
11,1874,6,NaN,NaN,-0.414,0.522,NaN,NaN,NaN,NaN,NaN,NaN
12,1874,7,-0.259,0.786,-0.472,0.538,NaN,NaN,NaN,NaN,NaN,NaN
13,1874,8,-0.592,0.847,-0.500,0.526,NaN,NaN,NaN,NaN,NaN,NaN
14,1874,9,-0.079,0.738,-0.480,0.531,NaN,NaN,NaN,NaN,NaN,NaN
15,1874,10,-0.313,0.812,-0.521,0.532,NaN,NaN,NaN,NaN,NaN,NaN
16,1874,11,-0.894,1.029,-0.522,0.498,NaN,NaN,NaN,NaN,NaN,NaN
17,1874,12,-0.589,1.063,-0.549,0.474,NaN,NaN,NaN,NaN,NaN,NaN
18,1875,1,-1.018,0.974,-0.543,0.518,NaN,NaN,NaN,NaN,NaN,NaN
19,1875,2,-0.867,0.841,-0.538,0.537,NaN,NaN,NaN,NaN,NaN,NaN
20,1875,3,-0.727,0.721,-0.582,0.552,-0.449,0.416,NaN,NaN,NaN,NaN
21,1875,4,-0.528,0.686,-0.622,0.520,-0.448,0.424,NaN,NaN,NaN,NaN
22,1875,5,-0.594,0.683,-0.675,0.479,-0.434,0.428,NaN,NaN,NaN,NaN
23,1875,6,-0.134,0.745,-0.710,0.487,-0.419,0.426,NaN,NaN,NaN,NaN
24,1875,7,-0.186,1.310,-0.709,0.472,-0.413,0.418,NaN,NaN,NaN,NaN
25,1875,8,-0.525,0.811,-0.744,0.450,-0.406,0.423,NaN,NaN,NaN,NaN
26,1875,9,-0.605,0.687,-0.746,0.492,-0.388,0.431,NaN,NaN,NaN,NaN
27,1875,10,-0.798,0.758,-0.703,0.512,-0.372,0.437,NaN,NaN,NaN,NaN
28,1875,11,-1.535,0.694,-0.720,0.534,-0.374,0.435,NaN,NaN,NaN,NaN
29,1875,12,-1.010,0.777,-0.707,0.556,-0.379,0.439,NaN,NaN,NaN,NaN
30,1876,1,-1.007,1.173,-0.712,0.560,-0.387,0.441,NaN,NaN,NaN,NaN
31,1876,2,-1.287,0.938,-0.733,0.605,-0.393,0.439,NaN,NaN,NaN,NaN
32,1876,3,-0.741,1.438,NaN,NaN,-0.398,0.437,NaN,NaN,NaN,NaN
33,1876,4,NaN,NaN,NaN,NaN,-0.394,0.431,NaN,NaN,NaN,NaN
34,1876,5,-0.804,1.020,NaN,NaN,-0.385,0.430,NaN,NaN,NaN,NaN
35,1876,6,0.019,0.654,NaN,NaN,-0.390,0.421,NaN,NaN,NaN,NaN
36,1876,7,NaN,NaN,NaN,NaN,-0.398,0.423,-0.341,0.191,NaN,NaN
37,1876,8,NaN,NaN,NaN,NaN,-0.395,0.412,-0.345,0.190,NaN,NaN
38,1876,9,NaN,NaN,NaN,NaN,-0.390,0.411,-0.342,0.186,NaN,NaN
39,1876,10,-0.378,1.261,-0.582,0.830,-0.401,0.411,-0.343,0.186,NaN,NaN
40,1876,11,-1.055,1.771,-0.537,0.793,-0.405,0.408,-0.336,0.184,NaN,NaN
