,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1791,5,-0.576,2.723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1791,6,-0.592,2.727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1791,7,-0.488,1.576,-0.075,1.521,NaN,NaN,NaN,NaN,NaN,NaN
3,1791,8,0.832,1.853,-0.097,1.396,NaN,NaN,NaN,NaN,NaN,NaN
4,1791,9,-1.028,2.049,-0.175,1.290,NaN,NaN,NaN,NaN,NaN,NaN
5,1791,10,-0.757,2.389,-0.262,1.277,NaN,NaN,NaN,NaN,NaN,NaN
6,1791,11,0.351,2.804,-0.215,1.448,NaN,NaN,NaN,NaN,NaN,NaN
7,1791,12,0.213,2.637,-0.070,1.530,NaN,NaN,NaN,NaN,NaN,NaN
8,1792,1,-0.353,6.207,-0.006,1.595,NaN,NaN,NaN,NaN,NaN,NaN
9,1792,2,-0.445,3.707,-0.183,1.530,NaN,NaN,NaN,NaN,NaN,NaN
10,1792,3,-0.174,2.062,-0.067,1.603,NaN,NaN,NaN,NaN,NaN,NaN
11,1792,4,-0.122,1.956,-0.054,1.407,NaN,NaN,NaN,NaN,NaN,NaN
12,1792,5,-0.015,1.592,-0.228,1.195,NaN,NaN,NaN,NaN,NaN,NaN
13,1792,6,1.146,2.445,-0.343,1.221,NaN,NaN,NaN,NaN,NaN,NaN
14,1792,7,0.276,2.143,-0.486,1.017,-0.258,0.431,NaN,NaN,NaN,NaN
15,1792,8,-1.291,1.800,-0.424,0.724,-0.252,0.418,NaN,NaN,NaN,NaN
16,1792,9,0.362,3.172,-0.456,0.717,-0.219,0.429,NaN,NaN,NaN,NaN
17,1792,10,-0.590,2.026,-0.546,0.625,-0.170,0.451,NaN,NaN,NaN,NaN
18,1792,11,-1.747,2.284,-0.649,0.607,-0.151,0.444,NaN,NaN,NaN,NaN
19,1792,12,-1.161,2.607,-0.838,0.604,-0.165,0.446,NaN,NaN,NaN,NaN
20,1793,1,-2.067,2.986,-0.848,0.690,-0.161,0.454,NaN,NaN,NaN,NaN
21,1793,2,0.299,2.776,-0.766,0.909,-0.160,0.451,NaN,NaN,NaN,NaN
22,1793,3,-0.558,3.050,-0.740,0.982,-0.178,0.452,NaN,NaN,NaN,NaN
23,1793,4,-1.208,3.406,-0.709,0.917,-0.171,0.438,NaN,NaN,NaN,NaN
24,1793,5,-1.245,1.769,-0.671,1.141,-0.186,0.430,NaN,NaN,NaN,NaN
25,1793,6,-1.125,1.964,-0.601,1.383,-0.191,0.471,NaN,NaN,NaN,NaN
26,1793,7,0.158,2.640,-0.313,1.701,-0.191,0.512,NaN,NaN,NaN,NaN
27,1793,8,-0.313,3.836,-0.341,1.814,-0.186,0.568,NaN,NaN,NaN,NaN
28,1793,9,0.673,2.114,-0.256,1.675,-0.237,0.550,NaN,NaN,NaN,NaN
29,1793,10,-0.219,1.664,-0.023,1.708,-0.285,0.554,NaN,NaN,NaN,NaN
30,1793,11,-1.293,4.425,0.164,1.826,-0.275,0.544,-0.171,0.398,NaN,NaN
31,1793,12,-0.310,2.895,0.183,1.766,-0.264,0.573,-0.152,0.464,NaN,NaN
32,1794,1,1.381,3.164,0.169,1.745,-0.253,0.610,-0.173,0.479,NaN,NaN
33,1794,2,-0.036,4.235,0.150,1.594,-0.257,0.638,-0.181,0.483,NaN,NaN
34,1794,3,0.462,2.059,0.071,1.681,-0.227,0.637,-0.180,0.460,NaN,NaN
35,1794,4,1.583,3.593,0.043,1.653,-0.201,0.658,-0.176,0.453,NaN,NaN
36,1794,5,1.008,2.533,0.074,1.377,-0.222,0.665,-0.189,0.465,NaN,NaN
37,1794,6,-0.896,2.138,-0.034,1.312,-0.252,0.701,-0.186,0.476,NaN,NaN
38,1794,7,-0.016,2.552,-0.330,1.130,-0.229,0.739,-0.192,0.489,NaN,NaN
39,1794,8,-0.538,2.267,-0.281,1.049,-0.207,0.784,-0.183,0.489,NaN,NaN
40,1794,9,-0.274,3.101,-0.214,1.175,-0.227,0.759,-0.185,0.502,NaN,NaN
41,1794,10,-0.562,1.806,-0.244,1.212,-0.221,0.751,-0.175,0.496,NaN,NaN
42,1794,11,-0.917,2.065,-0.270,1.146,-0.207,0.768,-0.177,0.473,NaN,NaN
43,1794,12,-1.605,1.895,-0.201,1.143,-0.218,0.820,-0.178,0.474,NaN,NaN
44,1795,1,-2.171,3.121,-0.230,1.129,-0.219,0.861,-0.169,0.475,NaN,NaN
45,1795,2,0.556,3.149,-0.170,1.051,-0.180,0.884,-0.166,0.490,NaN,NaN
46,1795,3,1.267,2.728,-0.268,0.944,-0.170,0.946,-0.173,0.495,NaN,NaN
47,1795,4,1.216,2.638,-0.156,0.949,-0.149,0.941,-0.134,0.504,NaN,NaN
48,1795,5,0.699,1.905,-0.219,0.971,-0.137,0.948,-0.128,0.490,NaN,NaN
49,1795,6,-0.072,2.994,-0.090,1.137,-0.123,1.023,-0.140,0.503,NaN,NaN
50,1795,7,-0.362,2.162,0.250,1.414,-0.079,1.061,-0.141,0.505,NaN,NaN
51,1795,8,0.180,2.198,0.215,1.408,-0.075,1.022,-0.144,0.510,NaN,NaN
52,1795,9,-1.447,1.731,-0.086,1.353,-0.040,0.992,-0.146,0.518,NaN,NaN
53,1795,10,NaN,NaN,-0.351,1.327,-0.027,0.954,-0.150,0.509,NaN,NaN
54,1795,11,-1.678,2.587,-0.404,1.402,-0.015,1.012,-0.147,0.496,NaN,NaN
55,1795,12,-0.053,2.342,-0.395,1.388,-0.003,1.017,-0.153,0.530,NaN,NaN
56,1796,1,1.908,4.385,-0.351,1.467,0.005,1.018,-0.165,0.541,NaN,NaN
57,1796,2,0.131,2.736,-0.316,1.609,0.020,0.999,-0.165,0.552,NaN,NaN
58,1796,3,-2.340,2.185,-0.130,1.524,0.016,1.000,-0.155,0.551,NaN,NaN
59,1796,4,-1.968,2.127,-0.129,1.481,0.002,0.979,-0.161,0.555,NaN,NaN
60,1796,5,0.064,2.190,-0.067,1.393,0.018,0.942,-0.146,0.551,NaN,NaN
61,1796,6,0.039,3.457,-0.193,1.260,-0.020,0.902,-0.146,0.553,-0.169,0.377
62,1796,7,0.164,2.818,-0.268,1.222,-0.096,0.873,-0.134,0.567,-0.170,0.375
63,1796,8,0.604,3.621,-0.202,1.008,-0.125,0.810,-0.153,0.585,-0.170,0.378
64,1796,9,0.776,3.367,-0.122,0.919,-0.149,0.815,-0.140,0.593,-0.169,0.375
65,1796,10,0.804,1.844,0.059,0.807,-0.165,0.789,-0.120,0.598,-0.164,0.381
66,1796,11,-0.929,3.023,0.125,0.806,-0.181,0.766,-0.118,0.618,-0.158,0.380
67,1796,12,-1.571,3.148,0.162,0.789,-0.176,0.782,-0.112,0.639,-0.143,0.387
68,1797,1,1.011,5.371,0.167,0.789,-0.173,0.786,-0.100,0.684,-0.148,0.385
69,1797,2,0.920,3.843,0.201,0.855,-0.155,0.781,-0.095,0.701,-0.146,0.387
70,1797,3,-1.375,4.158,0.218,0.943,-0.147,0.790,-0.084,0.681,-0.148,0.389
71,1797,4,0.205,3.716,0.206,1.012,-0.117,0.795,-0.084,0.670,-0.150,0.387
72,1797,5,0.851,2.667,0.199,1.243,-0.117,0.782,-0.093,0.668,-0.147,0.387
73,1797,6,0.486,2.465,0.302,1.207,-0.125,0.812,-0.092,0.695,-0.153,0.386
74,1797,7,0.219,2.318,0.265,1.582,-0.080,0.827,-0.086,0.713,-0.150,0.384
75,1797,8,1.018,2.074,0.236,1.366,-0.080,0.792,-0.071,0.723,-0.145,0.377
76,1797,9,0.978,3.481,0.476,1.249,-0.126,0.761,-0.073,0.740,-0.132,0.373
77,1797,10,0.663,2.154,0.425,1.189,-0.098,0.726,-0.056,0.737,-0.127,0.374
78,1797,11,-1.016,2.082,0.311,1.525,-0.105,0.727,-0.041,0.733,-0.119,0.372
79,1797,12,-0.332,3.325,0.236,1.532,-0.115,0.726,-0.028,0.749,-0.120,0.374
80,1798,1,0.565,1.791,0.272,1.588,-0.120,0.713,-0.014,0.774,-0.122,0.358
81,1798,2,0.574,2.364,0.234,1.641,-0.127,0.739,-0.043,0.768,-0.131,0.358
82,1798,3,1.501,1.957,0.189,1.427,-0.115,0.741,-0.043,0.749,-0.152,0.357
83,1798,4,-0.410,2.259,0.045,1.330,-0.129,0.744,-0.016,0.733,-0.157,0.356
84,1798,5,-0.516,5.491,0.103,1.389,-0.107,0.722,-0.011,0.741,-0.160,0.353
85,1798,6,-0.416,2.260,-0.088,1.155,-0.116,0.717,-0.003,0.743,-0.168,0.349
86,1798,7,0.659,2.845,-0.398,1.058,-0.140,0.681,-0.003,0.735,-0.178,0.347
87,1798,8,0.554,2.781,-0.595,0.957,-0.145,0.655,0.005,0.725,-0.176,0.348
88,1798,9,0.440,2.541,-0.798,1.036,-0.073,0.654,-0.003,0.735,-0.176,0.348
89,1798,10,-1.061,2.857,-0.716,0.891,-0.037,0.657,-0.003,0.735,-0.180,0.347
90,1798,11,-0.325,1.930,-0.669,0.702,-0.017,0.665,0.008,0.725,-0.183,0.348
91,1798,12,-2.616,3.160,-0.682,0.723,-0.029,0.668,0.003,0.731,-0.177,0.476
92,1799,1,-3.158,2.360,-0.725,0.741,-0.015,0.660,-0.001,0.722,-0.181,0.480
