,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1852,10,-1.009,1.406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1852,11,-0.665,1.725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1852,12,0.515,1.504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1853,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1853,2,-1.307,1.349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1853,3,-1.356,1.082,-0.813,0.778,NaN,NaN,NaN,NaN,NaN,NaN
6,1853,4,-0.818,0.997,-0.783,0.760,NaN,NaN,NaN,NaN,NaN,NaN
7,1853,5,NaN,NaN,-0.844,0.682,NaN,NaN,NaN,NaN,NaN,NaN
8,1853,6,NaN,NaN,-1.006,0.645,NaN,NaN,NaN,NaN,NaN,NaN
9,1853,7,-0.126,1.168,-0.976,0.534,NaN,NaN,NaN,NaN,NaN,NaN
10,1853,8,-0.746,1.171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1853,9,-0.903,0.919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1853,10,-0.652,1.195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1853,11,-1.396,1.762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1853,12,-1.432,0.990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1854,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1854,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1854,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1854,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1854,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1854,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1854,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1854,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1854,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1854,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1854,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1854,12,-1.633,2.067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1855,1,-0.867,1.843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1855,2,-1.737,1.732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1855,3,-1.578,1.044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1855,4,-0.887,1.623,-1.254,0.650,NaN,NaN,NaN,NaN,NaN,NaN
31,1855,5,-0.220,1.340,-1.212,0.596,NaN,NaN,NaN,NaN,NaN,NaN
32,1855,6,-0.710,0.894,-1.127,0.526,NaN,NaN,NaN,NaN,NaN,NaN
33,1855,7,NaN,NaN,-1.190,0.486,NaN,NaN,NaN,NaN,NaN,NaN
34,1855,8,-1.240,1.040,-1.146,0.520,NaN,NaN,NaN,NaN,NaN,NaN
35,1855,9,-1.348,0.954,-1.084,0.507,NaN,NaN,NaN,NaN,NaN,NaN
36,1855,10,-1.848,1.049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1855,11,-0.801,0.990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1855,12,-0.604,1.540,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1856,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1856,2,-1.214,1.557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1856,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,1856,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,1856,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,1856,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,1856,7,-0.765,1.129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1856,8,-0.433,1.203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1856,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1856,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,1856,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,1856,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,1857,1,NaN,NaN,NaN,NaN,-0.849,0.504,NaN,NaN,NaN,NaN
52,1857,2,-0.979,2.217,NaN,NaN,-0.833,0.499,NaN,NaN,NaN,NaN
53,1857,3,-2.450,1.729,NaN,NaN,-0.828,0.487,NaN,NaN,NaN,NaN
54,1857,4,-1.209,3.446,-0.908,0.852,-0.831,0.478,NaN,NaN,NaN,NaN
55,1857,5,-1.154,2.305,-0.874,0.895,-0.835,0.454,NaN,NaN,NaN,NaN
56,1857,6,-0.298,2.166,-0.910,0.879,-0.832,0.440,NaN,NaN,NaN,NaN
57,1857,7,-0.511,1.394,-0.712,1.160,-0.836,0.428,NaN,NaN,NaN,NaN
58,1857,8,-0.745,1.064,-0.692,1.437,-0.825,0.428,NaN,NaN,NaN,NaN
59,1857,9,-1.031,1.121,-0.663,1.363,-0.842,0.425,NaN,NaN,NaN,NaN
60,1857,10,-0.095,2.571,-0.639,1.060,-0.841,0.405,NaN,NaN,NaN,NaN
61,1857,11,-0.541,1.424,-0.529,0.959,-0.865,0.366,NaN,NaN,NaN,NaN
62,1857,12,-0.745,0.681,-0.494,0.945,-0.851,0.350,NaN,NaN,NaN,NaN
63,1858,1,1.211,3.578,-0.550,0.791,-0.833,0.328,NaN,NaN,NaN,NaN
64,1858,2,-0.733,1.733,-0.583,0.664,-0.827,0.317,NaN,NaN,NaN,NaN
65,1858,3,-2.107,2.691,-0.494,0.784,-0.816,0.310,NaN,NaN,NaN,NaN
