,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1849,1,-0.517,1.735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1849,2,-0.605,1.555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1849,3,-0.182,0.711,-0.802,0.600,NaN,NaN,NaN,NaN,NaN,NaN
3,1849,4,-1.122,1.618,-0.809,0.605,NaN,NaN,NaN,NaN,NaN,NaN
4,1849,5,-1.081,0.824,-0.780,0.694,NaN,NaN,NaN,NaN,NaN,NaN
5,1849,6,-0.626,1.447,-0.696,0.524,NaN,NaN,NaN,NaN,NaN,NaN
6,1849,7,-0.735,2.135,-0.727,0.502,NaN,NaN,NaN,NaN,NaN,NaN
7,1849,8,-0.912,1.166,-0.699,0.533,NaN,NaN,NaN,NaN,NaN,NaN
8,1849,9,-0.961,0.808,-0.703,0.595,NaN,NaN,NaN,NaN,NaN,NaN
9,1849,10,-0.585,0.760,-0.672,0.704,NaN,NaN,NaN,NaN,NaN,NaN
10,1849,11,-0.594,1.973,-0.667,0.681,NaN,NaN,NaN,NaN,NaN,NaN
11,1849,12,-0.437,2.468,-0.648,0.681,NaN,NaN,NaN,NaN,NaN,NaN
12,1850,1,-0.889,2.681,-0.650,0.614,NaN,NaN,NaN,NaN,NaN,NaN
13,1850,2,-0.260,2.196,-0.635,0.564,NaN,NaN,NaN,NaN,NaN,NaN
14,1850,3,-0.237,1.773,-0.610,0.573,NaN,NaN,NaN,NaN,NaN,NaN
15,1850,4,-0.742,0.942,-0.658,0.513,NaN,NaN,NaN,NaN,NaN,NaN
16,1850,5,-1.028,1.093,-0.689,0.506,NaN,NaN,NaN,NaN,NaN,NaN
17,1850,6,-0.396,0.734,-0.673,0.502,NaN,NaN,NaN,NaN,NaN,NaN
18,1850,7,-0.762,1.784,-0.621,0.415,NaN,NaN,NaN,NaN,NaN,NaN
19,1850,8,-0.727,1.607,-0.659,0.349,NaN,NaN,NaN,NaN,NaN,NaN
20,1850,9,-0.666,0.697,-0.695,0.386,NaN,NaN,NaN,NaN,NaN,NaN
21,1850,10,-1.154,1.182,-0.679,0.416,NaN,NaN,NaN,NaN,NaN,NaN
22,1850,11,-0.969,2.113,-0.645,0.408,NaN,NaN,NaN,NaN,NaN,NaN
23,1850,12,-0.244,1.694,-0.669,0.412,NaN,NaN,NaN,NaN,NaN,NaN
24,1851,1,-0.268,0.836,-0.644,0.391,NaN,NaN,NaN,NaN,NaN,NaN
25,1851,2,-0.712,1.122,-0.644,0.363,NaN,NaN,NaN,NaN,NaN,NaN
26,1851,3,-0.670,1.355,-0.652,0.392,NaN,NaN,NaN,NaN,NaN,NaN
27,1851,4,-0.550,0.977,-0.619,0.420,NaN,NaN,NaN,NaN,NaN,NaN
28,1851,5,-0.619,1.356,-0.625,0.528,NaN,NaN,NaN,NaN,NaN,NaN
29,1851,6,-0.692,1.586,-0.628,0.681,NaN,NaN,NaN,NaN,NaN,NaN
30,1851,7,-0.461,1.326,-0.639,0.734,NaN,NaN,NaN,NaN,NaN,NaN
31,1851,8,-0.718,1.010,-0.665,0.729,NaN,NaN,NaN,NaN,NaN,NaN
32,1851,9,-0.772,1.115,-0.733,0.859,NaN,NaN,NaN,NaN,NaN,NaN
33,1851,10,-0.747,1.613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1851,11,-1.044,1.314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1851,12,-0.284,1.987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1852,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1852,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1852,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1852,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1852,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1852,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,1852,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,1852,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,1852,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,1852,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1852,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1852,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1853,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,1853,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,1853,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,1853,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,1853,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,1853,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,1853,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,1853,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,1853,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,1853,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,1853,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,1853,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,1854,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,1854,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,1854,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,1854,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,1854,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,1854,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,1854,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,1854,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68,1854,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,1854,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,1854,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,1854,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,1855,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,1855,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,1855,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,1855,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,1855,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,1855,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1855,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,1855,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,1855,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,1855,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,1855,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,1855,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,1856,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,1856,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86,1856,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,1856,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88,1856,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,1856,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,1856,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,1856,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,1856,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93,1856,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,1856,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,1856,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
