,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1845,1,-0.567,0.955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1845,2,-1.197,2.227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1845,3,-1.035,0.709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1845,4,-1.105,1.330,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1845,5,-0.950,0.684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1845,6,-0.968,0.671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1845,7,-0.488,0.774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1845,8,-0.754,0.910,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1845,9,-0.966,1.244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1845,10,NaN,NaN,-0.795,0.800,NaN,NaN,NaN,NaN,NaN,NaN
10,1845,11,NaN,NaN,-0.724,0.813,NaN,NaN,NaN,NaN,NaN,NaN
11,1845,12,NaN,NaN,-0.635,0.876,NaN,NaN,NaN,NaN,NaN,NaN
12,1846,1,0.240,3.862,-0.605,0.917,NaN,NaN,NaN,NaN,NaN,NaN
13,1846,2,0.102,1.425,-0.577,0.897,NaN,NaN,NaN,NaN,NaN,NaN
14,1846,3,0.195,1.810,-0.547,0.849,NaN,NaN,NaN,NaN,NaN,NaN
15,1846,4,-0.693,1.856,-0.502,0.949,NaN,NaN,NaN,NaN,NaN,NaN
16,1846,5,-0.101,1.266,-0.484,0.886,NaN,NaN,NaN,NaN,NaN,NaN
17,1846,6,0.102,1.188,-0.354,0.710,-0.891,0.416,NaN,NaN,NaN,NaN
18,1846,7,-0.134,1.665,-0.417,0.544,-0.887,0.415,NaN,NaN,NaN,NaN
19,1846,8,-0.419,1.052,-0.489,0.724,-0.876,0.422,NaN,NaN,NaN,NaN
20,1846,9,-0.604,0.721,-0.609,0.517,-0.872,0.435,NaN,NaN,NaN,NaN
21,1846,10,-1.194,1.412,-0.636,0.553,-0.872,0.417,NaN,NaN,NaN,NaN
22,1846,11,-1.102,0.824,-0.730,0.657,-0.866,0.410,NaN,NaN,NaN,NaN
23,1846,12,-0.637,1.775,-0.810,0.651,-0.861,0.408,NaN,NaN,NaN,NaN
24,1847,1,-0.519,2.773,-0.846,0.609,-0.856,0.426,NaN,NaN,NaN,NaN
25,1847,2,-0.765,2.463,-0.875,0.513,-0.852,0.433,NaN,NaN,NaN,NaN
26,1847,3,-1.245,1.576,-0.897,0.550,-0.843,0.425,NaN,NaN,NaN,NaN
27,1847,4,-1.010,0.723,-0.902,0.611,-0.847,0.427,NaN,NaN,NaN,NaN
28,1847,5,-1.237,0.617,-0.861,0.652,-0.834,0.454,NaN,NaN,NaN,NaN
29,1847,6,-0.854,0.717,-0.925,0.475,-0.826,0.428,NaN,NaN,NaN,NaN
30,1847,7,-0.569,1.062,-0.985,0.425,-0.841,0.408,NaN,NaN,NaN,NaN
31,1847,8,-0.766,0.865,-0.963,0.510,-0.832,0.442,NaN,NaN,NaN,NaN
32,1847,9,-0.868,0.860,-0.951,0.607,-0.830,0.465,-0.849,0.409,NaN,NaN
33,1847,10,-1.248,0.863,-0.928,0.648,-0.832,0.455,-0.845,0.406,NaN,NaN
34,1847,11,-0.611,0.894,-0.911,0.606,-0.835,0.448,-0.842,0.399,NaN,NaN
35,1847,12,-1.410,2.373,-0.889,0.602,-0.822,0.444,-0.852,0.400,NaN,NaN
36,1848,1,-1.233,1.502,-0.856,0.544,-0.815,0.446,-0.860,0.410,NaN,NaN
37,1848,2,-0.510,2.633,-0.858,0.489,-0.812,0.454,-0.869,0.396,NaN,NaN
38,1848,3,-1.091,1.019,-0.878,0.458,-0.804,0.441,-0.868,0.389,NaN,NaN
39,1848,4,-0.743,0.996,-0.844,0.447,-0.786,0.425,-0.866,0.386,NaN,NaN
40,1848,5,-1.032,0.826,-0.845,0.417,-0.776,0.397,-0.859,0.389,NaN,NaN
41,1848,6,-0.585,0.898,-0.817,0.400,-0.753,0.370,-0.850,0.391,NaN,NaN
42,1848,7,-0.171,0.547,-0.759,0.465,-0.768,0.326,-0.846,0.389,NaN,NaN
43,1848,8,-0.787,0.636,-0.777,0.440,-0.786,0.348,-0.841,0.385,NaN,NaN
44,1848,9,-1.108,0.626,-0.738,0.462,-0.809,0.319,-0.841,0.384,NaN,NaN
45,1848,10,-0.844,0.575,-0.790,0.407,-0.818,0.312,-0.843,0.387,NaN,NaN
46,1848,11,-0.628,1.097,-0.802,0.441,-0.834,0.334,-0.841,0.382,NaN,NaN
