,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1824,1,0.160,1.743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1824,2,-0.838,1.602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1824,3,0.323,1.555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1824,4,0.356,0.951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1824,5,0.074,0.804,-0.407,0.638,NaN,NaN,NaN,NaN,NaN,NaN
5,1824,6,0.087,1.215,-0.292,0.601,NaN,NaN,NaN,NaN,NaN,NaN
6,1824,7,0.177,1.191,-0.319,0.629,NaN,NaN,NaN,NaN,NaN,NaN
7,1824,8,-1.091,0.828,-0.264,0.597,NaN,NaN,NaN,NaN,NaN,NaN
8,1824,9,-1.063,1.813,-0.316,0.558,NaN,NaN,NaN,NaN,NaN,NaN
9,1824,10,-1.258,1.232,-0.344,0.617,NaN,NaN,NaN,NaN,NaN,NaN
10,1824,11,-0.334,1.272,-0.368,0.564,NaN,NaN,NaN,NaN,NaN,NaN
11,1824,12,-0.094,2.461,-0.394,0.610,NaN,NaN,NaN,NaN,NaN,NaN
12,1825,1,-0.166,2.039,-0.475,0.614,NaN,NaN,NaN,NaN,NaN,NaN
13,1825,2,-0.181,2.130,-0.499,0.603,NaN,NaN,NaN,NaN,NaN,NaN
14,1825,3,-0.295,1.749,-0.528,0.589,NaN,NaN,NaN,NaN,NaN,NaN
15,1825,4,0.016,1.822,-0.533,0.599,NaN,NaN,NaN,NaN,NaN,NaN
16,1825,5,-0.208,1.071,-0.559,0.626,-0.545,0.537,NaN,NaN,NaN,NaN
17,1825,6,-0.235,1.309,-0.646,0.584,-0.510,0.524,NaN,NaN,NaN,NaN
18,1825,7,-0.795,1.044,-0.717,0.543,-0.500,0.518,NaN,NaN,NaN,NaN
19,1825,8,-1.371,0.667,-0.699,0.545,-0.476,0.513,NaN,NaN,NaN,NaN
20,1825,9,-1.410,1.217,-0.666,0.610,-0.472,0.493,NaN,NaN,NaN,NaN
21,1825,10,-1.319,1.324,-0.627,0.586,-0.459,0.494,NaN,NaN,NaN,NaN
22,1825,11,-0.652,1.988,-0.615,0.644,-0.452,0.494,NaN,NaN,NaN,NaN
23,1825,12,-1.134,0.999,-0.652,0.580,-0.447,0.495,NaN,NaN,NaN,NaN
24,1826,1,-1.015,0.858,-0.609,0.523,-0.445,0.492,NaN,NaN,NaN,NaN
25,1826,2,0.028,2.390,-0.594,0.542,-0.435,0.487,NaN,NaN,NaN,NaN
