,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1852,10,-1.108,1.626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1852,11,-0.778,1.498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1852,12,0.308,1.431,-0.744,0.741,NaN,NaN,NaN,NaN,NaN,NaN
3,1853,1,-1.876,2.012,-0.716,0.746,NaN,NaN,NaN,NaN,NaN,NaN
4,1853,2,-1.421,1.323,-0.736,0.779,NaN,NaN,NaN,NaN,NaN,NaN
5,1853,3,-1.097,1.038,-0.753,0.748,NaN,NaN,NaN,NaN,NaN,NaN
6,1853,4,-0.739,0.977,-0.683,0.707,NaN,NaN,NaN,NaN,NaN,NaN
7,1853,5,-0.333,1.201,-0.743,0.624,NaN,NaN,NaN,NaN,NaN,NaN
8,1853,6,-0.639,1.475,-0.892,0.585,NaN,NaN,NaN,NaN,NaN,NaN
9,1853,7,0.038,1.109,-0.860,0.482,NaN,NaN,NaN,NaN,NaN,NaN
10,1853,8,-0.561,1.152,-0.880,0.481,NaN,NaN,NaN,NaN,NaN,NaN
11,1853,9,-0.829,0.828,-0.817,0.486,NaN,NaN,NaN,NaN,NaN,NaN
12,1853,10,-0.268,1.094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1853,11,-1.501,1.640,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1853,12,-1.477,0.856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1854,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1854,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1854,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1854,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1854,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1854,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1854,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1854,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1854,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1854,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1854,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1854,12,-1.246,2.223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1855,1,-1.052,1.995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1855,2,-1.652,1.816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
