,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1807,8,-0.619,2.409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1807,9,-1.075,1.957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1807,10,-0.701,1.840,-1.079,1.267,NaN,NaN,NaN,NaN,NaN,NaN
3,1807,11,-1.951,2.158,-0.949,1.324,NaN,NaN,NaN,NaN,NaN,NaN
4,1807,12,-0.054,2.122,-0.923,1.449,NaN,NaN,NaN,NaN,NaN,NaN
5,1808,1,-2.868,1.977,-0.875,1.378,NaN,NaN,NaN,NaN,NaN,NaN
6,1808,2,-1.408,3.145,-0.817,1.304,NaN,NaN,NaN,NaN,NaN,NaN
7,1808,3,-0.797,3.094,-0.740,1.359,NaN,NaN,NaN,NaN,NaN,NaN
8,1808,4,-1.570,2.877,-0.825,1.531,NaN,NaN,NaN,NaN,NaN,NaN
9,1808,5,-0.544,3.413,-0.801,1.754,NaN,NaN,NaN,NaN,NaN,NaN
10,1808,6,0.106,2.686,-0.845,1.885,NaN,NaN,NaN,NaN,NaN,NaN
11,1808,7,0.984,1.868,-0.724,1.713,NaN,NaN,NaN,NaN,NaN,NaN
12,1808,8,NaN,NaN,-0.731,1.784,NaN,NaN,NaN,NaN,NaN,NaN
13,1808,9,NaN,NaN,-0.656,1.637,NaN,NaN,NaN,NaN,NaN,NaN
14,1808,10,NaN,NaN,-0.616,1.366,NaN,NaN,NaN,NaN,NaN,NaN
15,1808,11,-1.666,1.993,-0.595,1.228,NaN,NaN,NaN,NaN,NaN,NaN
16,1808,12,-0.580,3.822,-0.666,1.172,NaN,NaN,NaN,NaN,NaN,NaN
17,1809,1,-1.421,2.130,-0.799,1.008,-1.019,1.093,NaN,NaN,NaN,NaN
18,1809,2,-1.492,4.463,-0.824,1.088,-1.043,1.104,NaN,NaN,NaN,NaN
19,1809,3,0.100,2.500,-0.876,1.047,-1.067,1.090,NaN,NaN,NaN,NaN
20,1809,4,-1.089,2.520,-0.791,1.295,-1.065,1.095,NaN,NaN,NaN,NaN
21,1809,5,-0.293,1.838,-0.775,1.304,-1.090,1.077,NaN,NaN,NaN,NaN
22,1809,6,-0.740,2.189,-0.857,1.287,-1.120,1.099,NaN,NaN,NaN,NaN
23,1809,7,-0.614,2.667,-0.836,1.269,-1.100,1.141,NaN,NaN,NaN,NaN
24,1809,8,-0.226,2.963,-0.839,1.433,-1.107,1.160,NaN,NaN,NaN,NaN
25,1809,9,-0.770,1.799,-0.972,1.672,-1.134,1.216,NaN,NaN,NaN,NaN
26,1809,10,-0.702,5.778,-0.971,2.132,-1.134,1.217,NaN,NaN,NaN,NaN
27,1809,11,-1.475,3.016,-1.144,2.303,-1.125,1.199,NaN,NaN,NaN,NaN
28,1809,12,-1.568,3.616,-1.108,2.599,-1.145,1.197,NaN,NaN,NaN,NaN
29,1810,1,-1.165,3.056,-1.097,3.030,-1.163,1.184,NaN,NaN,NaN,NaN
30,1810,2,-1.529,6.687,-1.163,2.982,-1.139,1.167,NaN,NaN,NaN,NaN
