,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1816,5,-0.554,1.919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1816,6,-1.226,1.293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1816,7,-2.008,1.696,-1.680,1.106,NaN,NaN,NaN,NaN,NaN,NaN
3,1816,8,-1.461,1.104,-1.443,1.126,NaN,NaN,NaN,NaN,NaN,NaN
4,1816,9,-2.043,1.315,-1.459,1.181,NaN,NaN,NaN,NaN,NaN,NaN
5,1816,10,-3.086,5.254,-1.421,1.201,NaN,NaN,NaN,NaN,NaN,NaN
6,1816,11,-1.925,6.097,-1.520,1.231,NaN,NaN,NaN,NaN,NaN,NaN
7,1816,12,-1.674,1.815,-1.608,1.196,NaN,NaN,NaN,NaN,NaN,NaN
8,1817,1,-0.805,4.388,-1.570,1.269,NaN,NaN,NaN,NaN,NaN,NaN
9,1817,2,-0.548,2.442,-1.520,1.217,NaN,NaN,NaN,NaN,NaN,NaN
10,1817,3,-1.244,2.057,-1.598,1.287,NaN,NaN,NaN,NaN,NaN,NaN
11,1817,4,-0.481,1.975,-1.552,1.115,NaN,NaN,NaN,NaN,NaN,NaN
12,1817,5,-1.733,1.722,-1.530,0.997,NaN,NaN,NaN,NaN,NaN,NaN
13,1817,6,-2.288,1.941,-1.538,1.033,NaN,NaN,NaN,NaN,NaN,NaN
14,1817,7,-1.557,1.428,-1.518,0.978,-1.473,0.454,NaN,NaN,NaN,NaN
15,1817,8,-0.852,1.460,-1.581,1.098,-1.487,0.517,NaN,NaN,NaN,NaN
16,1817,9,-2.980,1.718,-1.538,1.086,-1.476,0.501,NaN,NaN,NaN,NaN
17,1817,10,-2.535,2.494,-1.469,0.925,-1.461,0.501,NaN,NaN,NaN,NaN
18,1817,11,-1.667,2.224,-1.318,0.789,-1.462,0.497,NaN,NaN,NaN,NaN
19,1817,12,-1.764,3.173,-1.156,0.819,-1.433,0.500,NaN,NaN,NaN,NaN
20,1818,1,-0.572,2.754,-1.170,0.874,-1.434,0.519,NaN,NaN,NaN,NaN
21,1818,2,-1.301,1.979,-1.236,0.928,-1.444,0.526,NaN,NaN,NaN,NaN
