,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1869,1,-0.572,0.913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1869,2,0.134,1.683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1869,3,-0.740,1.364,-0.364,0.446,NaN,NaN,NaN,NaN,NaN,NaN
3,1869,4,-0.560,0.744,-0.392,0.444,NaN,NaN,NaN,NaN,NaN,NaN
4,1869,5,-0.361,0.726,-0.386,0.459,NaN,NaN,NaN,NaN,NaN,NaN
5,1869,6,-0.130,1.159,-0.430,0.428,NaN,NaN,NaN,NaN,NaN,NaN
6,1869,7,-0.008,0.724,-0.454,0.411,NaN,NaN,NaN,NaN,NaN,NaN
7,1869,8,-0.251,1.075,-0.568,0.452,NaN,NaN,NaN,NaN,NaN,NaN
8,1869,9,-0.179,0.745,-0.577,0.439,NaN,NaN,NaN,NaN,NaN,NaN
9,1869,10,-0.501,0.732,-0.577,0.472,NaN,NaN,NaN,NaN,NaN,NaN
10,1869,11,-0.851,0.701,-0.585,0.497,NaN,NaN,NaN,NaN,NaN,NaN
11,1869,12,-1.138,0.734,-0.589,0.453,NaN,NaN,NaN,NaN,NaN,NaN
12,1870,1,-0.859,0.778,-0.598,0.438,NaN,NaN,NaN,NaN,NaN,NaN
13,1870,2,-1.243,1.110,-0.639,0.421,NaN,NaN,NaN,NaN,NaN,NaN
14,1870,3,-0.841,0.748,-0.679,0.413,NaN,NaN,NaN,NaN,NaN,NaN
15,1870,4,-0.565,0.810,-0.707,0.409,-0.598,0.323,NaN,NaN,NaN,NaN
16,1870,5,-0.458,0.687,-0.714,0.457,-0.614,0.320,NaN,NaN,NaN,NaN
17,1870,6,-0.179,0.710,-0.739,0.461,-0.620,0.320,NaN,NaN,NaN,NaN
18,1870,7,-0.110,0.647,-0.773,0.475,-0.617,0.316,NaN,NaN,NaN,NaN
19,1870,8,-0.750,0.686,-0.773,0.481,-0.609,0.313,NaN,NaN,NaN,NaN
20,1870,9,-0.656,0.723,-0.777,0.481,-0.608,0.314,NaN,NaN,NaN,NaN
21,1870,10,-0.835,0.821,-0.760,0.476,-0.615,0.315,NaN,NaN,NaN,NaN
22,1870,11,-0.931,1.071,-0.773,0.495,-0.617,0.315,NaN,NaN,NaN,NaN
23,1870,12,-1.439,0.843,-0.802,0.495,-0.619,0.314,NaN,NaN,NaN,NaN
24,1871,1,-1.270,0.877,-0.833,0.487,-0.622,0.314,NaN,NaN,NaN,NaN
25,1871,2,-1.237,1.108,-0.794,0.468,-0.624,0.314,NaN,NaN,NaN,NaN
26,1871,3,-0.888,0.841,-0.793,0.463,-0.623,0.316,NaN,NaN,NaN,NaN
27,1871,4,-0.363,0.722,-0.783,0.452,-0.629,0.317,NaN,NaN,NaN,NaN
28,1871,5,-0.618,0.838,-0.813,0.451,-0.623,0.318,NaN,NaN,NaN,NaN
29,1871,6,-0.531,0.672,-0.786,0.455,-0.622,0.322,NaN,NaN,NaN,NaN
30,1871,7,-0.472,0.758,-0.780,0.469,-0.621,0.323,NaN,NaN,NaN,NaN
31,1871,8,-0.289,0.729,-0.777,0.462,-0.630,0.313,NaN,NaN,NaN,NaN
32,1871,9,-0.639,0.745,-0.767,0.473,-0.633,0.315,NaN,NaN,NaN,NaN
33,1871,10,-0.713,0.685,-0.779,0.467,-0.631,0.315,NaN,NaN,NaN,NaN
34,1871,11,-1.292,0.843,-0.751,0.460,-0.628,0.320,NaN,NaN,NaN,NaN
35,1871,12,-1.116,0.753,-0.733,0.453,-0.631,0.321,-0.615,0.266,NaN,NaN
36,1872,1,-1.197,1.270,-0.714,0.446,-0.640,0.321,-0.615,0.267,NaN,NaN
37,1872,2,-1.199,0.815,-0.719,0.432,-0.643,0.323,-0.613,0.268,NaN,NaN
38,1872,3,-0.770,0.786,-0.694,0.413,-0.648,0.322,-0.610,0.268,NaN,NaN
39,1872,4,-0.509,0.755,-0.670,0.410,-0.648,0.323,-0.609,0.267,NaN,NaN
40,1872,5,-0.284,0.762,-0.643,0.406,-0.650,0.328,-0.607,0.266,NaN,NaN
41,1872,6,-0.314,0.626,-0.644,0.441,-0.645,0.326,-0.607,0.263,NaN,NaN
42,1872,7,-0.250,0.676,-0.607,0.423,-0.649,0.328,-0.606,0.259,NaN,NaN
43,1872,8,-0.347,0.653,-0.559,0.431,-0.643,0.321,-0.603,0.258,NaN,NaN
44,1872,9,-0.334,0.644,-0.559,0.415,-0.649,0.319,-0.601,0.259,NaN,NaN
45,1872,10,-0.426,0.681,-0.597,0.417,-0.655,0.317,-0.597,0.259,NaN,NaN
46,1872,11,-0.970,0.751,-0.614,0.425,-0.661,0.315,-0.594,0.256,NaN,NaN
47,1872,12,-1.126,1.158,-0.595,0.434,-0.666,0.311,-0.592,0.256,NaN,NaN
48,1873,1,-0.758,0.754,-0.585,0.439,-0.670,0.310,-0.586,0.259,NaN,NaN
49,1873,2,-0.619,0.916,-0.577,0.448,-0.666,0.309,-0.573,0.260,NaN,NaN
50,1873,3,-0.774,0.808,-0.587,0.467,-0.664,0.308,-0.558,0.262,NaN,NaN
51,1873,4,-0.961,0.791,-0.593,0.455,-0.662,0.306,-0.550,0.263,NaN,NaN
