,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1848,1,-2.011,2.645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1848,2,-1.242,2.068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1848,3,-0.909,1.794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1848,4,-0.657,1.699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1848,5,-0.380,1.878,-0.934,0.899,NaN,NaN,NaN,NaN,NaN,NaN
5,1848,6,-0.329,1.705,-0.818,0.887,NaN,NaN,NaN,NaN,NaN,NaN
6,1848,7,-0.106,2.157,-0.711,0.849,NaN,NaN,NaN,NaN,NaN,NaN
7,1848,8,-0.283,1.608,-0.653,0.895,NaN,NaN,NaN,NaN,NaN,NaN
8,1848,9,-1.131,1.777,-0.650,0.888,NaN,NaN,NaN,NaN,NaN,NaN
9,1848,10,-0.607,1.593,-0.652,0.925,NaN,NaN,NaN,NaN,NaN,NaN
10,1848,11,0.152,1.871,-0.645,0.903,NaN,NaN,NaN,NaN,NaN,NaN
11,1848,12,-2.319,1.878,-0.676,0.922,NaN,NaN,NaN,NaN,NaN,NaN
12,1849,1,-0.715,2.026,-0.678,0.913,NaN,NaN,NaN,NaN,NaN,NaN
13,1849,2,-0.546,1.976,-0.671,0.945,NaN,NaN,NaN,NaN,NaN,NaN
14,1849,3,-0.873,1.839,-0.656,0.955,NaN,NaN,NaN,NaN,NaN,NaN
15,1849,4,-0.689,2.133,-0.630,0.985,NaN,NaN,NaN,NaN,NaN,NaN
16,1849,5,-0.297,1.632,-0.688,1.028,NaN,NaN,NaN,NaN,NaN,NaN
17,1849,6,-0.700,1.913,-0.553,0.979,NaN,NaN,NaN,NaN,NaN,NaN
18,1849,7,-0.130,1.962,-0.604,0.956,NaN,NaN,NaN,NaN,NaN,NaN
19,1849,8,-0.192,1.743,-0.606,0.974,NaN,NaN,NaN,NaN,NaN,NaN
20,1849,9,-0.959,1.843,-0.583,1.002,NaN,NaN,NaN,NaN,NaN,NaN
21,1849,10,-0.288,1.762,-0.657,1.042,NaN,NaN,NaN,NaN,NaN,NaN
22,1849,11,-0.552,2.620,-0.775,1.012,-0.653,0.694,NaN,NaN,NaN,NaN
23,1849,12,-0.690,1.738,-0.813,0.979,-0.652,0.679,NaN,NaN,NaN,NaN
24,1850,1,-1.336,1.968,-0.767,0.931,-0.665,0.660,NaN,NaN,NaN,NaN
25,1850,2,-0.564,2.107,-0.782,0.870,-0.662,0.655,NaN,NaN,NaN,NaN
26,1850,3,-0.603,2.220,-0.750,0.835,-0.677,0.649,NaN,NaN,NaN,NaN
27,1850,4,-1.569,1.809,-0.819,0.787,-0.659,0.655,NaN,NaN,NaN,NaN
28,1850,5,-1.716,1.752,-0.837,0.699,-0.662,0.654,NaN,NaN,NaN,NaN
29,1850,6,-1.160,1.658,-0.917,0.699,-0.604,0.652,NaN,NaN,NaN,NaN
30,1850,7,0.423,1.581,-0.874,0.683,-0.584,0.646,NaN,NaN,NaN,NaN
31,1850,8,-0.365,1.537,-0.884,0.674,-0.583,0.638,NaN,NaN,NaN,NaN
32,1850,9,-0.582,1.588,-0.890,0.655,-0.574,0.633,NaN,NaN,NaN,NaN
33,1850,10,-1.115,1.807,-0.832,0.644,NaN,NaN,NaN,NaN,NaN,NaN
34,1850,11,-0.770,1.988,-0.539,0.644,NaN,NaN,NaN,NaN,NaN,NaN
35,1850,12,-1.641,1.506,-0.375,0.664,NaN,NaN,NaN,NaN,NaN,NaN
36,1851,1,-0.827,1.715,-0.426,0.681,NaN,NaN,NaN,NaN,NaN,NaN
37,1851,2,-0.682,1.872,-0.376,0.722,NaN,NaN,NaN,NaN,NaN,NaN
38,1851,3,-0.680,1.763,-0.342,0.760,NaN,NaN,NaN,NaN,NaN,NaN
39,1851,4,-0.869,1.703,-0.315,0.770,NaN,NaN,NaN,NaN,NaN,NaN
40,1851,5,1.803,1.970,-0.306,0.820,NaN,NaN,NaN,NaN,NaN,NaN
41,1851,6,0.810,1.681,-0.251,0.886,NaN,NaN,NaN,NaN,NaN,NaN
42,1851,7,-0.187,1.856,-0.253,0.920,NaN,NaN,NaN,NaN,NaN,NaN
43,1851,8,0.235,1.803,-0.279,0.881,NaN,NaN,NaN,NaN,NaN,NaN
44,1851,9,-0.184,1.706,-0.342,0.968,NaN,NaN,NaN,NaN,NaN,NaN
45,1851,10,-0.793,1.813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1851,11,-0.661,1.692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1851,12,-0.976,2.296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1852,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,1852,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,1852,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,1852,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,1852,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,1852,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,1852,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,1852,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,1852,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,1852,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,1852,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,1852,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,1853,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,1853,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,1853,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
