,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1843,1,0.509,2.033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1843,2,1.374,2.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1843,3,-0.339,2.217,-0.586,0.925,NaN,NaN,NaN,NaN,NaN,NaN
3,1843,4,-0.833,1.547,-0.537,0.911,NaN,NaN,NaN,NaN,NaN,NaN
4,1843,5,-1.690,1.858,-0.654,0.901,NaN,NaN,NaN,NaN,NaN,NaN
5,1843,6,-1.556,1.640,-0.795,0.885,NaN,NaN,NaN,NaN,NaN,NaN
6,1843,7,-0.666,1.616,-0.863,0.886,NaN,NaN,NaN,NaN,NaN,NaN
7,1843,8,-1.217,1.784,-0.961,0.921,NaN,NaN,NaN,NaN,NaN,NaN
8,1843,9,-1.697,1.850,-0.927,0.901,NaN,NaN,NaN,NaN,NaN,NaN
9,1843,10,NaN,NaN,-1.059,0.933,NaN,NaN,NaN,NaN,NaN,NaN
10,1843,11,-1.288,2.179,-1.058,0.939,NaN,NaN,NaN,NaN,NaN,NaN
11,1843,12,-1.685,2.487,-1.038,0.923,NaN,NaN,NaN,NaN,NaN,NaN
12,1844,1,-0.317,2.023,-0.982,0.927,NaN,NaN,NaN,NaN,NaN,NaN
13,1844,2,0.201,2.319,-0.932,0.914,NaN,NaN,NaN,NaN,NaN,NaN
14,1844,3,NaN,NaN,-0.895,0.891,NaN,NaN,NaN,NaN,NaN,NaN
15,1844,4,NaN,NaN,-0.957,0.868,NaN,NaN,NaN,NaN,NaN,NaN
16,1844,5,-1.679,1.848,-0.956,0.869,NaN,NaN,NaN,NaN,NaN,NaN
17,1844,6,-1.320,1.793,-1.022,0.839,NaN,NaN,NaN,NaN,NaN,NaN
18,1844,7,0.015,1.751,-1.229,0.786,NaN,NaN,NaN,NaN,NaN,NaN
19,1844,8,-0.627,1.785,-1.316,0.854,NaN,NaN,NaN,NaN,NaN,NaN
20,1844,9,-1.243,1.832,-1.283,0.866,NaN,NaN,NaN,NaN,NaN,NaN
21,1844,10,-1.190,2.083,-1.120,0.829,NaN,NaN,NaN,NaN,NaN,NaN
22,1844,11,-1.278,2.017,-1.018,0.812,NaN,NaN,NaN,NaN,NaN,NaN
23,1844,12,-2.486,2.044,-0.981,0.816,NaN,NaN,NaN,NaN,NaN,NaN
24,1845,1,-2.799,1.675,-0.995,0.830,NaN,NaN,NaN,NaN,NaN,NaN
25,1845,2,-0.838,3.105,-0.963,0.865,NaN,NaN,NaN,NaN,NaN,NaN
26,1845,3,0.470,1.600,-0.996,0.888,NaN,NaN,NaN,NaN,NaN,NaN
27,1845,4,-0.469,1.546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1845,5,-0.450,1.487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1845,6,-0.875,1.839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1845,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1845,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1845,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1845,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1845,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1845,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1846,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1846,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1846,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1846,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1846,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1846,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,1846,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
