,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-0.561,2.813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,1.226,2.184,-0.379,1.159,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,1.462,2.142,-0.357,1.188,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,-0.063,1.871,-0.420,1.201,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-0.734,1.750,-0.669,1.239,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,-0.785,1.814,-0.727,1.274,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.444,2.487,-0.722,1.278,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,-0.174,2.260,-1.034,1.258,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,-0.467,2.216,-1.105,1.275,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-2.894,2.008,-1.194,1.296,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-3.748,2.100,-1.225,1.261,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-2.430,2.720,-1.245,1.267,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-0.499,2.861,-1.266,1.268,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-2.523,1.910,-1.295,1.269,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,0.619,1.840,-1.396,1.266,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.137,1.852,-1.366,1.869,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-1.111,1.746,-1.265,2.148,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-1.018,1.791,-1.187,0.780,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,0.187,1.728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,-0.519,2.253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-1.672,2.075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1753,1,-1.709,4.846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1753,2,-0.205,5.653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1753,3,1.216,3.414,-0.410,1.284,NaN,NaN,NaN,NaN,NaN,NaN
39,1753,4,-0.659,4.430,-0.344,1.218,NaN,NaN,NaN,NaN,NaN,NaN
40,1753,5,-0.178,1.983,-0.490,1.108,NaN,NaN,NaN,NaN,NaN,NaN
41,1753,6,0.302,4.219,-0.642,0.871,NaN,NaN,NaN,NaN,NaN,NaN
42,1753,7,-0.185,1.958,-0.515,0.820,NaN,NaN,NaN,NaN,NaN,NaN
43,1753,8,-1.407,3.465,-0.632,0.840,NaN,NaN,NaN,NaN,NaN,NaN
44,1753,9,-0.232,2.152,-0.924,0.871,NaN,NaN,NaN,NaN,NaN,NaN
45,1753,10,-0.813,3.092,-0.802,0.846,NaN,NaN,NaN,NaN,NaN,NaN
46,1753,11,-1.497,2.798,-0.719,0.933,NaN,NaN,NaN,NaN,NaN,NaN
47,1753,12,-2.342,7.157,-0.786,0.925,NaN,NaN,NaN,NaN,NaN,NaN
48,1754,1,-0.182,5.335,-0.838,1.036,NaN,NaN,NaN,NaN,NaN,NaN
49,1754,2,-1.613,6.532,-0.795,1.124,NaN,NaN,NaN,NaN,NaN,NaN
50,1754,3,-2.289,2.797,-0.895,1.285,NaN,NaN,NaN,NaN,NaN,NaN
51,1754,4,0.807,3.088,-0.854,1.401,NaN,NaN,NaN,NaN,NaN,NaN
52,1754,5,0.819,5.806,-0.737,1.600,NaN,NaN,NaN,NaN,NaN,NaN
53,1754,6,-0.498,4.781,-0.597,1.528,NaN,NaN,NaN,NaN,NaN,NaN
54,1754,7,-0.813,2.477,-0.762,1.593,NaN,NaN,NaN,NaN,NaN,NaN
55,1754,8,-0.890,2.136,-0.831,1.474,NaN,NaN,NaN,NaN,NaN,NaN
56,1754,9,-1.427,2.757,-0.783,1.488,NaN,NaN,NaN,NaN,NaN,NaN
57,1754,10,-0.319,2.073,-0.752,1.489,NaN,NaN,NaN,NaN,NaN,NaN
58,1754,11,-0.092,2.863,-0.871,1.328,NaN,NaN,NaN,NaN,NaN,NaN
59,1754,12,-0.662,1.878,-0.739,1.272,NaN,NaN,NaN,NaN,NaN,NaN
60,1755,1,-2.171,4.505,-0.657,1.441,NaN,NaN,NaN,NaN,NaN,NaN
61,1755,2,-2.440,4.244,-0.713,1.446,NaN,NaN,NaN,NaN,NaN,NaN
62,1755,3,-1.716,2.633,-0.731,1.505,-0.525,0.859,NaN,NaN,NaN,NaN
63,1755,4,1.189,3.695,-0.717,1.737,-0.564,0.894,NaN,NaN,NaN,NaN
64,1755,5,-0.615,3.171,-0.782,1.774,-0.578,0.862,NaN,NaN,NaN,NaN
