,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-2.212,2.442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,-1.265,2.106,-0.820,1.048,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,NaN,NaN,-0.789,1.080,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.236,1.732,-0.703,1.096,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.622,1.724,-0.856,1.178,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,0.070,1.861,-0.819,1.200,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.129,2.791,-0.820,1.243,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.335,2.478,-0.970,1.197,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,NaN,NaN,-1.028,1.199,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-0.551,1.720,-1.197,1.229,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-3.179,1.959,-1.151,1.173,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-2.792,2.700,-1.216,1.189,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-2.224,2.777,-1.148,1.161,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-3.060,1.538,-1.102,1.169,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,0.763,1.683,-1.097,1.157,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.793,1.675,-1.145,1.857,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-1.073,1.519,-1.166,2.146,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-0.709,1.970,-1.174,0.748,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,0.945,1.549,-1.131,0.789,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,0.887,2.596,-0.773,0.719,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-0.373,2.012,-0.836,0.709,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.132,8.955,-0.797,0.718,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-3.436,4.734,-0.773,0.674,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-2.881,1.515,-0.561,0.614,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-1.711,1.937,-0.613,0.848,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,1.241,1.523,-0.797,0.732,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,0.000,2.199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-1.324,2.467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.780,1.415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,1.836,1.271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,0.316,1.405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,-1.317,1.467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-0.409,2.325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,-0.569,2.909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,-1.733,1.401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1753,1,-2.579,4.506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1753,2,-1.675,6.098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1753,3,0.537,3.697,-0.427,1.278,NaN,NaN,NaN,NaN,NaN,NaN
39,1753,4,0.025,5.118,-0.433,1.208,NaN,NaN,NaN,NaN,NaN,NaN
40,1753,5,0.046,2.358,-0.552,1.117,NaN,NaN,NaN,NaN,NaN,NaN
41,1753,6,1.710,3.504,-0.542,0.895,NaN,NaN,NaN,NaN,NaN,NaN
42,1753,7,0.759,1.739,-0.493,0.748,NaN,NaN,NaN,NaN,NaN,NaN
43,1753,8,-0.896,3.818,-0.640,0.740,NaN,NaN,NaN,NaN,NaN,NaN
44,1753,9,-0.337,1.479,-0.977,0.793,NaN,NaN,NaN,NaN,NaN,NaN
45,1753,10,-0.482,3.156,-0.939,0.819,NaN,NaN,NaN,NaN,NaN,NaN
46,1753,11,-1.998,3.539,-0.889,0.898,NaN,NaN,NaN,NaN,NaN,NaN
47,1753,12,-1.614,7.152,-0.951,0.811,NaN,NaN,NaN,NaN,NaN,NaN
48,1754,1,-1.997,5.216,-1.037,0.940,NaN,NaN,NaN,NaN,NaN,NaN
49,1754,2,-3.436,6.778,-0.944,0.953,NaN,NaN,NaN,NaN,NaN,NaN
50,1754,3,-3.506,3.209,-0.981,1.034,NaN,NaN,NaN,NaN,NaN,NaN
51,1754,4,0.478,2.681,-0.877,1.111,NaN,NaN,NaN,NaN,NaN,NaN
52,1754,5,0.655,6.894,-0.658,1.312,NaN,NaN,NaN,NaN,NaN,NaN
53,1754,6,0.959,5.707,-0.583,1.048,NaN,NaN,NaN,NaN,NaN,NaN
54,1754,7,-0.265,2.440,-0.788,1.113,NaN,NaN,NaN,NaN,NaN,NaN
55,1754,8,0.221,2.196,-0.839,1.059,NaN,NaN,NaN,NaN,NaN,NaN
56,1754,9,-0.792,2.713,-0.614,1.013,NaN,NaN,NaN,NaN,NaN,NaN
57,1754,10,0.770,1.969,-0.353,1.456,NaN,NaN,NaN,NaN,NaN,NaN
58,1754,11,0.627,2.516,-0.404,1.208,NaN,NaN,NaN,NaN,NaN,NaN
