,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1824,4,0.325,1.231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1824,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1824,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1824,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1824,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1824,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1824,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1824,11,-0.280,1.197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1824,12,0.031,2.282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1825,1,-0.386,2.083,-0.521,0.643,NaN,NaN,NaN,NaN,NaN,NaN
10,1825,2,-0.404,2.106,-0.558,0.631,NaN,NaN,NaN,NaN,NaN,NaN
11,1825,3,-0.488,1.518,-0.600,0.610,NaN,NaN,NaN,NaN,NaN,NaN
12,1825,4,-0.079,1.996,-0.603,0.613,NaN,NaN,NaN,NaN,NaN,NaN
13,1825,5,-0.299,1.011,-0.623,0.628,NaN,NaN,NaN,NaN,NaN,NaN
14,1825,6,-0.260,1.281,-0.737,0.583,NaN,NaN,NaN,NaN,NaN,NaN
15,1825,7,-1.039,1.114,-0.819,0.537,NaN,NaN,NaN,NaN,NaN,NaN
16,1825,8,-1.430,0.767,-0.768,0.528,NaN,NaN,NaN,NaN,NaN,NaN
17,1825,9,-1.406,1.262,-0.699,0.620,NaN,NaN,NaN,NaN,NaN,NaN
18,1825,10,-1.196,1.295,-0.642,0.591,NaN,NaN,NaN,NaN,NaN,NaN
19,1825,11,-0.516,1.731,-0.624,0.647,NaN,NaN,NaN,NaN,NaN,NaN
20,1825,12,-1.342,1.167,-0.660,0.584,NaN,NaN,NaN,NaN,NaN,NaN
21,1826,1,-1.367,1.065,-0.597,0.542,NaN,NaN,NaN,NaN,NaN,NaN
22,1826,2,0.202,2.176,-0.579,0.559,NaN,NaN,NaN,NaN,NaN,NaN
23,1826,3,0.345,3.870,-0.521,0.669,-0.424,0.479,NaN,NaN,NaN,NaN
24,1826,4,0.598,1.584,-0.504,0.639,-0.410,0.474,NaN,NaN,NaN,NaN
25,1826,5,-0.076,1.290,-0.511,0.672,-0.387,0.471,NaN,NaN,NaN,NaN
26,1826,6,-0.693,1.980,-0.390,0.684,-0.361,0.470,NaN,NaN,NaN,NaN
27,1826,7,-0.285,0.893,-0.316,0.717,-0.387,0.460,NaN,NaN,NaN,NaN
28,1826,8,-1.218,0.808,-0.237,0.598,-0.383,0.456,NaN,NaN,NaN,NaN
29,1826,9,-0.705,1.775,-0.234,0.483,-0.421,0.440,NaN,NaN,NaN,NaN
30,1826,10,-0.990,1.403,-0.200,0.506,-0.441,0.436,NaN,NaN,NaN,NaN
31,1826,11,-0.599,1.256,-0.161,0.528,-0.455,0.443,NaN,NaN,NaN,NaN
32,1826,12,0.108,1.253,-0.100,0.542,-0.473,0.437,NaN,NaN,NaN,NaN
33,1827,1,-0.473,1.613,-0.062,0.590,-0.488,0.440,NaN,NaN,NaN,NaN
34,1827,2,1.146,1.286,0.008,0.624,-0.487,0.446,NaN,NaN,NaN,NaN
35,1827,3,0.375,1.089,-0.018,0.624,-0.492,0.437,NaN,NaN,NaN,NaN
36,1827,4,1.013,1.826,-0.024,0.642,-0.489,0.438,NaN,NaN,NaN,NaN
37,1827,5,0.392,1.198,-0.010,0.677,-0.515,0.422,NaN,NaN,NaN,NaN
38,1827,6,NaN,NaN,0.002,0.640,-0.528,0.429,NaN,NaN,NaN,NaN
39,1827,7,0.172,1.701,0.059,0.593,-0.515,0.429,NaN,NaN,NaN,NaN
40,1827,8,-0.377,1.109,-0.010,0.631,-0.493,0.420,NaN,NaN,NaN,NaN
41,1827,9,-1.019,0.840,-0.094,0.674,-0.496,0.418,NaN,NaN,NaN,NaN
42,1827,10,-1.060,1.223,-0.206,0.631,-0.503,0.408,NaN,NaN,NaN,NaN
43,1827,11,-0.432,1.468,-0.275,0.624,-0.513,0.423,NaN,NaN,NaN,NaN
44,1827,12,0.246,1.369,-0.290,0.689,-0.518,0.420,NaN,NaN,NaN,NaN
45,1828,1,0.210,2.002,-0.338,0.667,-0.503,0.417,NaN,NaN,NaN,NaN
46,1828,2,0.320,1.670,-0.371,0.661,-0.493,0.421,NaN,NaN,NaN,NaN
47,1828,3,-0.630,1.482,-0.430,0.639,-0.496,0.426,NaN,NaN,NaN,NaN
48,1828,4,-0.332,1.582,-0.430,0.619,-0.496,0.429,NaN,NaN,NaN,NaN
49,1828,5,-0.431,0.958,-0.444,0.601,-0.475,0.434,NaN,NaN,NaN,NaN
50,1828,6,-0.142,1.320,-0.454,0.695,-0.435,0.439,NaN,NaN,NaN,NaN
51,1828,7,-0.407,1.152,-0.587,0.712,NaN,NaN,NaN,NaN,NaN,NaN
52,1828,8,-0.777,1.231,-0.675,0.684,NaN,NaN,NaN,NaN,NaN,NaN
53,1828,9,-1.722,1.195,-0.766,0.646,NaN,NaN,NaN,NaN,NaN,NaN
54,1828,10,NaN,NaN,-0.812,0.673,NaN,NaN,NaN,NaN,NaN,NaN
55,1828,11,-0.597,1.337,-0.843,0.712,NaN,NaN,NaN,NaN,NaN,NaN
56,1828,12,0.117,2.115,-0.903,0.688,NaN,NaN,NaN,NaN,NaN,NaN
57,1829,1,-1.384,1.471,-0.921,0.643,NaN,NaN,NaN,NaN,NaN,NaN
58,1829,2,-0.731,1.948,-0.934,0.638,NaN,NaN,NaN,NaN,NaN,NaN
59,1829,3,-1.730,1.110,-0.893,0.654,NaN,NaN,NaN,NaN,NaN,NaN
