,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1819,7,-0.987,2.099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1819,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1819,9,-0.015,1.999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1819,10,-0.903,2.324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1819,11,-2.036,2.188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1819,12,-1.349,1.732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1820,1,-3.502,2.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1820,2,-0.883,2.462,-0.934,0.672,NaN,NaN,NaN,NaN,NaN,NaN
8,1820,3,-0.677,2.216,-0.975,0.673,NaN,NaN,NaN,NaN,NaN,NaN
9,1820,4,0.200,2.296,-1.029,0.657,NaN,NaN,NaN,NaN,NaN,NaN
10,1820,5,-0.126,1.564,-1.044,0.640,NaN,NaN,NaN,NaN,NaN,NaN
11,1820,6,-0.388,1.515,-1.154,0.674,NaN,NaN,NaN,NaN,NaN,NaN
12,1820,7,-0.151,1.794,-0.896,0.644,NaN,NaN,NaN,NaN,NaN,NaN
13,1820,8,-1.381,2.440,-0.843,0.651,NaN,NaN,NaN,NaN,NaN,NaN
14,1820,9,-0.500,1.473,-0.817,0.673,NaN,NaN,NaN,NaN,NaN,NaN
15,1820,10,-1.553,1.805,-0.873,0.642,NaN,NaN,NaN,NaN,NaN,NaN
16,1820,11,-2.215,1.756,-0.873,0.656,NaN,NaN,NaN,NaN,NaN,NaN
17,1820,12,-2.669,2.089,-0.905,0.674,NaN,NaN,NaN,NaN,NaN,NaN
18,1821,1,-0.414,2.488,-0.960,0.723,NaN,NaN,NaN,NaN,NaN,NaN
19,1821,2,-0.247,2.033,-0.901,0.735,NaN,NaN,NaN,NaN,NaN,NaN
20,1821,3,-0.356,2.038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1821,4,-0.473,2.054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1821,5,-0.130,2.055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1821,6,-0.777,1.839,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1821,7,-0.806,2.315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1821,8,-0.668,1.933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1821,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1821,10,-2.034,1.877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1821,11,-2.118,2.214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1821,12,-1.427,1.704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1822,1,-1.091,2.734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1822,2,-0.239,2.014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1822,3,1.528,1.888,-0.939,0.914,NaN,NaN,NaN,NaN,NaN,NaN
33,1822,4,-1.601,1.877,-0.920,0.835,NaN,NaN,NaN,NaN,NaN,NaN
34,1822,5,-1.440,1.477,-0.950,0.823,NaN,NaN,NaN,NaN,NaN,NaN
35,1822,6,-0.386,1.601,-1.071,0.850,NaN,NaN,NaN,NaN,NaN,NaN
36,1822,7,-0.925,1.496,-1.079,0.808,NaN,NaN,NaN,NaN,NaN,NaN
37,1822,8,-0.729,1.545,-1.133,0.795,NaN,NaN,NaN,NaN,NaN,NaN
38,1822,9,-0.809,2.062,-1.349,0.868,NaN,NaN,NaN,NaN,NaN,NaN
39,1822,10,-1.801,2.115,-1.333,0.972,NaN,NaN,NaN,NaN,NaN,NaN
40,1822,11,-2.479,1.845,-1.362,1.052,NaN,NaN,NaN,NaN,NaN,NaN
41,1822,12,-2.884,2.046,-1.338,1.055,NaN,NaN,NaN,NaN,NaN,NaN
42,1823,1,-1.180,2.071,-1.239,1.052,NaN,NaN,NaN,NaN,NaN,NaN
43,1823,2,-0.889,2.506,-1.258,1.068,NaN,NaN,NaN,NaN,NaN,NaN
44,1823,3,-1.067,2.563,-1.280,1.029,NaN,NaN,NaN,NaN,NaN,NaN
45,1823,4,-1.412,2.520,-1.243,1.077,NaN,NaN,NaN,NaN,NaN,NaN
