,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1848,1,-4.855,2.677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1848,2,-0.740,2.471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1848,3,-1.913,2.087,-1.434,0.660,NaN,NaN,NaN,NaN,NaN,NaN
3,1848,4,-1.311,2.043,-1.482,0.666,NaN,NaN,NaN,NaN,NaN,NaN
4,1848,5,-0.979,2.193,-1.638,0.646,NaN,NaN,NaN,NaN,NaN,NaN
5,1848,6,-0.748,1.974,-1.431,0.637,NaN,NaN,NaN,NaN,NaN,NaN
6,1848,7,0.319,1.880,-0.940,0.640,NaN,NaN,NaN,NaN,NaN,NaN
7,1848,8,-0.202,1.906,-0.949,0.642,NaN,NaN,NaN,NaN,NaN,NaN
8,1848,9,-1.590,1.924,-0.735,0.690,NaN,NaN,NaN,NaN,NaN,NaN
9,1848,10,-1.393,1.848,-0.780,0.667,NaN,NaN,NaN,NaN,NaN,NaN
10,1848,11,-1.639,1.981,-0.851,0.660,NaN,NaN,NaN,NaN,NaN,NaN
11,1848,12,-2.122,2.502,-0.863,0.664,NaN,NaN,NaN,NaN,NaN,NaN
12,1849,1,1.033,2.560,-0.890,0.668,NaN,NaN,NaN,NaN,NaN,NaN
13,1849,2,-0.840,2.107,-0.884,0.679,NaN,NaN,NaN,NaN,NaN,NaN
14,1849,3,0.657,2.425,-0.917,0.650,-0.992,0.420,NaN,NaN,NaN,NaN
15,1849,4,-1.859,2.381,-0.838,0.680,-0.955,0.421,NaN,NaN,NaN,NaN
16,1849,5,-1.830,1.994,-0.853,0.660,-0.974,0.418,NaN,NaN,NaN,NaN
17,1849,6,-0.888,2.078,-0.883,0.626,-0.980,0.433,NaN,NaN,NaN,NaN
18,1849,7,-0.011,1.901,-1.299,0.646,-0.995,0.417,NaN,NaN,NaN,NaN
19,1849,8,-0.127,2.017,-1.257,0.634,-1.066,0.405,NaN,NaN,NaN,NaN
20,1849,9,-1.988,1.943,-1.238,0.651,-1.074,0.403,NaN,NaN,NaN,NaN
21,1849,10,-0.438,1.962,-1.198,0.719,-1.085,0.412,NaN,NaN,NaN,NaN
22,1849,11,-1.820,2.248,-1.172,0.713,-1.067,0.423,NaN,NaN,NaN,NaN
23,1849,12,-2.490,1.972,-1.197,0.728,-1.063,0.424,NaN,NaN,NaN,NaN
24,1850,1,-3.959,2.380,-1.187,0.747,-1.059,0.425,NaN,NaN,NaN,NaN
25,1850,2,-0.329,2.050,-1.204,0.716,-1.057,0.426,NaN,NaN,NaN,NaN
26,1850,3,0.879,2.764,-1.083,0.766,-1.045,0.429,NaN,NaN,NaN,NaN
27,1850,4,-1.377,1.988,-1.281,0.683,-1.035,0.438,NaN,NaN,NaN,NaN
28,1850,5,-1.517,1.851,-1.206,0.659,-1.079,0.431,NaN,NaN,NaN,NaN
29,1850,6,-1.184,1.811,-1.036,0.698,-0.996,0.439,NaN,NaN,NaN,NaN
30,1850,7,0.110,1.916,-0.793,0.674,-0.956,0.445,NaN,NaN,NaN,NaN
31,1850,8,-0.335,2.016,-0.766,0.669,-0.987,0.440,NaN,NaN,NaN,NaN
32,1850,9,-0.533,1.905,-0.975,0.611,-0.968,0.439,NaN,NaN,NaN,NaN
33,1850,10,-2.818,2.048,-1.154,0.585,-0.995,0.448,NaN,NaN,NaN,NaN
34,1850,11,-0.917,2.120,-1.071,0.589,-0.984,0.451,NaN,NaN,NaN,NaN
35,1850,12,-0.446,2.462,-0.959,0.604,-0.981,0.462,NaN,NaN,NaN,NaN
36,1851,1,-1.043,2.123,-0.999,0.593,-0.987,0.470,NaN,NaN,NaN,NaN
37,1851,2,-0.009,1.955,-0.977,0.611,-0.973,0.476,NaN,NaN,NaN,NaN
38,1851,3,-1.625,2.241,-1.006,0.625,-0.951,0.473,NaN,NaN,NaN,NaN
39,1851,4,-3.533,2.722,-0.833,0.636,-0.951,0.465,NaN,NaN,NaN,NaN
40,1851,5,-0.519,2.039,-0.929,0.703,-0.969,0.449,NaN,NaN,NaN,NaN
41,1851,6,0.164,1.843,-0.841,0.771,-0.952,0.440,NaN,NaN,NaN,NaN
