,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1840,1,-0.009,1.560,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1840,2,-0.546,1.706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1840,3,-1.148,2.352,-0.933,0.789,NaN,NaN,NaN,NaN,NaN,NaN
3,1840,4,-1.310,1.303,-0.959,0.759,NaN,NaN,NaN,NaN,NaN,NaN
4,1840,5,-0.663,1.429,-0.877,0.703,NaN,NaN,NaN,NaN,NaN,NaN
5,1840,6,-0.675,1.377,-0.826,0.638,NaN,NaN,NaN,NaN,NaN,NaN
6,1840,7,-0.068,1.155,-0.872,0.695,NaN,NaN,NaN,NaN,NaN,NaN
7,1840,8,-0.716,1.493,-0.875,0.719,NaN,NaN,NaN,NaN,NaN,NaN
8,1840,9,-0.704,1.269,-0.879,0.710,NaN,NaN,NaN,NaN,NaN,NaN
9,1840,10,-1.414,1.323,-0.847,0.879,NaN,NaN,NaN,NaN,NaN,NaN
10,1840,11,-1.225,1.336,-0.842,0.954,NaN,NaN,NaN,NaN,NaN,NaN
11,1840,12,-1.430,1.440,-0.800,1.074,NaN,NaN,NaN,NaN,NaN,NaN
12,1841,1,-0.567,2.543,-0.781,1.111,NaN,NaN,NaN,NaN,NaN,NaN
13,1841,2,-0.579,1.932,-0.692,1.154,NaN,NaN,NaN,NaN,NaN,NaN
14,1841,3,-1.200,2.475,-0.683,1.193,-0.721,0.662,NaN,NaN,NaN,NaN
15,1841,4,-0.919,2.763,-0.573,1.271,-0.726,0.670,NaN,NaN,NaN,NaN
16,1841,5,-0.604,1.156,-0.530,1.348,-0.728,0.671,NaN,NaN,NaN,NaN
17,1841,6,-0.169,1.455,-0.423,1.503,-0.727,0.666,NaN,NaN,NaN,NaN
18,1841,7,0.158,1.224,-0.391,1.428,-0.743,0.656,NaN,NaN,NaN,NaN
19,1841,8,0.345,1.930,-0.307,1.476,-0.765,0.664,NaN,NaN,NaN,NaN
20,1841,9,-0.589,1.641,-0.257,1.230,-0.722,0.644,NaN,NaN,NaN,NaN
21,1841,10,-0.101,1.726,-0.258,1.018,-0.726,0.644,NaN,NaN,NaN,NaN
22,1841,11,-0.706,2.107,-0.278,0.985,-0.726,0.644,NaN,NaN,NaN,NaN
23,1841,12,-0.149,2.834,-0.319,0.955,-0.727,0.643,NaN,NaN,NaN,NaN
24,1842,1,-0.185,2.128,-0.410,0.930,-0.740,0.637,NaN,NaN,NaN,NaN
25,1842,2,0.434,1.959,-0.491,0.881,-0.759,0.620,NaN,NaN,NaN,NaN
26,1842,3,-0.597,1.727,-0.522,0.868,-0.763,0.613,NaN,NaN,NaN,NaN
27,1842,4,-0.936,1.450,-0.633,0.789,-0.766,0.594,NaN,NaN,NaN,NaN
28,1842,5,-0.844,1.175,-0.698,0.747,-0.763,0.580,NaN,NaN,NaN,NaN
29,1842,6,-0.655,1.650,-0.709,0.719,-0.753,0.576,-0.935,0.563,NaN,NaN
30,1842,7,-0.933,1.295,-0.689,0.748,-0.773,0.569,-0.929,0.561,NaN,NaN
31,1842,8,-0.632,1.279,-0.724,0.861,-0.779,0.587,-0.929,0.560,NaN,NaN
32,1842,9,-0.963,1.401,-0.765,0.809,-0.782,0.566,-0.928,0.562,NaN,NaN
33,1842,10,-1.436,1.266,-0.769,0.787,-0.798,0.556,-0.929,0.561,NaN,NaN
34,1842,11,-1.477,1.255,-0.773,0.760,-0.808,0.559,-0.925,0.562,NaN,NaN
35,1842,12,-0.285,1.287,-0.738,0.684,-0.810,0.567,-0.931,0.565,NaN,NaN
36,1843,1,0.058,1.747,-0.700,0.664,-0.827,0.563,-0.927,0.557,NaN,NaN
37,1843,2,0.015,2.119,-0.679,0.660,-0.832,0.556,-0.914,0.558,NaN,NaN
38,1843,3,-1.090,1.793,-0.665,0.670,-0.842,0.558,-0.906,0.551,NaN,NaN
39,1843,4,-0.991,1.121,-0.623,0.672,-0.852,0.549,-0.908,0.548,NaN,NaN
40,1843,5,-0.885,1.533,-0.586,0.645,-0.864,0.559,-0.903,0.545,NaN,NaN
41,1843,6,-0.244,1.686,-0.633,0.679,-0.871,0.569,-0.903,0.547,NaN,NaN
42,1843,7,-0.475,1.085,-0.746,0.695,-0.861,0.594,-0.903,0.551,NaN,NaN
43,1843,8,-0.381,1.257,-0.837,0.728,-0.864,0.582,-0.906,0.550,NaN,NaN
44,1843,9,-0.790,1.387,-0.773,0.706,-0.850,0.583,-0.908,0.544,NaN,NaN
45,1843,10,-0.935,1.341,-0.788,0.711,-0.851,0.574,-0.911,0.546,NaN,NaN
46,1843,11,-1.028,1.468,-0.803,0.689,-0.854,0.576,-0.916,0.545,NaN,NaN
47,1843,12,-0.849,2.466,-0.846,0.696,-0.859,0.584,-0.921,0.544,NaN,NaN
48,1844,1,-1.302,2.052,-0.887,0.714,-0.867,0.596,-0.929,0.540,NaN,NaN
49,1844,2,-1.071,2.120,-0.959,0.708,-0.879,0.605,-0.941,0.540,NaN,NaN
50,1844,3,-0.325,1.515,-1.009,0.670,-0.885,0.617,-0.923,0.536,NaN,NaN
51,1844,4,-1.177,1.408,-1.042,0.673,-0.907,0.635,-0.926,0.536,NaN,NaN
52,1844,5,-1.056,1.343,-1.124,0.698,-0.925,0.656,-0.929,0.534,NaN,NaN
53,1844,6,-0.760,1.180,-1.172,0.577,-0.939,0.656,-0.928,0.536,NaN,NaN
54,1844,7,-0.972,1.148,-1.168,0.568,-0.953,0.661,-0.928,0.542,NaN,NaN
55,1844,8,-1.241,1.212,-1.151,0.551,-0.977,0.691,-0.932,0.539,NaN,NaN
56,1844,9,-1.397,1.362,-1.237,0.588,-0.991,0.664,-0.929,0.539,NaN,NaN
57,1844,10,-1.330,1.880,-1.329,0.656,-1.000,0.669,-0.926,0.534,NaN,NaN
58,1844,11,-2.012,1.216,-1.343,0.712,-1.011,0.679,-0.914,0.534,NaN,NaN
59,1844,12,-1.421,1.884,-1.349,0.720,-1.015,0.677,-0.914,0.520,NaN,NaN
60,1845,1,-1.256,2.076,-1.355,0.789,-1.006,0.679,-0.926,0.518,NaN,NaN
61,1845,2,-0.864,2.186,-1.341,0.859,-1.011,0.687,-0.929,0.524,NaN,NaN
62,1845,3,-1.355,1.064,-1.329,0.926,-1.013,0.706,-0.928,0.520,NaN,NaN
63,1845,4,-2.286,2.907,-1.389,0.899,-1.017,0.718,-0.928,0.519,NaN,NaN
64,1845,5,-1.225,1.136,-1.384,0.990,-1.013,0.725,-0.933,0.517,NaN,NaN
65,1845,6,-0.823,1.091,-1.417,1.051,-1.034,0.711,-0.929,0.521,NaN,NaN
66,1845,7,-1.052,1.886,-1.310,1.120,-1.072,0.699,NaN,NaN,NaN,NaN
67,1845,8,-1.069,1.797,-1.302,1.226,-1.073,0.694,NaN,NaN,NaN,NaN
68,1845,9,-1.250,1.746,-1.219,1.342,-1.072,0.691,NaN,NaN,NaN,NaN
69,1845,10,-2.058,1.675,-1.111,1.222,-1.076,0.699,NaN,NaN,NaN,NaN
70,1845,11,-1.949,1.868,-1.074,1.233,-1.078,0.706,NaN,NaN,NaN,NaN
71,1845,12,-1.815,2.303,-1.046,1.324,-1.083,0.730,NaN,NaN,NaN,NaN
72,1846,1,0.020,3.640,-0.982,1.352,-1.079,0.736,NaN,NaN,NaN,NaN
73,1846,2,-0.763,2.046,-0.926,1.338,-1.088,0.741,NaN,NaN,NaN,NaN
74,1846,3,-0.353,2.272,-0.902,1.285,-1.094,0.741,NaN,NaN,NaN,NaN
75,1846,4,-0.997,2.354,-0.846,1.377,-1.097,0.740,NaN,NaN,NaN,NaN
76,1846,5,-0.781,1.079,-0.835,1.319,-1.104,0.744,NaN,NaN,NaN,NaN
77,1846,6,-0.480,2.273,-0.765,1.275,-1.116,0.717,NaN,NaN,NaN,NaN
78,1846,7,-0.292,1.936,-0.849,1.208,-1.114,0.711,NaN,NaN,NaN,NaN
79,1846,8,-0.392,1.467,-0.871,1.245,-1.117,0.716,NaN,NaN,NaN,NaN
