,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,3.119,2.687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,3.043,2.951,0.675,1.509,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,2.460,2.832,0.612,1.536,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,1.291,2.207,0.412,1.557,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.077,2.332,-0.163,1.637,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,-0.204,2.163,-0.381,1.639,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.932,3.337,-0.691,1.700,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,1.202,2.989,-1.285,1.704,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,-0.662,2.736,-1.320,1.722,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-4.017,2.546,-1.432,1.767,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-6.829,2.784,-1.414,1.722,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-3.829,3.187,-1.542,1.756,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-0.608,3.344,-1.561,1.747,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-4.077,2.492,-1.647,1.768,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,2.037,2.454,-1.652,1.755,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-0.052,2.208,-1.464,2.276,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-0.866,2.359,-1.095,2.441,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-1.741,2.517,-0.806,1.027,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,0.711,1.988,-0.899,1.031,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,0.167,3.195,-0.438,0.928,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-0.722,2.611,-0.442,0.903,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.760,8.186,-0.421,0.918,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-2.394,4.282,-0.379,0.870,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-0.370,1.268,-0.255,0.753,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-1.719,1.658,-0.110,0.822,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,1.455,1.412,-0.033,0.667,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,1.982,1.777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,0.205,3.047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.366,1.616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
