,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1859,11,-0.707,1.100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1859,12,-0.301,1.816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1860,1,-1.199,1.777,-0.534,0.479,NaN,NaN,NaN,NaN,NaN,NaN
3,1860,2,-0.064,1.328,-0.476,0.480,NaN,NaN,NaN,NaN,NaN,NaN
4,1860,3,-0.818,2.517,-0.563,0.440,NaN,NaN,NaN,NaN,NaN,NaN
5,1860,4,-0.680,1.222,-0.581,0.503,NaN,NaN,NaN,NaN,NaN,NaN
6,1860,5,-0.218,1.248,-0.701,0.685,NaN,NaN,NaN,NaN,NaN,NaN
7,1860,6,0.109,1.019,-0.819,0.865,NaN,NaN,NaN,NaN,NaN,NaN
8,1860,7,-0.828,1.155,-0.827,0.859,NaN,NaN,NaN,NaN,NaN,NaN
9,1860,8,0.247,3.306,-1.035,1.169,NaN,NaN,NaN,NaN,NaN,NaN
10,1860,9,-1.673,1.634,-1.123,1.450,NaN,NaN,NaN,NaN,NaN,NaN
11,1860,10,-0.836,1.781,-1.126,1.470,NaN,NaN,NaN,NaN,NaN,NaN
12,1860,11,-2.148,2.621,-1.166,1.568,NaN,NaN,NaN,NaN,NaN,NaN
13,1860,12,-1.722,2.016,-1.169,1.601,NaN,NaN,NaN,NaN,NaN,NaN
14,1861,1,-1.293,2.516,-1.147,1.686,-0.744,0.673,NaN,NaN,NaN,NaN
15,1861,2,-2.558,3.609,-1.178,1.511,-0.749,0.680,NaN,NaN,NaN,NaN
16,1861,3,-1.873,2.755,-0.991,1.345,-0.765,0.684,NaN,NaN,NaN,NaN
17,1861,4,-0.723,1.592,-1.002,1.338,-0.770,0.686,NaN,NaN,NaN,NaN
18,1861,5,-0.688,1.087,-0.919,1.216,-0.792,0.690,NaN,NaN,NaN,NaN
19,1861,6,0.064,1.023,-0.853,1.096,-0.783,0.712,NaN,NaN,NaN,NaN
20,1861,7,-0.556,1.913,-0.890,1.160,-0.776,0.717,NaN,NaN,NaN,NaN
21,1861,8,-0.127,1.279,-0.763,0.864,-0.772,0.745,NaN,NaN,NaN,NaN
22,1861,9,0.572,2.613,-0.739,0.754,-0.792,0.745,NaN,NaN,NaN,NaN
23,1861,10,-0.977,1.785,-0.742,0.776,-0.826,0.774,NaN,NaN,NaN,NaN
24,1861,11,-1.145,1.400,-0.731,0.814,-0.828,0.766,NaN,NaN,NaN,NaN
25,1861,12,-0.929,1.334,-0.780,0.916,-0.837,0.764,NaN,NaN,NaN,NaN
26,1862,1,-1.735,2.553,-0.734,0.772,-0.836,0.774,NaN,NaN,NaN,NaN
27,1862,2,-1.034,1.495,-0.830,0.796,-0.832,0.780,NaN,NaN,NaN,NaN
28,1862,3,-1.595,1.084,-0.971,0.837,-0.821,0.747,NaN,NaN,NaN,NaN
29,1862,4,-0.753,1.940,-0.983,0.685,-0.818,0.744,NaN,NaN,NaN,NaN
30,1862,5,-0.556,1.470,-0.971,0.648,-0.821,0.767,NaN,NaN,NaN,NaN
31,1862,6,-0.523,1.556,-0.927,0.832,-0.816,0.765,NaN,NaN,NaN,NaN
32,1862,7,-0.004,1.211,-0.807,0.817,-0.802,0.749,NaN,NaN,NaN,NaN
33,1862,8,-1.274,1.833,-0.801,0.906,-0.815,0.766,NaN,NaN,NaN,NaN
34,1862,9,-1.122,0.970,-0.778,0.898,-0.801,0.769,NaN,NaN,NaN,NaN
35,1862,10,-1.123,1.102,-0.732,0.768,-0.792,0.759,NaN,NaN,NaN,NaN
36,1862,11,-1.001,1.514,-0.787,0.720,-0.794,0.780,NaN,NaN,NaN,NaN
37,1862,12,-0.404,3.306,-0.743,0.703,-0.800,0.812,NaN,NaN,NaN,NaN
38,1863,1,-0.291,2.643,-0.739,0.764,-0.769,0.786,NaN,NaN,NaN,NaN
39,1863,2,-0.970,1.583,-0.687,0.798,-0.760,0.745,NaN,NaN,NaN,NaN
40,1863,3,-1.316,1.108,-0.734,0.852,-0.740,0.746,NaN,NaN,NaN,NaN
41,1863,4,-0.205,0.772,-0.719,0.875,-0.718,0.715,NaN,NaN,NaN,NaN
42,1863,5,-1.213,1.596,-0.756,0.873,-0.698,0.692,NaN,NaN,NaN,NaN
43,1863,6,-0.000,1.264,-0.781,0.914,-0.679,0.667,NaN,NaN,NaN,NaN
44,1863,7,0.054,1.511,-0.800,0.799,-0.650,0.636,NaN,NaN,NaN,NaN
45,1863,8,-0.654,1.391,-0.800,0.872,-0.610,0.600,NaN,NaN,NaN,NaN
46,1863,9,-1.690,1.582,-0.862,0.863,-0.593,0.586,NaN,NaN,NaN,NaN
47,1863,10,-0.933,0.745,-1.024,0.992,-0.587,0.573,NaN,NaN,NaN,NaN
48,1863,11,-1.454,1.039,-0.926,0.901,-0.577,0.577,NaN,NaN,NaN,NaN
49,1863,12,-0.695,2.544,-0.967,0.920,-0.583,0.585,NaN,NaN,NaN,NaN
50,1864,1,-0.524,1.831,-1.027,0.951,-0.573,0.563,NaN,NaN,NaN,NaN
51,1864,2,-0.968,2.081,-0.989,0.938,-0.571,0.554,NaN,NaN,NaN,NaN
52,1864,3,-2.059,2.184,-0.847,0.755,-0.587,0.559,NaN,NaN,NaN,NaN
53,1864,4,-2.154,2.626,-0.808,0.749,-0.581,0.553,NaN,NaN,NaN,NaN
54,1864,5,-0.037,1.103,-0.761,0.780,-0.564,0.562,NaN,NaN,NaN,NaN
