,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,2.607,2.634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,2.839,3.002,0.552,1.436,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,2.650,2.683,0.503,1.464,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,1.123,2.087,0.336,1.485,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.096,2.284,-0.179,1.573,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,-0.196,2.155,-0.371,1.579,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.873,3.466,-0.651,1.644,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,1.024,2.978,-1.206,1.643,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,-0.606,2.679,-1.252,1.665,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-3.643,2.422,-1.382,1.717,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-6.458,2.697,-1.361,1.674,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-3.570,3.154,-1.474,1.711,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-0.760,3.390,-1.485,1.698,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-3.816,2.382,-1.547,1.718,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,2.103,2.436,-1.549,1.706,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-0.442,2.117,-1.387,2.258,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-0.837,2.325,-1.063,2.444,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-1.553,2.675,-0.822,1.024,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,0.738,1.914,-0.882,1.023,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,0.279,3.361,-0.445,0.910,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-0.630,2.599,-0.467,0.885,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-1.703,8.522,-0.438,0.913,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-2.568,4.470,-0.413,0.865,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-0.673,1.331,-0.280,0.736,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-1.486,1.684,-0.166,0.842,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,1.430,1.428,-0.129,0.675,NaN,NaN,NaN,NaN,NaN,NaN
