,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1859,11,-0.121,0.750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1859,12,-0.201,1.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1860,1,-0.997,1.092,-0.428,0.452,NaN,NaN,NaN,NaN,NaN,NaN
3,1860,2,-0.609,0.628,-0.394,0.498,NaN,NaN,NaN,NaN,NaN,NaN
4,1860,3,-1.200,1.585,-0.349,0.542,NaN,NaN,NaN,NaN,NaN,NaN
5,1860,4,-0.571,0.828,-0.369,0.602,NaN,NaN,NaN,NaN,NaN,NaN
6,1860,5,0.066,0.961,-0.432,0.672,NaN,NaN,NaN,NaN,NaN,NaN
7,1860,6,0.137,0.674,-0.517,0.769,NaN,NaN,NaN,NaN,NaN,NaN
8,1860,7,0.080,1.186,-0.537,0.857,NaN,NaN,NaN,NaN,NaN,NaN
9,1860,8,-0.099,1.223,-0.618,0.929,NaN,NaN,NaN,NaN,NaN,NaN
10,1860,9,-0.173,1.251,-0.613,0.925,NaN,NaN,NaN,NaN,NaN,NaN
11,1860,10,-0.737,1.184,-0.618,0.973,NaN,NaN,NaN,NaN,NaN,NaN
12,1860,11,-0.882,1.565,-0.653,1.035,NaN,NaN,NaN,NaN,NaN,NaN
13,1860,12,-1.224,1.883,-0.672,1.042,NaN,NaN,NaN,NaN,NaN,NaN
14,1861,1,-1.237,1.956,-0.712,1.005,NaN,NaN,NaN,NaN,NaN,NaN
15,1861,2,-1.578,1.437,-0.728,0.961,NaN,NaN,NaN,NaN,NaN,NaN
16,1861,3,-1.143,1.465,-0.745,0.915,NaN,NaN,NaN,NaN,NaN,NaN
17,1861,4,-0.621,1.399,-0.771,0.894,NaN,NaN,NaN,NaN,NaN,NaN
18,1861,5,-0.359,1.324,-0.732,0.814,NaN,NaN,NaN,NaN,NaN,NaN
19,1861,6,-0.091,0.794,-0.675,0.713,NaN,NaN,NaN,NaN,NaN,NaN
20,1861,7,-0.394,0.937,-0.765,0.682,NaN,NaN,NaN,NaN,NaN,NaN
21,1861,8,-0.299,0.811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1861,9,-0.376,1.088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
