,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1857,9,0.709,2.669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1857,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1857,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1857,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1858,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1858,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1858,3,-0.643,1.703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,1858,4,0.025,1.529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1858,5,-0.302,1.238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1858,6,0.354,1.584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1858,7,-0.094,1.531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1858,8,0.418,1.873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1858,9,0.319,1.693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1858,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1858,11,1.082,1.420,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1858,12,-1.222,1.390,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1859,1,-1.180,1.531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1859,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1859,3,-0.961,1.622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,1859,4,2.130,2.370,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1859,5,1.613,2.669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1859,6,0.884,2.253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1859,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,1859,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1859,9,-0.496,1.209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1859,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,1859,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1859,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1860,1,-1.177,1.697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1860,2,-1.736,1.478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1860,3,-0.578,2.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1860,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1860,5,-0.483,1.440,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1860,6,-0.131,1.313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1860,7,-0.853,1.564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1860,8,-0.472,1.426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1860,9,-1.272,1.940,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1860,10,-1.708,2.449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1860,11,-1.179,2.028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1860,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1861,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1861,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,1861,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,1861,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,1861,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,1861,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1861,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1861,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1861,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,1861,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,1861,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,1861,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,1862,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,1862,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,1862,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,1862,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,1862,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,1862,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,1862,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,1862,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,1862,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,1862,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,1862,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,1862,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,1863,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,1863,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,1863,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,1863,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68,1863,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,1863,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,1863,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,1863,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,1863,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,1863,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,1863,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,1863,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,1864,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,1864,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1864,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,1864,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,1864,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,1864,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,1864,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,1864,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,1864,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,1864,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86,1864,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,1864,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88,1865,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,1865,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,1865,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,1865,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,1865,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93,1865,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,1865,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,1865,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
96,1865,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
97,1865,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98,1865,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
99,1865,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,1866,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
101,1866,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
102,1866,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
103,1866,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
104,1866,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
105,1866,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
106,1866,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
107,1866,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
108,1866,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
109,1866,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
110,1866,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
111,1866,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
