,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1849,1,-0.898,1.979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1849,2,-0.632,1.861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1849,3,-0.124,1.428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1849,4,-0.500,1.775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,1849,5,-0.716,1.380,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,1849,6,-0.685,1.808,-0.646,0.741,NaN,NaN,NaN,NaN,NaN,NaN
6,1849,7,-0.337,2.044,-0.705,0.723,NaN,NaN,NaN,NaN,NaN,NaN
7,1849,8,-0.827,1.614,-0.686,0.756,NaN,NaN,NaN,NaN,NaN,NaN
8,1849,9,-1.170,1.445,-0.679,0.803,NaN,NaN,NaN,NaN,NaN,NaN
9,1849,10,-0.452,1.408,-0.631,0.889,NaN,NaN,NaN,NaN,NaN,NaN
10,1849,11,-0.543,2.087,-0.624,0.873,NaN,NaN,NaN,NaN,NaN,NaN
11,1849,12,-0.868,1.971,-0.583,0.857,NaN,NaN,NaN,NaN,NaN,NaN
12,1850,1,-1.607,2.109,-0.597,0.808,NaN,NaN,NaN,NaN,NaN,NaN
13,1850,2,-0.404,2.437,-0.567,0.772,NaN,NaN,NaN,NaN,NaN,NaN
14,1850,3,-0.033,2.079,-0.525,0.776,NaN,NaN,NaN,NaN,NaN,NaN
15,1850,4,0.071,1.474,-0.542,0.721,NaN,NaN,NaN,NaN,NaN,NaN
16,1850,5,-0.636,1.479,-0.595,0.663,NaN,NaN,NaN,NaN,NaN,NaN
17,1850,6,-0.188,1.382,-0.578,0.699,NaN,NaN,NaN,NaN,NaN,NaN
18,1850,7,-0.506,1.607,-0.514,0.693,NaN,NaN,NaN,NaN,NaN,NaN
19,1850,8,-0.468,1.712,-0.560,0.648,NaN,NaN,NaN,NaN,NaN,NaN
20,1850,9,-0.666,1.428,-0.611,0.628,NaN,NaN,NaN,NaN,NaN,NaN
21,1850,10,-0.661,1.570,-0.613,0.646,NaN,NaN,NaN,NaN,NaN,NaN
22,1850,11,-1.173,2.017,-0.558,0.689,NaN,NaN,NaN,NaN,NaN,NaN
23,1850,12,-0.671,1.427,-0.559,0.721,NaN,NaN,NaN,NaN,NaN,NaN
24,1851,1,-0.831,1.443,-0.528,0.716,NaN,NaN,NaN,NaN,NaN,NaN
25,1851,2,-0.959,1.664,-0.507,0.709,NaN,NaN,NaN,NaN,NaN,NaN
26,1851,3,-0.640,1.602,-0.467,0.726,NaN,NaN,NaN,NaN,NaN,NaN
27,1851,4,0.045,1.459,-0.408,0.782,NaN,NaN,NaN,NaN,NaN,NaN
28,1851,5,0.017,1.749,-0.392,0.844,NaN,NaN,NaN,NaN,NaN,NaN
29,1851,6,-0.196,1.777,-0.270,0.932,NaN,NaN,NaN,NaN,NaN,NaN
30,1851,7,-0.138,1.591,-0.246,0.983,NaN,NaN,NaN,NaN,NaN,NaN
31,1851,8,-0.210,1.535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1851,9,-0.190,1.584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1851,10,0.044,1.872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1851,11,-0.982,1.748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1851,12,0.795,2.288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1852,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1852,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1852,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,1852,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,1852,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,1852,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,1852,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,1852,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,1852,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,1852,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,1852,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,1852,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,1853,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,1853,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,1853,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,1853,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,1853,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,1853,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,1853,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,1853,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,1853,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,1853,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,1853,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,1853,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,1854,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,1854,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,1854,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,1854,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,1854,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,1854,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,1854,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,1854,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
