,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1787,1,0.262,4.590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1787,2,-0.163,3.276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1787,3,-1.614,7.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,1787,4,-1.606,2.836,-1.064,1.009,NaN,NaN,NaN,NaN,NaN,NaN
4,1787,5,-0.807,1.931,-0.785,1.067,NaN,NaN,NaN,NaN,NaN,NaN
5,1787,6,NaN,NaN,-0.484,0.940,NaN,NaN,NaN,NaN,NaN,NaN
6,1787,7,-1.013,2.428,-0.712,1.111,NaN,NaN,NaN,NaN,NaN,NaN
7,1787,8,-0.379,1.444,-0.683,1.025,NaN,NaN,NaN,NaN,NaN,NaN
8,1787,9,-1.054,3.505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,1787,10,-0.701,6.027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,1787,11,0.681,5.797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1787,12,-0.120,3.335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1788,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,1788,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1788,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1788,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,1788,5,-1.840,2.097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,1788,6,-0.204,1.235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1788,7,0.969,4.062,-0.563,1.037,NaN,NaN,NaN,NaN,NaN,NaN
19,1788,8,-0.375,2.619,-0.643,0.983,-0.512,0.430,NaN,NaN,NaN,NaN
20,1788,9,-0.436,3.043,-0.534,0.778,-0.537,0.472,NaN,NaN,NaN,NaN
21,1788,10,-1.508,3.818,-0.496,0.716,-0.549,0.501,NaN,NaN,NaN,NaN
22,1788,11,0.456,2.226,-0.323,0.722,-0.552,0.497,NaN,NaN,NaN,NaN
23,1788,12,-2.183,4.979,-0.377,0.705,-0.548,0.521,NaN,NaN,NaN,NaN
24,1789,1,-0.699,3.901,-0.442,0.592,-0.563,0.502,NaN,NaN,NaN,NaN
25,1789,2,-0.764,1.679,-0.475,0.569,-0.576,0.498,NaN,NaN,NaN,NaN
26,1789,3,0.387,6.026,-0.497,0.580,-0.577,0.465,NaN,NaN,NaN,NaN
27,1789,4,0.242,2.655,-0.406,0.621,-0.567,0.463,NaN,NaN,NaN,NaN
28,1789,5,0.236,4.997,-0.508,0.596,-0.525,0.474,NaN,NaN,NaN,NaN
29,1789,6,-0.847,1.540,-0.413,0.850,-0.477,0.489,NaN,NaN,NaN,NaN
30,1789,7,0.193,2.919,-0.331,0.903,-0.492,0.441,NaN,NaN,NaN,NaN
31,1789,8,-0.773,2.693,-0.247,0.857,-0.484,0.410,NaN,NaN,NaN,NaN
32,1789,9,-0.699,1.865,-0.353,1.040,-0.467,0.366,NaN,NaN,NaN,NaN
33,1789,10,-0.422,2.697,-0.446,0.984,-0.457,0.366,NaN,NaN,NaN,NaN
34,1789,11,-0.762,3.608,-0.509,0.743,-0.454,0.336,NaN,NaN,NaN,NaN
35,1789,12,-1.049,3.368,-0.437,0.633,-0.437,0.311,NaN,NaN,NaN,NaN
36,1790,1,0.283,1.737,-0.458,0.516,-0.398,0.278,NaN,NaN,NaN,NaN
37,1790,2,0.247,3.203,-0.532,0.569,-0.396,0.261,NaN,NaN,NaN,NaN
38,1790,3,-0.888,3.610,-0.533,0.611,-0.376,0.249,NaN,NaN,NaN,NaN
39,1790,4,-0.876,3.901,-0.607,0.565,-0.388,0.264,NaN,NaN,NaN,NaN
40,1790,5,-0.518,4.765,-0.680,0.426,-0.420,0.236,NaN,NaN,NaN,NaN
41,1790,6,0.016,1.155,-0.629,0.654,-0.424,0.259,NaN,NaN,NaN,NaN
