,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1849,7,-0.512,1.169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1849,8,-0.718,1.300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1849,9,-1.000,0.956,-0.571,0.674,NaN,NaN,NaN,NaN,NaN,NaN
3,1849,10,-1.634,1.373,-0.580,0.753,NaN,NaN,NaN,NaN,NaN,NaN
4,1849,11,-0.350,2.402,-0.638,0.727,NaN,NaN,NaN,NaN,NaN,NaN
5,1849,12,-0.739,1.633,-0.713,0.719,NaN,NaN,NaN,NaN,NaN,NaN
6,1850,1,0.786,2.081,-0.710,0.742,NaN,NaN,NaN,NaN,NaN,NaN
7,1850,2,0.116,2.406,-0.623,0.780,NaN,NaN,NaN,NaN,NaN,NaN
8,1850,3,-0.057,2.140,-0.549,0.790,NaN,NaN,NaN,NaN,NaN,NaN
9,1850,4,-0.900,1.375,-0.437,0.700,NaN,NaN,NaN,NaN,NaN,NaN
10,1850,5,-2.176,1.076,-0.490,0.555,NaN,NaN,NaN,NaN,NaN,NaN
11,1850,6,-1.369,1.433,-0.670,0.561,NaN,NaN,NaN,NaN,NaN,NaN
12,1850,7,-0.474,1.616,-0.772,0.538,NaN,NaN,NaN,NaN,NaN,NaN
13,1850,8,0.320,1.465,-0.886,0.473,NaN,NaN,NaN,NaN,NaN,NaN
14,1850,9,-0.115,1.102,-0.953,0.452,-0.814,0.569,NaN,NaN,NaN,NaN
15,1850,10,-0.287,1.194,-0.916,0.475,-0.800,0.571,NaN,NaN,NaN,NaN
16,1850,11,-0.979,1.969,-0.738,0.563,-0.791,0.570,NaN,NaN,NaN,NaN
17,1850,12,-2.903,1.483,-0.639,0.589,-0.789,0.571,NaN,NaN,NaN,NaN
18,1851,1,-0.439,1.426,-0.668,0.602,-0.785,0.563,NaN,NaN,NaN,NaN
