,Year,Month,Monthly Anomaly,Monthly Unc.,Annual Anomaly,Annual Unc.,Five-year Anomaly,Five-year Unc.,Ten-year Anomaly,Ten-year Unc.,Twenty-year Anomaly,Twenty-year Unc.
0,1750,1,-0.068,3.044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1750,2,-0.375,2.975,-0.539,1.304,NaN,NaN,NaN,NaN,NaN,NaN
2,1750,3,NaN,NaN,-0.565,1.327,NaN,NaN,NaN,NaN,NaN,NaN
3,1750,4,0.036,2.632,-0.588,1.341,NaN,NaN,NaN,NaN,NaN,NaN
4,1750,5,-1.639,2.739,-0.917,1.403,NaN,NaN,NaN,NaN,NaN,NaN
5,1750,6,-0.257,2.714,-0.954,1.411,NaN,NaN,NaN,NaN,NaN,NaN
6,1750,7,0.358,3.452,-1.092,1.452,NaN,NaN,NaN,NaN,NaN,NaN
7,1750,8,0.440,3.151,-1.347,1.441,NaN,NaN,NaN,NaN,NaN,NaN
8,1750,9,NaN,NaN,-1.371,1.447,NaN,NaN,NaN,NaN,NaN,NaN
9,1750,10,-1.960,2.793,-1.512,1.475,NaN,NaN,NaN,NaN,NaN,NaN
10,1750,11,-5.157,2.954,-1.449,1.442,NaN,NaN,NaN,NaN,NaN,NaN
11,1750,12,-3.684,3.269,-1.518,1.461,NaN,NaN,NaN,NaN,NaN,NaN
12,1751,1,-1.718,3.408,-1.442,1.448,NaN,NaN,NaN,NaN,NaN,NaN
13,1751,2,-3.442,2.740,-1.451,1.458,NaN,NaN,NaN,NaN,NaN,NaN
14,1751,3,1.335,2.784,-1.432,1.445,NaN,NaN,NaN,NaN,NaN,NaN
15,1751,4,-1.657,2.664,-1.437,1.866,NaN,NaN,NaN,NaN,NaN,NaN
16,1751,5,-0.878,2.706,-1.305,2.018,NaN,NaN,NaN,NaN,NaN,NaN
17,1751,6,-1.092,2.990,-1.201,1.102,NaN,NaN,NaN,NaN,NaN,NaN
18,1751,7,1.267,2.603,-1.246,1.106,NaN,NaN,NaN,NaN,NaN,NaN
19,1751,8,0.337,3.409,-0.828,1.055,NaN,NaN,NaN,NaN,NaN,NaN
20,1751,9,-0.539,2.933,-0.852,1.044,NaN,NaN,NaN,NaN,NaN,NaN
21,1751,10,-2.016,7.329,-0.821,1.054,NaN,NaN,NaN,NaN,NaN,NaN
22,1751,11,-3.579,4.188,-0.786,1.029,NaN,NaN,NaN,NaN,NaN,NaN
23,1751,12,-2.431,2.406,-0.633,0.975,NaN,NaN,NaN,NaN,NaN,NaN
24,1752,1,-2.264,2.571,-0.632,1.045,NaN,NaN,NaN,NaN,NaN,NaN
25,1752,2,1.580,2.438,-0.724,0.969,NaN,NaN,NaN,NaN,NaN,NaN
26,1752,3,1.046,2.639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,1752,4,-1.283,3.124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1752,5,-0.463,2.423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,1752,6,0.746,2.371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,1752,7,1.281,2.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1752,8,-0.770,2.393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1752,10,-0.699,2.857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1752,11,-0.421,3.303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1752,12,-1.384,2.474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,1753,1,-0.886,4.163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1753,2,-1.429,5.184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
